#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.22, -14.67 	-3.28, -14.68 	-6.35, 1.41
33      	-0.22, -14.58 	-3.26, -14.72 	-6.35, 1.41
49      	-0.24, -14.67 	-3.27, -14.72 	-6.35, 1.41
65      	-0.23, -14.75 	-3.27, -14.72 	-6.35, 1.41
81      	-0.23, -14.62 	-112.01, 340.20 	-6.35, 1.41
96      	-0.22, -14.70 	-3.26, -14.68 	-6.35, 1.41
111     	-0.22, -14.70 	-3.26, -14.67 	-6.35, 1.41
193     	-0.22, -14.74 	-3.25, -14.66 	-6.35, 1.41
209     	-0.22, -14.74 	-3.24, -14.74 	-6.35, 1.41
225     	-0.22, -14.74 	-112.43, 339.41 	-6.35, 1.41
241     	-0.22, -14.74 	-3.23, -14.63 	-6.35, 1.41
318     	-0.21, -14.74 	-3.23, -14.66 	-6.35, 1.41
333     	-0.21, -14.74 	-3.22, -14.70 	-6.35, 1.41
348     	-0.21, -14.74 	-112.61, 339.30 	-6.35, 1.41
363     	-0.21, -14.78 	-3.22, -14.69 	-6.35, 1.41
378     	-0.21, -14.66 	-3.22, -14.66 	-6.35, 1.41
458     	-0.21, -14.62 	-3.21, -14.58 	-6.35, 1.41
474     	-0.21, -14.61 	-3.21, -14.58 	-6.35, 1.41
490     	-0.21, -14.61 	-3.21, -14.57 	-6.35, 1.41
506     	-0.20, -14.62 	-3.22, -14.56 	-6.35, 1.41
584     	-0.19, -14.65 	-3.20, -14.59 	-6.35, 1.41
607     	-0.21, -14.62 	-3.21, -14.54 	-6.35, 1.41
622     	-0.21, -14.61 	-3.20, -14.53 	-6.35, 1.41
638     	-0.20, -14.65 	-3.22, -14.56 	-6.35, 1.41
702     	-0.20, -14.66 	-3.19, -14.46 	-6.35, 1.41
717     	-0.21, -14.62 	-3.19, -14.46 	-6.35, 1.41
732     	-0.20, -14.78 	-3.16, -14.47 	-6.35, 1.41
747     	-0.20, -14.77 	-3.17, -14.37 	-6.35, 1.41
762     	-0.19, -14.90 	-3.16, -14.45 	-6.35, 1.41
842     	-0.20, -14.63 	-3.14, -14.48 	-6.35, 1.41
858     	-0.17, -14.63 	-3.15, -14.39 	-6.35, 1.41
874     	-0.17, -14.63 	-3.16, -14.43 	-6.35, 1.41
890     	-0.16, -14.71 	-3.13, -13.83 	-6.35, 1.41
969     	-0.17, -14.56 	-3.15, -13.82 	-6.35, 1.41
984     	-0.16, -14.59 	-3.13, -13.82 	-6.35, 1.41
999     	-0.16, -14.59 	-3.13, -13.82 	-6.35, 1.41
1014    	-0.16, -14.63 	-3.14, -13.73 	-6.35, 1.41
1086    	-0.17, -14.55 	-3.16, -13.78 	-6.35, 1.41
1101    	-0.17, -14.55 	-3.15, -13.70 	-6.35, 1.41
1117    	-0.17, -14.47 	-3.15, -13.86 	-6.35, 1.41
1132    	-0.17, -14.67 	-3.15, -13.91 	-6.35, 1.41
1147    	-0.17, -14.63 	-3.16, -13.94 	-6.35, 1.41
1227    	-0.17, -14.60 	-3.19, -13.75 	-6.35, 1.41
1242    	-0.17, -14.63 	-3.18, -13.71 	-6.35, 1.41
1258    	-0.15, -14.53 	-3.20, -13.71 	-6.35, 1.41
1321    	-0.16, -14.56 	-3.18, -13.75 	-6.35, 1.41
1337    	-0.17, -14.64 	-3.19, -13.79 	-6.35, 1.41
1352    	-0.18, -14.52 	-3.18, -13.91 	-6.35, 1.41
1367    	-0.17, -14.43 	-3.18, -13.83 	-6.35, 1.41
1382    	-0.18, -14.47 	-3.19, -13.83 	-6.35, 1.41
1462    	-0.20, -14.49 	-3.19, -13.75 	-6.35, 1.41
1478    	-0.20, -14.49 	-3.21, -13.79 	-6.35, 1.41
1494    	-0.21, -14.53 	-3.21, -13.83 	-6.35, 1.41
1509    	-0.20, -14.50 	-3.20, -13.71 	-6.35, 1.41
1587    	-0.18, -14.61 	-3.23, -13.61 	-6.35, 1.41
1602    	-0.19, -14.60 	-3.27, -13.52 	-6.35, 1.41
1617    	-0.18, -14.56 	-3.42, -13.24 	-6.35, 1.41
1632    	-0.18, -14.49 	-3.55, -12.53 	-6.35, 1.41
1647    	-0.16, -14.60 	-3.65, -12.43 	-6.35, 1.41
1727    	-0.17, -14.59 	-4.96, -11.31 	-6.35, 1.41
1743    	-0.17, -14.59 	-5.02, -11.28 	-6.35, 1.41
1758    	-0.18, -14.60 	-5.15, -10.34 	-6.35, 1.41
1774    	-0.17, -14.63 	-6.17, -9.86 	-6.35, 1.41
1852    	-0.16, -14.67 	-7.75, -6.88 	-6.35, 1.41
1867    	-0.15, -14.72 	-7.79, -6.27 	-6.35, 1.41
1882    	-0.16, -14.67 	-7.94, -6.21 	-6.35, 1.41
1897    	-0.15, -14.75 	-8.05, -6.39 	-6.35, 1.41
1912    	-0.17, -14.68 	-8.05, -5.83 	-6.35, 1.41
1993    	-0.15, -14.59 	-8.12, -5.87 	-6.35, 1.41
2009    	-0.15, -14.59 	-8.11, -5.35 	-6.35, 1.41
2025    	-0.15, -14.54 	-8.10, -5.01 	-6.35, 1.41
2041    	-0.14, -14.54 	95.80, 251.79 	-6.35, 1.41
2118    	-0.14, -14.67 	-8.12, -3.54 	-6.35, 1.41
2133    	-0.14, -14.67 	-8.12, -3.73 	-6.35, 1.41
2148    	-0.14, -14.67 	-8.11, -3.84 	-6.35, 1.41
2163    	-0.14, -14.67 	97.14, 249.92 	-6.35, 1.41
2178    	-0.15, -14.55 	-8.11, -4.23 	-6.35, 1.41
2258    	-0.12, -14.59 	-8.16, -3.35 	-6.35, 1.41
2274    	-0.14, -14.52 	-8.17, -3.35 	-6.35, 1.41
2290    	-0.14, -14.59 	-8.16, -3.31 	-6.35, 1.41
2306    	-0.14, -14.55 	-8.16, -3.26 	-6.35, 1.41
2384    	-0.10, -14.47 	-8.13, -3.12 	-6.35, 1.41
2399    	-0.12, -14.55 	-8.13, -3.12 	-6.35, 1.41
2414    	-0.13, -14.43 	-8.13, -3.12 	-6.35, 1.41
2429    	-0.11, -14.51 	-8.12, -3.08 	-6.35, 1.41
2444    	-0.11, -14.39 	-8.12, -3.07 	-6.35, 1.41
2524    	-0.10, -14.50 	-8.11, -3.00 	-6.35, 1.41
2540    	-0.11, -14.54 	-8.10, -3.08 	-6.35, 1.41
2556    	-0.11, -14.46 	-8.09, -3.06 	-6.35, 1.41
2572    	-0.11, -14.46 	98.79, 248.33 	-6.35, 1.41
2649    	-0.11, -14.51 	-8.01, -2.95 	-6.35, 1.41
2664    	-0.11, -14.54 	98.99, 242.68 	-6.35, 1.41
2679    	-0.11, -14.54 	-7.94, -2.29 	-6.35, 1.41
2737    	-0.11, -14.39 	-7.90, -2.31 	-6.35, 1.41
2753    	-0.11, -14.43 	-7.89, -2.35 	-6.35, 1.41
2768    	-0.11, -14.42 	-7.90, -2.31 	-6.35, 1.41
2783    	-0.11, -14.42 	-7.89, -2.31 	-6.35, 1.41
2798    	-0.11, -14.42 	-7.89, -2.30 	-6.35, 1.41
2878    	-0.11, -14.46 	-7.89, -2.30 	-6.35, 1.41
2894    	-0.11, -14.46 	-7.89, -2.30 	-6.35, 1.41
2909    	-0.10, -14.46 	98.96, 242.33 	-6.35, 1.41
2925    	-0.12, -14.47 	-7.88, -2.26 	-6.35, 1.41
3004    	-0.13, -14.50 	-7.89, -2.25 	-6.35, 1.41
3019    	-0.13, -14.50 	-7.88, -2.20 	-6.35, 1.41
3034    	-0.13, -14.50 	-7.88, -2.20 	-6.35, 1.41
3050    	-0.11, -14.50 	-7.88, -2.20 	-6.35, 1.41
3065    	-0.11, -14.46 	-7.88, -2.23 	-6.35, 1.41
3146    	-0.11, -14.46 	-112.20, 241.31 	-6.35, 1.41
3162    	-0.11, -14.46 	-7.88, -2.19 	-6.35, 1.41
3177    	-0.11, -14.46 	-7.88, -2.23 	-6.35, 1.41
3193    	-0.10, -14.46 	-7.88, -2.23 	-6.35, 1.41
3272    	-0.12, -14.38 	-7.87, -2.23 	-6.35, 1.41
3287    	-0.11, -14.50 	-7.88, -2.23 	-6.35, 1.41
3302    	-0.11, -14.50 	-7.88, -2.23 	-6.35, 1.41
3317    	-0.10, -14.50 	-7.88, -2.19 	-6.35, 1.41
3332    	-0.09, -14.50 	-7.88, -2.23 	-6.35, 1.41
3412    	-0.09, -14.50 	-7.87, -2.23 	-6.35, 1.41
3427    	-0.09, -14.50 	-7.87, -2.23 	-6.35, 1.41
3442    	-0.12, -14.50 	-7.87, -2.23 	-6.35, 1.41
3457    	-0.11, -14.50 	-7.87, -2.23 	-6.35, 1.41
3536    	-0.10, -14.47 	-7.88, -2.23 	-6.35, 1.41
