#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.09, -14.58 	-6.63, -10.86 	-4.76, -2.75
32      	-0.10, -14.49 	-6.62, -10.78 	-4.76, -2.75
48      	-0.10, -14.49 	-6.62, -10.81 	-4.76, -2.75
64      	-0.10, -14.49 	-6.63, -10.85 	-4.76, -2.75
80      	-0.10, -14.49 	-6.61, -10.81 	-4.76, -2.75
96      	-0.10, -14.49 	-6.62, -10.81 	-4.76, -2.75
173     	-0.10, -14.49 	-6.61, -10.85 	-4.76, -2.75
188     	-0.10, -14.49 	-107.55, 310.64 	-4.76, -2.75
203     	-0.10, -14.49 	-6.61, -10.81 	-4.76, -2.75
218     	-0.10, -14.49 	-6.63, -10.73 	-4.76, -2.75
233     	-0.10, -14.49 	-6.64, -10.73 	-4.76, -2.75
313     	-0.10, -14.49 	-6.61, -10.80 	-4.76, -2.75
329     	-0.10, -14.49 	-107.45, 310.56 	-4.76, -2.75
345     	-0.10, -14.49 	-6.62, -10.76 	-4.76, -2.75
361     	-0.10, -14.49 	-6.63, -10.72 	-4.76, -2.75
439     	-0.10, -14.49 	-6.62, -10.68 	-4.76, -2.75
454     	-0.10, -14.49 	-6.62, -10.72 	-4.76, -2.75
469     	-0.10, -14.49 	-6.61, -10.76 	-4.76, -2.75
484     	-0.10, -14.49 	-6.61, -10.79 	-4.76, -2.75
499     	-0.09, -14.50 	-6.61, -10.79 	-4.76, -2.75
579     	-0.10, -14.49 	-6.63, -10.79 	-4.76, -2.75
595     	-0.10, -14.49 	-6.63, -10.71 	-4.76, -2.75
611     	-0.10, -14.49 	-6.63, -10.71 	-4.76, -2.75
627     	-0.10, -14.49 	-6.62, -10.71 	-4.76, -2.75
729     	-0.10, -14.45 	-6.63, -10.66 	-4.76, -2.75
745     	-0.10, -14.45 	-6.61, -10.70 	-4.76, -2.75
761     	-0.10, -14.57 	-6.63, -10.70 	-4.76, -2.75
777     	-0.10, -14.62 	-6.63, -10.70 	-4.76, -2.75
793     	-0.10, -14.62 	-6.61, -10.74 	-4.76, -2.75
808     	-0.09, -14.63 	-6.62, -10.78 	-4.76, -2.75
884     	-0.10, -14.50 	-6.63, -10.79 	-4.76, -2.75
899     	-0.10, -14.50 	-6.63, -10.74 	-4.76, -2.75
914     	-0.11, -14.50 	-6.62, -10.78 	-4.76, -2.75
929     	-0.11, -14.50 	-6.62, -10.82 	-4.76, -2.75
1002    	-0.10, -14.58 	-6.62, -10.74 	-4.76, -2.75
1017    	-0.09, -14.58 	-6.61, -10.74 	-4.76, -2.75
1032    	-0.09, -14.58 	-6.61, -10.74 	-4.76, -2.75
1047    	-0.09, -14.58 	-6.63, -10.75 	-4.76, -2.75
1062    	-0.10, -14.58 	-6.63, -10.75 	-4.76, -2.75
1142    	-0.09, -14.58 	-6.62, -10.71 	-4.76, -2.75
1157    	-0.10, -14.58 	-6.61, -10.70 	-4.76, -2.75
1172    	-0.11, -14.54 	-6.62, -10.71 	-4.76, -2.75
1188    	-0.10, -14.54 	-6.61, -10.70 	-4.76, -2.75
1266    	-0.10, -14.54 	-6.62, -10.78 	-4.76, -2.75
1281    	-0.10, -14.54 	-106.28, 310.39 	-4.76, -2.75
1296    	-0.10, -14.54 	-6.63, -10.79 	-4.76, -2.75
1311    	-0.10, -14.54 	-6.63, -10.74 	-4.76, -2.75
1326    	-0.10, -14.54 	-6.62, -10.78 	-4.76, -2.75
1407    	-0.09, -14.59 	-6.63, -10.74 	-4.76, -2.75
1423    	-0.09, -14.63 	-6.63, -10.74 	-4.76, -2.75
1442    	-0.09, -14.63 	-6.63, -10.74 	-4.76, -2.75
1457    	-0.09, -14.63 	-6.63, -10.74 	-4.76, -2.75
1472    	-0.09, -14.63 	-6.63, -10.74 	-4.76, -2.75
1555    	-0.09, -14.63 	-6.62, -10.70 	-4.76, -2.75
1571    	-0.09, -14.58 	-6.63, -10.70 	-4.76, -2.75
1586    	-0.09, -14.58 	-6.62, -10.78 	-4.76, -2.75
1602    	-0.09, -14.58 	-6.62, -10.74 	-4.76, -2.75
1681    	-0.09, -14.58 	-6.63, -10.69 	-4.76, -2.75
1696    	-0.09, -14.58 	-106.21, 310.29 	-4.76, -2.75
1711    	-0.09, -14.58 	-6.63, -10.74 	-4.76, -2.75
1726    	-0.09, -14.58 	-6.63, -10.73 	-4.76, -2.75
1741    	-0.10, -14.58 	-6.63, -10.74 	-4.76, -2.75
1822    	-0.09, -14.58 	-6.63, -10.69 	-4.76, -2.75
1838    	-0.09, -14.58 	-6.63, -10.69 	-4.76, -2.75
1853    	-0.09, -14.58 	-106.20, 310.28 	-4.76, -2.75
1869    	-0.09, -14.58 	-6.63, -10.69 	-4.76, -2.75
1948    	-0.09, -14.58 	-6.63, -10.70 	-4.76, -2.75
1963    	-0.09, -14.58 	-6.62, -10.69 	-4.76, -2.75
1979    	-0.10, -14.58 	-6.62, -10.69 	-4.76, -2.75
1994    	-0.10, -14.58 	-6.63, -10.69 	-4.76, -2.75
2009    	-0.10, -14.58 	-6.63, -10.69 	-4.76, -2.75
2089    	-0.10, -14.62 	-6.63, -10.78 	-4.76, -2.75
2105    	-0.10, -14.62 	-6.63, -10.78 	-4.76, -2.75
2120    	-0.10, -14.63 	-6.63, -10.77 	-4.76, -2.75
2136    	-0.10, -14.63 	-6.63, -10.77 	-4.76, -2.75
2216    	-0.09, -14.62 	-6.63, -10.78 	-4.76, -2.75
2231    	-0.11, -14.58 	-6.62, -10.78 	-4.76, -2.75
2246    	-0.11, -14.58 	-6.62, -10.78 	-4.76, -2.75
2261    	-0.11, -14.54 	-6.62, -10.77 	-4.76, -2.75
2276    	-0.12, -14.54 	-6.62, -10.77 	-4.76, -2.75
2356    	-0.10, -14.50 	-6.62, -10.78 	-4.76, -2.75
2372    	-0.08, -14.62 	-6.62, -10.78 	-4.76, -2.75
2387    	-0.09, -14.62 	-6.63, -10.78 	-4.76, -2.75
2403    	-0.10, -14.58 	-6.64, -10.74 	-4.76, -2.75
2482    	-0.10, -14.58 	-6.63, -10.74 	-4.76, -2.75
2497    	-0.10, -14.58 	-6.63, -10.74 	-4.76, -2.75
