#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.08, -14.66 	-11.77, -14.85 	-9.15, -4.23
32      	-0.08, -14.66 	-11.77, -14.84 	-9.15, -4.23
48      	-0.06, -14.65 	-11.77, -14.84 	-9.15, -4.23
64      	-0.06, -14.65 	-11.77, -14.76 	-9.15, -4.23
80      	-0.08, -14.66 	-104.03, 340.91 	-9.15, -4.23
95      	-0.08, -14.53 	-11.79, -14.76 	-9.15, -4.23
172     	-0.08, -14.66 	-11.77, -14.76 	-9.15, -4.23
187     	-0.08, -14.54 	-104.03, 340.91 	-9.15, -4.23
203     	-0.08, -14.54 	-11.77, -14.84 	-9.15, -4.23
218     	-0.08, -14.53 	-11.77, -14.84 	-9.15, -4.23
233     	-0.08, -14.53 	-11.77, -14.76 	-9.15, -4.23
313     	-0.08, -14.53 	-11.79, -14.72 	-9.15, -4.23
329     	-0.08, -14.53 	-11.79, -14.72 	-9.15, -4.23
345     	-0.08, -14.53 	-11.79, -14.72 	-9.15, -4.23
361     	-0.08, -14.53 	-11.79, -14.75 	-9.15, -4.23
439     	-0.08, -14.53 	-11.79, -14.80 	-9.15, -4.23
454     	-0.08, -14.53 	-11.79, -14.80 	-9.15, -4.23
470     	-0.08, -14.61 	-11.79, -14.80 	-9.15, -4.23
485     	-0.06, -14.61 	-11.79, -14.80 	-9.15, -4.23
500     	-0.06, -14.61 	-11.77, -14.80 	-9.15, -4.23
582     	-0.08, -14.57 	-11.78, -14.76 	-9.15, -4.23
597     	-0.09, -14.50 	-11.78, -14.76 	-9.15, -4.23
612     	-0.08, -14.53 	-11.80, -14.84 	-9.15, -4.23
628     	-0.09, -14.53 	-11.79, -14.80 	-9.15, -4.23
706     	-0.09, -14.53 	-103.96, 340.94 	-9.15, -4.23
721     	-0.08, -14.53 	-11.78, -14.72 	-9.15, -4.23
736     	-0.09, -14.53 	-11.78, -14.72 	-9.15, -4.23
751     	-0.09, -14.53 	-11.78, -14.72 	-9.15, -4.23
767     	-0.09, -14.57 	-11.77, -14.72 	-9.15, -4.23
847     	-0.09, -14.45 	-11.75, -14.80 	-9.15, -4.23
863     	-0.09, -14.45 	-11.75, -14.80 	-9.15, -4.23
879     	-0.09, -14.45 	-11.75, -14.80 	-9.15, -4.23
895     	-0.09, -14.45 	-11.75, -14.80 	-9.15, -4.23
973     	-0.09, -14.54 	-11.78, -14.76 	-9.15, -4.23
988     	-0.09, -14.57 	-11.76, -14.72 	-9.15, -4.23
1003    	-0.09, -14.57 	-11.76, -14.72 	-9.15, -4.23
1018    	-0.09, -14.57 	-11.76, -14.72 	-9.15, -4.23
