#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	0.02, -14.48 	-11.82, -14.61 	0.00, 2.08
32      	0.02, -14.49 	-11.82, -14.61 	0.00, 2.08
47      	0.02, -14.49 	-11.82, -14.61 	0.00, 2.08
63      	0.02, -14.48 	-11.82, -14.61 	0.00, 2.08
78      	0.02, -14.52 	-11.84, -14.64 	0.00, 2.08
94      	0.02, -14.52 	-11.84, -14.64 	0.00, 2.08
172     	0.02, -14.44 	-11.81, -14.68 	0.00, 2.08
187     	0.02, -14.44 	-11.81, -14.69 	0.00, 2.08
202     	0.02, -14.44 	-11.81, -14.69 	0.00, 2.08
217     	0.02, -14.44 	-11.81, -14.69 	0.00, 2.08
232     	0.02, -14.44 	-11.81, -14.68 	0.00, 2.08
312     	0.01, -14.43 	-11.81, -14.68 	0.00, 2.08
328     	0.01, -14.43 	-11.81, -14.69 	0.00, 2.08
343     	0.01, -14.43 	-11.81, -14.69 	0.00, 2.08
359     	0.01, -14.43 	-11.81, -14.73 	0.00, 2.08
438     	0.02, -14.52 	-11.81, -14.73 	0.00, 2.08
453     	0.02, -14.56 	-11.81, -14.73 	0.00, 2.08
468     	0.02, -14.52 	-11.79, -14.77 	0.00, 2.08
483     	0.02, -14.52 	-11.81, -14.77 	0.00, 2.08
498     	0.02, -14.52 	-11.81, -14.77 	0.00, 2.08
579     	0.01, -14.47 	-11.82, -14.69 	0.00, 2.08
595     	0.00, -14.51 	-11.82, -14.69 	0.00, 2.08
610     	0.01, -14.51 	-11.82, -14.69 	0.00, 2.08
626     	0.01, -14.43 	-11.80, -14.81 	0.00, 2.08
704     	-0.00, -14.39 	-11.82, -14.73 	0.00, 2.08
720     	0.02, -14.43 	-11.82, -14.73 	0.00, 2.08
735     	0.03, -14.43 	-103.47, 340.28 	0.00, 2.08
750     	0.04, -14.51 	-11.82, -14.73 	0.00, 2.08
765     	0.04, -14.51 	-11.82, -14.69 	0.00, 2.08
845     	0.02, -14.52 	-11.82, -14.69 	0.00, 2.08
861     	0.02, -14.47 	-11.82, -14.69 	0.00, 2.08
876     	0.02, -14.46 	-11.82, -14.69 	0.00, 2.08
892     	0.03, -14.46 	-11.81, -14.80 	0.00, 2.08
970     	0.03, -14.47 	-11.82, -14.69 	0.00, 2.08
985     	0.03, -14.47 	-11.82, -14.69 	0.00, 2.08
1000    	0.04, -14.51 	-11.82, -14.69 	0.00, 2.08
1015    	0.04, -14.51 	-103.47, 340.28 	0.00, 2.08
1030    	0.04, -14.51 	-11.82, -14.69 	0.00, 2.08
1111    	0.04, -14.51 	-11.81, -14.73 	0.00, 2.08
1127    	0.02, -14.52 	-11.81, -14.73 	0.00, 2.08
1142    	0.01, -14.48 	-11.81, -14.73 	0.00, 2.08
1158    	0.03, -14.59 	-11.81, -14.73 	0.00, 2.08
1237    	0.02, -14.60 	-11.81, -14.65 	0.00, 2.08
1252    	0.02, -14.60 	-103.47, 340.31 	0.00, 2.08
1267    	0.01, -14.44 	-11.81, -14.65 	0.00, 2.08
1325    	0.03, -14.39 	-11.81, -14.65 	0.00, 2.08
1340    	0.04, -14.51 	-11.81, -14.65 	0.00, 2.08
1355    	0.04, -14.55 	-11.81, -14.69 	0.00, 2.08
1370    	0.04, -14.51 	-11.81, -14.69 	0.00, 2.08
