#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	0.02, -14.44 	-11.82, -14.80 	-12.20, -0.55
32      	0.02, -14.44 	-11.78, -14.80 	-12.20, -0.55
47      	0.03, -14.44 	-11.83, -14.84 	-12.20, -0.55
63      	0.03, -14.44 	-11.81, -14.76 	-12.20, -0.55
78      	0.03, -14.44 	-11.82, -14.76 	-12.20, -0.55
94      	0.02, -14.44 	-11.81, -14.76 	-12.20, -0.55
171     	0.01, -14.44 	-11.82, -14.71 	-12.20, -0.55
186     	0.01, -14.44 	-11.83, -14.76 	-12.20, -0.55
202     	0.01, -14.48 	-11.82, -14.80 	-12.20, -0.55
217     	0.01, -14.52 	-11.82, -14.80 	-12.20, -0.55
232     	0.02, -14.52 	-11.82, -14.80 	-12.20, -0.55
313     	0.02, -14.52 	-11.82, -14.81 	-12.20, -0.55
329     	0.02, -14.52 	-11.80, -14.81 	-12.20, -0.55
344     	0.02, -14.52 	-11.80, -14.77 	-12.20, -0.55
360     	0.02, -14.52 	-11.82, -14.76 	-12.20, -0.55
439     	0.01, -14.48 	-11.82, -14.84 	-12.20, -0.55
454     	0.01, -14.48 	-11.83, -14.84 	-12.20, -0.55
469     	0.01, -14.49 	-11.81, -14.80 	-12.20, -0.55
484     	0.01, -14.49 	-11.82, -14.84 	-12.20, -0.55
499     	0.01, -14.49 	-11.82, -14.80 	-12.20, -0.55
579     	0.01, -14.37 	-11.83, -14.68 	-12.20, -0.55
595     	0.01, -14.37 	-11.83, -14.68 	-12.20, -0.55
610     	0.01, -14.37 	-11.84, -14.68 	-12.20, -0.55
626     	0.01, -14.37 	-11.84, -14.68 	-12.20, -0.55
729     	0.00, -14.37 	-11.83, -14.80 	-12.20, -0.55
745     	0.00, -14.36 	-11.82, -14.80 	-12.20, -0.55
760     	0.00, -14.37 	-11.82, -14.80 	-12.20, -0.55
776     	0.00, -14.37 	-11.82, -14.76 	-12.20, -0.55
791     	0.00, -14.37 	-11.84, -14.76 	-12.20, -0.55
807     	0.03, -14.48 	-11.85, -14.68 	-12.20, -0.55
884     	0.03, -14.48 	-11.84, -14.68 	-12.20, -0.55
899     	0.01, -14.53 	-11.84, -14.68 	-12.20, -0.55
914     	0.01, -14.49 	-11.85, -14.68 	-12.20, -0.55
929     	0.01, -14.49 	-11.85, -14.68 	-12.20, -0.55
1001    	0.01, -14.41 	-11.83, -14.80 	-12.20, -0.55
1016    	0.01, -14.41 	-102.21, 340.59 	-12.20, -0.55
1031    	0.01, -14.44 	-11.81, -14.69 	-12.20, -0.55
1046    	0.02, -14.52 	-11.83, -14.80 	-12.20, -0.55
1061    	0.02, -14.52 	-11.83, -14.80 	-12.20, -0.55
1142    	0.01, -14.45 	-11.83, -14.80 	-12.20, -0.55
1158    	0.01, -14.45 	-11.82, -14.72 	-12.20, -0.55
1173    	0.02, -14.52 	-11.82, -14.76 	-12.20, -0.55
1196    	0.04, -14.52 	-11.82, -14.64 	-12.20, -0.55
1220    	0.01, -14.41 	-11.84, -14.60 	-12.20, -0.55
1299    	0.01, -14.44 	-11.83, -14.64 	-12.20, -0.55
1323    	0.01, -14.45 	-11.83, -14.68 	-12.20, -0.55
1342    	0.01, -14.45 	-11.83, -14.64 	-12.20, -0.55
1362    	0.01, -14.40 	-11.83, -14.64 	-12.20, -0.55
1380    	0.01, -14.40 	-11.81, -14.65 	-12.20, -0.55
1399    	0.01, -14.40 	-11.81, -14.65 	-12.20, -0.55
1481    	0.02, -14.41 	-11.82, -14.69 	-12.20, -0.55
1500    	0.02, -14.41 	-11.82, -14.69 	-12.20, -0.55
1520    	0.02, -14.37 	-11.81, -14.69 	-12.20, -0.55
1540    	0.02, -14.37 	-11.83, -14.69 	-12.20, -0.55
