#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.63, -9.98 	-1.63, -15.78 	-9.15, -4.23
32      	-0.43, -15.15 	-1.62, -15.74 	-9.15, -4.23
48      	-0.63, -10.02 	-1.63, -15.66 	-9.15, -4.23
64      	-0.63, -10.02 	-1.63, -15.66 	-9.15, -4.23
80      	-0.63, -10.02 	-1.63, -15.66 	-9.15, -4.23
96      	-0.63, -10.02 	-1.63, -15.66 	-9.15, -4.23
173     	-0.43, -15.19 	-1.63, -15.66 	-9.15, -4.23
188     	-0.43, -15.19 	-1.63, -15.66 	-9.15, -4.23
204     	-0.43, -15.19 	-1.64, -15.74 	-9.15, -4.23
219     	-0.43, -15.19 	-1.64, -15.74 	-9.15, -4.23
234     	-0.43, -15.19 	-1.64, -15.74 	-9.15, -4.23
313     	-0.44, -15.23 	-1.62, -15.75 	-9.15, -4.23
329     	-0.44, -15.23 	-1.63, -15.71 	-9.15, -4.23
345     	-0.42, -15.22 	-1.63, -15.75 	-9.15, -4.23
361     	-0.42, -15.23 	-1.63, -15.67 	-9.15, -4.23
439     	-0.43, -15.27 	-1.63, -15.71 	-9.15, -4.23
455     	-0.41, -15.27 	-1.63, -15.71 	-9.15, -4.23
470     	-0.41, -15.26 	-1.63, -15.70 	-9.15, -4.23
528     	-0.61, -10.02 	-101.14, 349.93 	-9.15, -4.23
543     	-0.42, -15.14 	-1.64, -15.74 	-9.15, -4.23
558     	-0.44, -15.14 	-1.64, -15.79 	-9.15, -4.23
573     	-0.42, -15.14 	-1.62, -15.74 	-9.15, -4.23
588     	-0.42, -15.14 	-1.66, -15.65 	-9.15, -4.23
669     	-0.63, -9.96 	-1.76, -15.26 	-9.15, -4.23
685     	-0.44, -15.27 	-103.40, 341.28 	-9.15, -4.23
701     	-0.42, -15.30 	-3.13, -13.43 	-9.15, -4.23
717     	-0.47, -15.37 	-3.26, -13.27 	-9.15, -4.23
795     	-0.44, -15.41 	-5.09, -10.02 	-9.15, -4.23
810     	-0.45, -15.41 	-5.16, -9.47 	-9.15, -4.23
825     	-0.45, -15.41 	-6.23, -8.88 	-9.15, -4.23
841     	-0.45, -15.44 	-6.33, -8.69 	-9.15, -4.23
856     	-0.45, -15.44 	-6.50, -8.09 	-9.15, -4.23
937     	-0.45, -15.47 	-8.24, -5.66 	-9.15, -4.23
