#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.47, -10.31 	-0.69, -16.13 	0.00, -6.58
32      	-0.47, -10.31 	-0.68, -16.13 	0.00, -6.58
47      	-0.27, -15.43 	-0.69, -16.14 	0.00, -6.58
63      	-0.27, -15.43 	-0.69, -16.14 	0.00, -6.58
78      	-0.27, -15.48 	-0.69, -16.14 	0.00, -6.58
94      	-0.29, -15.52 	-0.68, -16.13 	0.00, -6.58
175     	-0.29, -15.60 	-0.69, -16.26 	0.00, -6.58
193     	-0.29, -15.60 	-0.69, -16.26 	0.00, -6.58
213     	-0.29, -15.56 	-0.69, -16.26 	0.00, -6.58
233     	-0.29, -15.47 	-0.69, -16.26 	0.00, -6.58
252     	-0.29, -15.47 	-0.69, -16.13 	0.00, -6.58
272     	-0.29, -15.47 	-0.69, -16.13 	0.00, -6.58
353     	-0.30, -15.43 	-0.68, -16.33 	0.00, -6.58
372     	-0.30, -15.43 	-0.68, -16.33 	0.00, -6.58
391     	-0.29, -15.52 	-0.69, -16.22 	0.00, -6.58
410     	-0.29, -15.52 	-0.69, -16.22 	0.00, -6.58
429     	-0.29, -15.52 	-0.68, -16.22 	0.00, -6.58
449     	-0.29, -15.51 	-0.69, -16.22 	0.00, -6.58
531     	-0.29, -15.51 	-0.69, -16.22 	0.00, -6.58
550     	-0.47, -10.31 	-0.69, -16.34 	0.00, -6.58
570     	-0.48, -10.31 	-0.69, -16.29 	0.00, -6.58
589     	-0.29, -15.43 	-0.69, -16.29 	0.00, -6.58
608     	-0.28, -15.43 	-0.69, -16.29 	0.00, -6.58
628     	-0.26, -15.43 	-0.69, -16.33 	0.00, -6.58
710     	-0.26, -15.50 	-0.68, -16.33 	0.00, -6.58
729     	-0.26, -15.50 	-0.68, -16.29 	0.00, -6.58
748     	-0.25, -15.54 	-0.68, -16.29 	0.00, -6.58
767     	-0.25, -15.54 	-0.69, -16.25 	0.00, -6.58
828     	-0.25, -15.54 	-0.68, -16.29 	0.00, -6.58
847     	-0.25, -15.54 	-0.68, -16.29 	0.00, -6.58
867     	-0.27, -15.55 	-0.68, -16.29 	0.00, -6.58
886     	-0.27, -15.54 	-0.69, -16.17 	0.00, -6.58
905     	-0.25, -15.54 	-0.68, -16.29 	0.00, -6.58
925     	-0.27, -15.42 	-0.68, -16.29 	0.00, -6.58
1027    	-0.28, -15.42 	-0.70, -16.21 	0.00, -6.58
1045    	-0.29, -15.46 	-0.68, -16.21 	0.00, -6.58
1061    	-0.29, -15.46 	-0.70, -16.21 	0.00, -6.58
1079    	-0.29, -15.46 	-0.70, -16.21 	0.00, -6.58
1096    	-0.29, -15.46 	-0.70, -16.21 	0.00, -6.58
1113    	-0.29, -15.46 	-0.70, -16.21 	0.00, -6.58
1130    	-0.29, -15.46 	-0.70, -16.21 	0.00, -6.58
1209    	-0.29, -15.46 	-0.70, -16.17 	0.00, -6.58
1226    	-0.28, -15.51 	-0.70, -16.21 	0.00, -6.58
1242    	-0.48, -10.30 	-0.70, -16.21 	0.00, -6.58
1259    	-0.27, -15.51 	-0.69, -16.29 	0.00, -6.58
1276    	-0.28, -15.50 	-0.69, -16.29 	0.00, -6.58
1356    	-0.27, -15.42 	-0.70, -16.17 	0.00, -6.58
1372    	-0.27, -15.43 	-0.70, -16.21 	0.00, -6.58
1388    	-0.27, -15.42 	-0.70, -16.21 	0.00, -6.58
1410    	-0.27, -15.42 	-0.70, -16.21 	0.00, -6.58
1435    	-0.27, -15.43 	-0.70, -16.21 	0.00, -6.58
1457    	-0.28, -15.55 	-0.70, -16.21 	0.00, -6.58
1535    	-0.26, -15.59 	-0.68, -16.21 	0.00, -6.58
1551    	-0.26, -15.55 	-0.70, -16.21 	0.00, -6.58
