#Time 	Sensor1         	Sensor2         	Target         
#================================================================

18      	-0.39, -15.66 	-1.69, -16.17 	7.93, 5.57
37      	-0.39, -15.54 	-1.69, -16.09 	7.93, 5.57
56      	-0.39, -15.54 	-1.70, -16.13 	7.93, 5.57
74      	-0.39, -15.54 	-1.72, -16.13 	7.93, 5.57
94      	-0.39, -15.54 	-1.72, -16.13 	7.93, 5.57
113     	-0.39, -15.66 	-1.71, -16.12 	7.93, 5.57
132     	-0.39, -15.54 	-1.71, -16.12 	7.93, 5.57
152     	-0.39, -15.54 	-1.71, -16.17 	7.93, 5.57
234     	-0.38, -15.66 	-1.71, -16.08 	7.93, 5.57
253     	-0.38, -15.54 	-1.70, -16.12 	7.93, 5.57
273     	-0.37, -15.58 	-1.70, -16.16 	7.93, 5.57
292     	-0.35, -15.70 	-1.70, -16.16 	7.93, 5.57
311     	-0.36, -15.62 	-1.71, -16.20 	7.93, 5.57
331     	-0.38, -15.63 	-1.71, -16.12 	7.93, 5.57
412     	-0.34, -15.75 	-1.69, -16.32 	7.93, 5.57
431     	-0.34, -15.71 	-1.69, -16.32 	7.93, 5.57
451     	-0.34, -15.71 	-1.70, -16.33 	7.93, 5.57
470     	-0.34, -15.71 	-1.68, -16.29 	7.93, 5.57
489     	-0.34, -15.71 	-1.68, -16.24 	7.93, 5.57
509     	-0.34, -15.71 	-1.70, -16.33 	7.93, 5.57
591     	-0.35, -15.67 	-1.71, -16.36 	7.93, 5.57
609     	-0.36, -15.67 	-1.71, -16.36 	7.93, 5.57
629     	-0.35, -15.67 	-1.69, -16.40 	7.93, 5.57
648     	-0.35, -15.72 	-1.70, -16.28 	7.93, 5.57
667     	-0.35, -15.72 	-1.69, -16.32 	7.93, 5.57
687     	-0.35, -15.72 	-1.69, -16.32 	7.93, 5.57
769     	-0.39, -15.72 	-1.71, -16.20 	7.93, 5.57
788     	-0.37, -15.72 	-1.71, -16.20 	7.93, 5.57
806     	-0.37, -15.72 	-1.71, -16.32 	7.93, 5.57
824     	-0.37, -15.67 	-1.71, -16.20 	7.93, 5.57
843     	-0.37, -15.72 	-1.71, -16.20 	7.93, 5.57
863     	-0.39, -15.68 	-1.71, -16.20 	7.93, 5.57
946     	-0.37, -15.67 	-1.71, -16.20 	7.93, 5.57
964     	-0.37, -15.72 	-1.72, -16.08 	7.93, 5.57
981     	-0.38, -15.76 	-1.72, -16.08 	7.93, 5.57
1008    	-0.38, -15.76 	-1.71, -16.12 	7.93, 5.57
1026    	-0.38, -15.63 	-1.71, -16.12 	7.93, 5.57
1049    	-0.39, -15.71 	-1.71, -16.16 	7.93, 5.57
1071    	-0.39, -15.71 	-1.71, -16.20 	7.93, 5.57
