#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-58.69, 24.10, 0.35 	-12.93, -4.11, -11.54 	0.00, 30.00 	11,43,13,408		0.00,0.00	0,0 	0
0       	-58.68, 24.10, 0.35 	-12.82, -4.06, -11.38 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.35 	-12.51, -4.00, -11.33 	0.00, 30.00 	11,43,13,408		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-12.08, -4.02, -11.33 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.35 	-11.65, -4.06, -11.33 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-11.42, -4.09, -11.26 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.35 	-11.24, -4.14, -11.11 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.35 	-11.16, -4.24, -10.91 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.35 	-11.15, -4.26, -10.73 	0.00, 30.00 	11,43,13,408		-nan,inf	0,0 	0
0       	-58.67, 24.10, 0.35 	-11.23, -4.23, -10.62 	0.00, 30.00 	11,43,13,408		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-11.33, -4.19, -10.60 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-11.41, -4.17, -10.61 	0.00, 30.00 	11,43,13,409		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-11.42, -4.21, -10.61 	0.00, 30.00 	11,43,13,409		-nan,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-11.42, -4.25, -10.60 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.36 	-11.37, -4.28, -10.58 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-11.29, -4.35, -10.56 	0.00, 30.00 	11,43,13,409		-nan,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-11.21, -4.40, -10.56 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.36 	-11.10, -4.40, -10.55 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-11.03, -4.39, -10.54 	0.00, 30.00 	11,43,13,409		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-11.00, -4.40, -10.51 	0.00, 30.00 	11,43,13,409		-nan,inf	0,0 	0
0       	-58.67, 24.09, 0.35 	-11.01, -4.42, -10.49 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
0       	-58.66, 24.10, 0.35 	-11.01, -4.42, -10.48 	0.00, 30.00 	11,43,13,409		inf,-nan	0,0 	0
0       	-58.66, 24.11, 0.35 	-11.03, -4.43, -10.46 	0.00, 30.00 	11,43,13,409		inf,inf	0,0 	0
