#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-20.21, 14.40, -6.71 	-0.15, 1.73, -6.75 	0.00, 10.00 	14,49,3,681		0.00,0.00	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.16, 1.73, -6.76 	0.00, 10.00 	14,49,3,681		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.15, 1.73, -6.77 	0.00, 10.00 	14,49,3,681		inf,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.15, 1.73, -6.77 	0.00, 10.00 	14,49,3,681		inf,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.15, 1.73, -6.77 	0.00, 10.00 	14,49,3,681		-nan,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.18, 1.73, -6.76 	0.00, 10.00 	14,49,3,681		-nan,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.18, 1.73, -6.76 	0.00, 10.00 	14,49,3,681		-nan,-nan	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.15, 1.72, -6.76 	0.00, 10.00 	14,49,3,681		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.15, 1.72, -6.76 	0.00, 10.00 	14,49,3,681		-nan,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.13, 1.72, -6.77 	0.00, 10.00 	14,49,3,681		inf,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.13, 1.72, -6.77 	0.00, 10.00 	14,49,3,681		-nan,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.20, 1.74, -6.77 	0.00, 10.00 	14,49,3,681		-nan,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.14, 1.74, -6.77 	0.00, 10.00 	14,49,3,681		inf,inf	0,0 	0
0       	-20.21, 14.39, -6.72 	-0.14, 1.74, -6.77 	0.00, 10.00 	14,49,3,681		inf,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.14, 1.73, -6.77 	0.00, 10.00 	14,49,3,681		-nan,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.14, 1.74, -6.77 	0.00, 10.00 	14,49,3,682		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.18, 1.74, -6.78 	0.00, 10.00 	14,49,3,682		-nan,inf	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.15, 1.75, -6.78 	0.00, 10.00 	14,49,3,682		inf,inf	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.12, 1.73, -6.79 	0.00, 10.00 	14,49,3,682		-nan,inf	0,0 	0
0       	-20.20, 14.40, -6.70 	-0.12, 1.75, -6.79 	0.00, 10.00 	14,49,3,682		-nan,inf	0,0 	0
0       	-20.20, 14.40, -6.70 	-0.15, 1.75, -6.79 	0.00, 10.00 	14,49,3,682		-nan,inf	0,0 	0
