#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	150221.30, 114718.52, -6.78 	-0.89, 0.66, -6.79 	0.00, 10.00 	14,19,37,422		0.00,0.00	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.88, 0.68, -6.79 	0.00, 10.00 	14,19,37,422		-nan,inf	0,0 	0
0       	150226.61, 114722.59, -6.79 	-0.93, 0.68, -6.79 	0.00, 10.00 	14,19,37,422		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.79 	-0.91, 0.67, -6.80 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.88, 0.67, -6.80 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.88, 0.67, -6.79 	0.00, 10.00 	14,19,37,423		inf,-nan	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.88, 0.68, -6.79 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.90, 0.68, -6.79 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.93, 0.70, -6.79 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.72, -6.79 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150226.61, 114722.59, -6.77 	-0.92, 0.73, -6.80 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150156.19, 114668.82, -6.78 	-0.94, 0.74, -6.81 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.93, 0.75, -6.81 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150150.88, 114664.74, -6.78 	-0.93, 0.76, -6.80 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.93, 0.76, -6.80 	0.00, 10.00 	14,19,37,423		inf,-nan	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.94, 0.72, -6.79 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.94, 0.74, -6.78 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.97, 0.74, -6.78 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.73, -6.77 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150226.61, 114722.59, -6.78 	-0.97, 0.75, -6.78 	0.00, 10.00 	14,19,37,423		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.74, -6.78 	0.00, 10.00 	14,19,37,424		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.76, -6.78 	0.00, 10.00 	14,19,37,424		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.96, 0.77, -6.79 	0.00, 10.00 	14,19,37,424		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.80, -6.79 	0.00, 10.00 	14,19,37,424		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.94, 0.77, -6.80 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.79, -6.79 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.96, 0.75, -6.79 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.96, 0.75, -6.78 	0.00, 10.00 	14,19,37,425		-nan,-nan	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.97, 0.74, -6.78 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.73, -6.78 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.74, -6.79 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150291.73, 114772.29, -6.77 	-0.96, 0.75, -6.80 	0.00, 10.00 	14,19,37,425		inf,inf	0,0 	0
0       	150367.47, 114830.13, -6.77 	-0.96, 0.77, -6.81 	0.00, 10.00 	14,19,37,425		inf,inf	0,0 	0
0       	150291.73, 114772.29, -6.77 	-0.97, 0.76, -6.81 	0.00, 10.00 	14,19,37,425		inf,inf	0,0 	0
0       	150291.73, 114772.29, -6.77 	-0.95, 0.77, -6.81 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.77 	-0.94, 0.76, -6.80 	0.00, 10.00 	14,19,37,425		inf,inf	0,0 	0
0       	150221.30, 114718.52, -6.77 	-0.96, 0.77, -6.80 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.77 	-0.96, 0.76, -6.79 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
0       	150221.30, 114718.52, -6.78 	-0.95, 0.77, -6.79 	0.00, 10.00 	14,19,37,425		-nan,inf	0,0 	0
