#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	150601.33, 115008.57, -6.79 	-0.62, 0.24, -7.36 	0.00, 10.00 	14,20,6,919		0.00,0.00	0,0 	0
0       	150601.33, 115008.57, -6.79 	-0.62, 0.24, -7.33 	0.00, 10.00 	14,20,6,919		-nan,-nan	0,0 	0
0       	150530.89, 114954.80, -6.79 	-0.63, 0.24, -7.33 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.63, 0.24, -7.34 	0.00, 10.00 	14,20,6,920		inf,-nan	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.63, 0.24, -7.34 	0.00, 10.00 	14,20,6,920		-nan,-nan	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.58, 0.26, -7.35 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.59, 0.26, -7.37 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.56, 0.26, -7.37 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.58, 0.29, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.59, 0.29, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.58, 0.29, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150596.00, 115004.50, -6.78 	-0.61, 0.29, -7.38 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150596.00, 115004.50, -6.78 	-0.61, 0.29, -7.38 	0.00, 10.00 	14,20,6,920		-nan,-nan	0,0 	0
0       	150530.89, 114954.80, -6.78 	-0.61, 0.28, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150601.33, 115008.57, -6.78 	-0.61, 0.27, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150596.00, 115004.50, -6.78 	-0.61, 0.27, -7.37 	0.00, 10.00 	14,20,6,920		inf,-nan	0,0 	0
0       	150590.69, 115000.43, -6.77 	-0.59, 0.28, -7.38 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150596.00, 115004.50, -6.77 	-0.57, 0.28, -7.38 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150666.44, 115058.27, -6.78 	-0.58, 0.29, -7.39 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150596.00, 115004.50, -6.78 	-0.60, 0.29, -7.39 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.59, 0.29, -7.37 	0.00, 10.00 	14,20,6,920		inf,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.60, 0.29, -7.38 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.64, 0.29, -7.37 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
0       	150525.58, 114950.73, -6.78 	-0.60, 0.28, -7.37 	0.00, 10.00 	14,20,6,920		-nan,inf	0,0 	0
