#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

17      	-4.39, 7.70, -8.76 	-1.13, -0.29, -7.71 	0.00, 10.00 	12,30,59,825		0.00,0.00	0,0 	0
26      	-4.39, 7.70, -8.77 	-1.12, -0.30, -7.69 	0.00, 10.00 	12,30,59,834		0.00,1.75	0,0 	0
35      	-4.45, 7.69, -8.79 	-1.12, -0.28, -7.71 	0.00, 10.00 	12,30,59,844		6.33,2.32	0,0 	0
44      	-4.44, 7.69, -8.79 	-1.14, -0.29, -7.70 	0.00, 10.00 	12,30,59,854		0.33,2.78	0,0 	0
53      	-4.47, 7.69, -8.83 	-1.18, -0.29, -7.69 	0.00, 10.00 	12,30,59,864		2.73,3.84	0,0 	0
62      	-4.43, 7.69, -8.83 	-1.18, -0.29, -7.70 	0.00, 10.00 	12,30,59,873		4.60,0.00	0,0 	0
71      	-4.43, 7.69, -8.82 	-1.18, -0.28, -7.70 	0.00, 10.00 	12,30,59,883		0.33,1.16	0,0 	0
80      	-4.44, 7.69, -8.82 	-1.18, -0.29, -7.70 	0.00, 10.00 	12,30,59,893		1.27,1.16	0,0 	0
89      	-4.42, 7.69, -8.83 	-1.14, -0.29, -7.70 	0.00, 10.00 	12,30,59,902		2.86,3.84	0,0 	0
98      	-4.51, 7.68, -8.82 	-1.13, -0.29, -7.69 	0.00, 10.00 	12,30,59,912		10.60,1.28	0,0 	0
107     	-4.52, 7.68, -8.82 	-1.17, -0.30, -7.70 	0.00, 10.00 	12,30,59,922		0.80,5.22	0,0 	0
116     	-4.50, 7.68, -8.80 	-1.12, -0.32, -7.69 	0.00, 10.00 	12,30,59,931		2.07,6.87	0,0 	0
125     	-4.53, 7.68, -8.81 	-1.10, -0.32, -7.69 	0.00, 10.00 	12,30,59,941		3.00,1.28	0,0 	0
134     	-4.52, 7.68, -8.78 	-1.10, -0.32, -7.69 	0.00, 10.00 	12,30,59,951		0.33,0.00	0,0 	0
143     	-4.57, 7.67, -8.83 	-1.12, -0.31, -7.69 	0.00, 10.00 	12,30,59,960		5.87,1.75	0,0 	0
152     	-4.52, 7.68, -8.85 	-1.13, -0.32, -7.69 	0.00, 10.00 	12,30,59,970		6.14,1.71	0,0 	0
161     	-4.54, 7.68, -8.82 	-1.17, -0.31, -7.69 	0.00, 10.00 	12,30,59,980		1.73,5.29	0,0 	0
170     	-4.49, 7.69, -8.85 	-1.15, -0.29, -7.71 	0.00, 10.00 	12,30,59,989		5.20,3.41	0,0 	0
179     	-4.49, 7.69, -8.84 	-1.16, -0.30, -7.72 	0.00, 10.00 	12,30,59,999		0.16,1.71	0,0 	0
188     	-4.58, 7.67, -8.82 	-1.14, -0.28, -7.72 	0.00, 10.00 	12,31,0,9		10.13,3.41	0,0 	0
197     	-4.55, 7.68, -8.78 	-1.15, -0.30, -7.71 	0.00, 10.00 	12,31,0,19		3.33,2.62	0,0 	0
206     	-4.60, 7.67, -8.77 	-1.12, -0.33, -7.69 	0.00, 10.00 	12,31,0,28		5.67,5.26	0,0 	0
215     	-4.65, 7.66, -8.75 	-1.13, -0.32, -7.71 	0.00, 10.00 	12,31,0,38		5.20,1.75	0,0 	0
