#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	5.04, -23.96, -10.12 	45.03, 19.99, -20.13 	0.00, 30.00 	14,1,26,190		0.00,0.00	0,0 	0
0       	5.00, -23.97, -10.17 	-83.27, 49.39, 10.69 	0.00, 30.00 	14,1,26,190		inf,inf	0,0 	0
0       	5.09, -23.94, -10.25 	-71.41, 43.76, 2.56 	0.00, 30.00 	14,1,26,190		inf,inf	0,0 	0
0       	5.36, -23.64, -10.51 	35.63, 58.23, 1.73 	0.00, 30.00 	14,1,26,190		inf,inf	0,0 	0
0       	5.70, -23.25, -10.67 	32.53, 40.18, -2.21 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	6.15, -23.10, -10.57 	29.49, -11.76, -8.86 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	6.42, -23.23, -10.42 	22.18, -19.91, -10.49 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	6.37, -23.43, -10.25 	22.56, -19.48, -10.77 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	6.05, -23.66, -10.03 	23.50, -18.63, -10.97 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.78, -23.87, -9.83 	24.03, -18.27, -10.96 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.61, -24.04, -9.74 	23.91, -18.67, -10.76 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.47, -24.04, -9.74 	23.34, -19.67, -10.44 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.40, -24.09, -9.76 	22.84, -20.92, -9.99 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.38, -24.11, -9.79 	22.52, -22.15, -9.45 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.47, -24.14, -9.83 	23.74, -22.70, -9.29 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.62, -24.06, -9.87 	26.21, -22.23, -9.56 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.75, -24.01, -9.87 	30.38, -20.36, -10.45 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.81, -23.93, -9.89 	34.98, -17.90, -11.58 	0.00, 30.00 	14,1,26,191		inf,inf	0,0 	0
0       	5.68, -23.90, -9.87 	38.18, -15.12, -12.71 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	5.41, -23.91, -9.91 	39.15, -13.74, -13.18 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	4.94, -24.08, -9.89 	32.18, -15.59, -10.40 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	4.40, -24.29, -9.93 	32.18, -15.59, -10.40 	0.00, 30.00 	14,1,26,192		inf,-nan	0,0 	0
0       	3.98, -24.44, -10.12 	46.53, 3.29, -14.73 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	3.88, -24.26, -10.52 	63.76, 57.61, -26.62 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	4.35, -23.75, -10.83 	62.71, 55.57, -24.17 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
0       	5.14, -23.35, -10.89 	67.65, 31.08, -22.03 	0.00, 30.00 	14,1,26,192		inf,inf	0,0 	0
