#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	0.25, -0.91, -7.03 	17.13, -23.36, -6.06 	0.00, 10.00 	14,1,47,710		0.00,0.00	0,0 	0
0       	0.25, -0.91, -7.03 	17.09, -23.39, -6.06 	0.00, 10.00 	14,1,47,710		-nan,inf	0,0 	0
0       	0.25, -0.93, -7.03 	17.06, -23.37, -6.08 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.25, -0.92, -7.03 	17.02, -23.40, -6.09 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.25, -0.92, -7.03 	16.98, -23.44, -6.06 	0.00, 10.00 	14,1,47,710		-nan,inf	0,0 	0
0       	0.27, -0.92, -7.03 	17.03, -23.41, -6.06 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.27, -0.92, -7.03 	17.02, -23.41, -6.07 	0.00, 10.00 	14,1,47,710		-nan,inf	0,0 	0
0       	0.26, -0.92, -7.03 	17.00, -23.41, -6.08 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.27, -0.92, -7.03 	17.02, -23.39, -6.09 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.25, -0.93, -7.03 	16.97, -23.36, -6.08 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.24, -0.93, -7.02 	17.02, -23.39, -6.10 	0.00, 10.00 	14,1,47,710		inf,inf	0,0 	0
0       	0.25, -0.92, -7.03 	16.99, -23.41, -6.10 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.23, -0.93, -7.03 	16.92, -23.41, -6.09 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.23, -0.92, -7.03 	16.94, -23.41, -6.07 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.93, -7.02 	16.89, -23.42, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.27, -0.93, -7.02 	16.94, -23.43, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.27, -0.93, -7.03 	16.91, -23.45, -6.05 	0.00, 10.00 	14,1,47,711		-nan,inf	0,0 	0
0       	0.26, -0.92, -7.03 	16.88, -23.43, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.28, -0.91, -7.02 	16.91, -23.44, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.26, -0.91, -7.02 	16.92, -23.44, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.26, -0.92, -7.02 	16.81, -23.48, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.25, -0.91, -7.01 	16.80, -23.49, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.91, -7.01 	16.80, -23.47, -6.03 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.92, -7.01 	16.79, -23.46, -6.05 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.23, -0.92, -7.02 	16.79, -23.48, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.22, -0.92, -7.03 	16.83, -23.47, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.91, -7.03 	16.92, -23.44, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.90, -7.03 	16.88, -23.45, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.26, -0.90, -7.03 	16.93, -23.43, -6.07 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.27, -0.89, -7.03 	16.89, -23.38, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.26, -0.89, -7.03 	16.93, -23.39, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.25, -0.90, -7.02 	16.89, -23.41, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.90, -7.02 	16.93, -23.42, -6.09 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.91, -7.02 	16.83, -23.44, -6.06 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.23, -0.90, -7.02 	16.79, -23.43, -6.09 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.92, -7.02 	16.83, -23.44, -6.09 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.93, -7.01 	16.88, -23.42, -6.08 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.92, -7.01 	16.85, -23.42, -6.10 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.24, -0.93, -7.01 	16.85, -23.42, -6.10 	0.00, 10.00 	14,1,47,711		inf,-nan	0,0 	0
0       	0.25, -0.92, -7.00 	16.84, -23.41, -6.07 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
0       	0.23, -0.92, -7.00 	16.90, -23.41, -6.07 	0.00, 10.00 	14,1,47,711		inf,inf	0,0 	0
