#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

16      	-0.11, 0.24, -7.00 	-13.09, -14.86, -8.06 	0.00, 20.00 	14,2,13,901		0.00,0.00	0,0 	0
25      	-0.15, 0.22, -7.00 	-13.11, -14.87, -8.06 	0.00, 20.00 	14,2,13,911		5.36,2.44	0,0 	0
34      	-0.15, 0.22, -7.00 	-13.11, -14.83, -8.07 	0.00, 20.00 	14,2,13,921		0.00,3.68	0,0 	0
43      	-0.15, 0.22, -7.00 	-13.13, -14.85, -8.06 	0.00, 20.00 	14,2,13,930		0.00,2.67	0,0 	0
52      	-0.13, 0.23, -7.00 	-13.12, -14.83, -8.06 	0.00, 20.00 	14,2,13,940		2.68,1.66	0,0 	0
61      	-0.16, 0.21, -7.00 	-13.12, -14.81, -8.06 	0.00, 20.00 	14,2,13,950		4.30,2.34	0,0 	0
70      	-0.15, 0.21, -7.00 	-13.11, -14.78, -8.07 	0.00, 20.00 	14,2,13,959		1.22,3.68	0,0 	0
79      	-0.11, 0.22, -7.00 	-13.13, -14.75, -8.07 	0.00, 20.00 	14,2,13,969		5.00,3.76	0,0 	0
88      	-0.13, 0.23, -7.02 	-13.13, -14.74, -8.07 	0.00, 20.00 	14,2,13,979		2.75,1.17	0,0 	0
97      	-0.12, 0.21, -7.02 	-13.15, -14.73, -8.05 	0.00, 20.00 	14,2,13,988		2.68,2.74	0,0 	0
106     	-0.09, 0.23, -7.02 	-13.08, -14.74, -8.04 	0.00, 20.00 	14,2,13,998		4.30,7.46	0,0 	0
115     	-0.08, 0.21, -7.00 	-13.13, -14.70, -8.05 	0.00, 20.00 	14,2,14,8		2.68,6.88	0,0 	0
124     	-0.09, 0.21, -7.00 	-13.13, -14.68, -8.05 	0.00, 20.00 	14,2,14,17		1.22,2.34	0,0 	0
133     	-0.15, 0.22, -7.00 	-13.13, -14.67, -8.05 	0.00, 20.00 	14,2,14,27		7.48,1.17	0,0 	0
142     	-0.15, 0.21, -7.00 	-13.12, -14.67, -8.06 	0.00, 20.00 	14,2,14,37		1.17,1.22	0,0 	0
151     	-0.17, 0.19, -7.00 	-13.16, -14.65, -8.06 	0.00, 20.00 	14,2,14,46		2.68,4.41	0,0 	0
160     	-0.17, 0.19, -7.00 	-13.21, -14.64, -8.06 	0.00, 20.00 	14,2,14,56		0.00,6.25	0,0 	0
169     	-0.20, 0.19, -7.00 	-13.19, -14.64, -8.06 	0.00, 20.00 	14,2,14,66		2.45,2.44	0,0 	0
178     	-0.17, 0.18, -7.00 	-13.18, -14.63, -8.05 	0.00, 20.00 	14,2,14,75		2.75,1.66	0,0 	0
187     	-0.18, 0.19, -7.00 	-13.18, -14.61, -8.05 	0.00, 20.00 	14,2,14,85		1.72,2.34	0,0 	0
196     	-0.14, 0.20, -6.99 	-13.19, -14.60, -8.05 	0.00, 20.00 	14,2,14,95		4.90,1.17	0,0 	0
205     	-0.17, 0.19, -7.00 	-13.20, -14.59, -8.04 	0.00, 20.00 	14,2,14,104		3.67,1.72	0,0 	0
214     	-0.19, 0.20, -7.01 	-13.19, -14.56, -8.05 	0.00, 20.00 	14,2,14,114		1.72,2.60	0,0 	0
223     	-0.20, 0.22, -7.00 	-13.18, -14.54, -8.04 	0.00, 20.00 	14,2,14,124		2.68,2.60	0,0 	0
232     	-0.18, 0.22, -7.00 	-13.19, -14.51, -8.03 	0.00, 20.00 	14,2,14,133		2.75,3.76	0,0 	0
241     	-0.21, 0.22, -7.00 	-13.19, -14.50, -8.04 	0.00, 20.00 	14,2,14,143		3.89,1.17	0,0 	0
250     	-0.21, 0.22, -7.00 	-13.24, -14.45, -8.03 	0.00, 20.00 	14,2,14,153		0.00,7.75	0,0 	0
259     	-0.25, 0.21, -7.00 	-13.25, -14.41, -8.03 	0.00, 20.00 	14,2,14,163		5.00,4.68	0,0 	0
268     	-0.22, 0.22, -7.01 	-13.28, -14.40, -8.03 	0.00, 20.00 	14,2,14,172		3.82,3.88	0,0 	0
277     	-0.21, 0.23, -7.01 	-13.26, -14.39, -8.03 	0.00, 20.00 	14,2,14,182		1.67,2.67	0,0 	0
286     	-0.19, 0.24, -7.01 	-13.26, -14.38, -8.02 	0.00, 20.00 	14,2,14,192		2.45,1.17	0,0 	0
295     	-0.19, 0.26, -7.03 	-13.27, -14.36, -8.02 	0.00, 20.00 	14,2,14,201		2.35,2.68	0,0 	0
304     	-0.14, 0.24, -7.01 	-13.24, -14.34, -8.03 	0.00, 20.00 	14,2,14,211		5.50,4.28	0,0 	0
313     	-0.21, 0.24, -7.02 	-13.29, -14.31, -8.02 	0.00, 20.00 	14,2,14,221		7.48,6.11	0,0 	0
322     	-0.17, 0.23, -7.00 	-13.31, -14.29, -8.02 	0.00, 20.00 	14,2,14,230		5.50,3.44	0,0 	0
331     	-0.10, 0.24, -7.00 	-13.29, -14.27, -8.03 	0.00, 20.00 	14,2,14,240		7.40,3.32	0,0 	0
340     	-0.18, 0.23, -7.01 	-13.32, -14.24, -8.02 	0.00, 20.00 	14,2,14,250		8.61,4.34	0,0 	0
349     	-0.19, 0.21, -7.00 	-13.33, -14.22, -8.01 	0.00, 20.00 	14,2,14,259		1.67,2.68	0,0 	0
358     	-0.20, 0.23, -7.01 	-13.35, -14.20, -8.00 	0.00, 20.00 	14,2,14,269		2.68,2.68	0,0 	0
367     	-0.19, 0.24, -7.00 	-13.34, -14.15, -8.02 	0.00, 20.00 	14,2,14,279		1.22,4.80	0,0 	0
