#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

16      	-0.62, 0.05, -6.97 	-29.60, -19.16, -7.75 	0.00, 10.00 	14,2,25,692		0.00,0.00	0,0 	0
25      	-0.61, 0.04, -6.97 	-29.55, -19.16, -7.72 	0.00, 10.00 	14,2,25,702		1.72,6.10	0,0 	0
34      	-0.62, 0.07, -6.98 	-29.58, -19.16, -7.72 	0.00, 10.00 	14,2,25,712		3.52,3.66	0,0 	0
43      	-0.62, 0.07, -6.98 	-29.54, -19.19, -7.72 	0.00, 10.00 	14,2,25,721		0.00,6.11	0,0 	0
52      	-0.59, 0.07, -6.99 	-29.52, -19.20, -7.71 	0.00, 10.00 	14,2,25,731		2.45,1.72	0,0 	0
61      	-0.64, 0.07, -6.99 	-29.52, -19.20, -7.71 	0.00, 10.00 	14,2,25,741		4.90,0.00	0,0 	0
70      	-0.64, 0.06, -6.97 	-29.52, -19.22, -7.71 	0.00, 10.00 	14,2,25,750		1.17,2.34	0,0 	0
79      	-0.64, 0.06, -6.98 	-29.52, -19.22, -7.70 	0.00, 10.00 	14,2,25,760		0.00,0.00	0,0 	0
88      	-0.62, 0.08, -6.99 	-29.51, -19.21, -7.70 	0.00, 10.00 	14,2,25,770		3.34,1.66	0,0 	0
97      	-0.58, 0.09, -6.99 	-29.50, -19.23, -7.71 	0.00, 10.00 	14,2,25,779		3.82,2.68	0,0 	0
106     	-0.58, 0.08, -6.99 	-29.53, -19.22, -7.71 	0.00, 10.00 	14,2,25,789		1.17,3.88	0,0 	0
115     	-0.59, 0.11, -7.00 	-29.54, -19.22, -7.70 	0.00, 10.00 	14,2,25,799		2.35,1.22	0,0 	0
124     	-0.55, 0.10, -6.99 	-29.53, -19.21, -7.70 	0.00, 10.00 	14,2,25,808		3.89,1.66	0,0 	0
133     	-0.55, 0.11, -7.00 	-29.51, -19.22, -7.71 	0.00, 10.00 	14,2,25,818		1.17,2.74	0,0 	0
142     	-0.55, 0.11, -7.00 	-29.46, -19.25, -7.69 	0.00, 10.00 	14,2,25,828		0.00,6.11	0,0 	0
151     	-0.55, 0.12, -7.02 	-29.45, -19.25, -7.69 	0.00, 10.00 	14,2,25,837		1.17,1.22	0,0 	0
160     	-0.56, 0.12, -7.01 	-29.45, -19.28, -7.66 	0.00, 10.00 	14,2,25,847		1.22,3.51	0,0 	0
169     	-0.54, 0.11, -6.99 	-29.45, -19.29, -7.66 	0.00, 10.00 	14,2,25,857		2.75,1.17	0,0 	0
178     	-0.54, 0.11, -6.99 	-29.44, -19.28, -7.67 	0.00, 10.00 	14,2,25,866		0.00,1.66	0,0 	0
