#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

18      	0.73, -1.15, -6.87 	15.07, -22.35, -6.53 	0.00, 10.00 	13,28,5,675		0.00,0.00	0,0 	0
27      	0.77, -1.14, -6.88 	15.14, -22.35, -6.51 	0.00, 10.00 	13,28,5,685		3.91,7.76	0,0 	0
36      	0.80, -1.13, -6.88 	15.21, -22.26, -6.56 	0.00, 10.00 	13,28,5,695		4.05,12.82	0,0 	0
45      	0.78, -1.12, -6.89 	15.14, -22.30, -6.54 	0.00, 10.00 	13,28,5,704		2.89,8.44	0,0 	0
54      	0.75, -1.11, -6.89 	15.19, -22.25, -6.52 	0.00, 10.00 	13,28,5,714		2.89,6.87	0,0 	0
63      	0.73, -1.14, -6.89 	15.28, -22.28, -6.53 	0.00, 10.00 	13,28,5,724		3.45,11.00	0,0 	0
72      	0.71, -1.12, -6.90 	15.28, -22.22, -6.53 	0.00, 10.00 	13,28,5,733		3.55,6.96	0,0 	0
81      	0.69, -1.11, -6.90 	15.35, -22.21, -6.58 	0.00, 10.00 	13,28,5,743		1.77,7.76	0,0 	0
90      	0.72, -1.12, -6.90 	15.51, -22.18, -6.61 	0.00, 10.00 	13,28,5,753		2.89,18.37	0,0 	0
99      	0.73, -1.11, -6.88 	15.49, -22.07, -6.69 	0.00, 10.00 	13,28,5,762		1.30,11.71	0,0 	0
108     	0.77, -1.11, -6.89 	15.67, -21.94, -6.82 	0.00, 10.00 	13,28,5,772		3.91,24.69	0,0 	0
117     	0.78, -1.15, -6.88 	15.81, -21.76, -6.91 	0.00, 10.00 	13,28,5,782		4.88,24.77	0,0 	0
126     	0.80, -1.13, -6.90 	15.92, -21.71, -6.90 	0.00, 10.00 	13,28,5,791		3.45,14.06	0,0 	0
135     	0.74, -1.11, -6.90 	16.16, -21.63, -6.78 	0.00, 10.00 	13,28,5,801		6.98,27.90	0,0 	0
144     	0.75, -1.11, -6.90 	16.12, -21.76, -6.71 	0.00, 10.00 	13,28,5,811		1.30,14.75	0,0 	0
153     	0.75, -1.10, -6.90 	16.02, -21.93, -6.54 	0.00, 10.00 	13,28,5,820		1.17,22.39	0,0 	0
162     	0.69, -1.15, -6.89 	15.80, -22.20, -6.36 	0.00, 10.00 	13,28,5,830		9.00,38.44	0,0 	0
171     	0.67, -1.15, -6.88 	15.58, -22.22, -6.25 	0.00, 10.00 	13,28,5,840		1.30,24.59	0,0 	0
180     	0.68, -1.14, -6.89 	15.56, -22.23, -6.20 	0.00, 10.00 	13,28,5,849		1.73,2.59	0,0 	0
189     	0.72, -1.11, -6.89 	15.61, -22.13, -6.21 	0.00, 10.00 	13,28,5,859		5.18,12.16	0,0 	0
198     	0.72, -1.11, -6.90 	15.79, -21.98, -6.25 	0.00, 10.00 	13,28,5,869		0.00,25.34	0,0 	0
207     	0.70, -1.13, -6.90 	16.07, -21.79, -6.39 	0.00, 10.00 	13,28,5,878		3.45,37.51	0,0 	0
216     	0.73, -1.14, -6.90 	16.35, -21.67, -6.46 	0.00, 10.00 	13,28,5,888		4.11,34.12	0,0 	0
225     	0.77, -1.12, -6.90 	16.45, -21.64, -6.52 	0.00, 10.00 	13,28,5,898		4.05,12.08	0,0 	0
234     	0.74, -1.14, -6.89 	16.48, -21.67, -6.57 	0.00, 10.00 	13,28,5,908		2.83,4.39	0,0 	0
243     	0.78, -1.14, -6.88 	16.47, -21.76, -6.56 	0.00, 10.00 	13,28,5,917		4.11,10.50	0,0 	0
252     	0.77, -1.13, -6.90 	16.37, -21.86, -6.57 	0.00, 10.00 	13,28,5,927		1.77,15.47	0,0 	0
261     	0.72, -1.12, -6.92 	16.30, -21.88, -6.50 	0.00, 10.00 	13,28,5,937		5.77,7.82	0,0 	0
270     	0.72, -1.07, -6.97 	16.33, -21.94, -6.52 	0.00, 10.00 	13,28,5,946		4.66,7.49	0,0 	0
279     	0.60, -1.05, -7.07 	16.32, -21.95, -6.51 	0.00, 10.00 	13,28,5,956		13.59,1.72	0,0 	0
288     	0.62, -0.94, -7.20 	16.36, -21.94, -6.53 	0.00, 10.00 	13,28,5,966		12.20,4.03	0,0 	0
297     	0.75, -0.63, -7.44 	16.41, -21.90, -6.52 	0.00, 10.00 	13,28,5,975		37.41,7.28	0,0 	0
306     	0.97, -0.11, -7.58 	16.44, -21.93, -6.53 	0.00, 10.00 	13,28,5,985		62.19,4.39	0,0 	0
315     	1.14, 0.28, -7.68 	16.50, -21.87, -6.58 	0.00, 10.00 	13,28,5,995		47.96,10.31	0,0 	0
324     	1.15, 0.64, -7.70 	16.54, -21.86, -6.59 	0.00, 10.00 	13,28,5,4		39.85,3.88	0,0 	0
333     	1.11, 0.91, -7.72 	16.65, -21.86, -6.61 	0.00, 10.00 	13,28,6,14		30.50,12.94	0,0 	0
342     	1.18, 1.16, -7.76 	16.67, -21.83, -6.60 	0.00, 10.00 	13,28,6,24		28.51,4.29	0,0 	0
351     	1.07, 1.35, -7.77 	16.55, -21.83, -6.61 	0.00, 10.00 	13,28,6,33		24.74,14.23	0,0 	0
360     	0.92, 1.52, -7.76 	16.58, -21.80, -6.64 	0.00, 10.00 	13,28,6,43		25.59,5.16	0,0 	0
369     	0.80, 1.73, -7.80 	16.67, -21.82, -6.67 	0.00, 10.00 	13,28,6,53		26.39,10.66	0,0 	0
378     	0.68, 2.00, -7.80 	16.72, -21.75, -6.70 	0.00, 10.00 	13,28,6,62		33.44,8.58	0,0 	0
387     	0.49, 2.47, -7.88 	16.72, -21.75, -6.74 	0.00, 10.00 	13,28,6,72		55.58,0.00	0,0 	0
396     	0.43, 3.12, -7.97 	16.76, -21.78, -6.79 	0.00, 10.00 	13,28,6,82		73.51,6.30	0,0 	0
405     	0.38, 3.98, -7.95 	16.86, -21.67, -6.92 	0.00, 10.00 	13,28,6,91		95.58,16.25	0,0 	0
414     	0.46, 4.86, -7.88 	17.15, -21.55, -7.11 	0.00, 10.00 	13,28,6,101		97.80,34.12	0,0 	0
423     	0.47, 5.66, -7.84 	17.18, -21.51, -7.33 	0.00, 10.00 	13,28,6,111		88.75,5.98	0,0 	0
432     	0.45, 6.31, -7.80 	17.02, -21.61, -7.49 	0.00, 10.00 	13,28,6,121		72.30,20.71	0,0 	0
441     	0.50, 6.85, -7.73 	16.86, -21.74, -7.68 	0.00, 10.00 	13,28,6,130		60.10,23.63	0,0 	0
450     	0.51, 7.35, -7.67 	16.48, -21.83, -7.96 	0.00, 10.00 	13,28,6,140		56.07,43.11	0,0 	0
459     	0.60, 7.84, -7.66 	15.99, -22.02, -8.30 	0.00, 10.00 	13,28,6,150		55.14,58.26	0,0 	0
468     	0.64, 8.26, -7.66 	15.47, -22.11, -8.65 	0.00, 10.00 	13,28,6,159		47.08,58.61	0,0 	0
477     	0.75, 8.63, -7.63 	15.28, -22.13, -8.89 	0.00, 10.00 	13,28,6,169		43.31,20.71	0,0 	0
486     	0.76, 8.94, -7.59 	15.53, -22.11, -8.96 	0.00, 10.00 	13,28,6,179		33.94,27.17	0,0 	0
495     	0.68, 9.24, -7.52 	15.86, -22.06, -9.04 	0.00, 10.00 	13,28,6,188		34.61,37.61	0,0 	0
504     	0.58, 9.50, -7.44 	15.89, -22.15, -9.05 	0.00, 10.00 	13,28,6,198		30.39,9.70	0,0 	0
513     	0.52, 9.74, -7.36 	15.69, -22.23, -9.04 	0.00, 10.00 	13,28,6,208		27.46,24.49	0,0 	0
522     	0.50, 9.97, -7.34 	15.56, -22.42, -9.05 	0.00, 10.00 	13,28,6,217		25.65,25.75	0,0 	0
531     	0.60, 10.14, -7.37 	15.62, -22.45, -9.04 	0.00, 10.00 	13,28,6,227		22.47,7.42	0,0 	0
540     	0.58, 10.12, -7.40 	15.51, -22.49, -9.03 	0.00, 10.00 	13,28,6,237		3.45,13.32	0,0 	0
549     	0.34, 9.94, -7.35 	15.59, -22.45, -9.07 	0.00, 10.00 	13,28,6,246		33.78,9.63	0,0 	0
558     	-0.00, 9.78, -7.25 	15.51, -22.50, -9.09 	0.00, 10.00 	13,28,6,256		41.56,10.08	0,0 	0
567     	-0.20, 9.94, -7.12 	15.43, -22.42, -9.15 	0.00, 10.00 	13,28,6,266		28.36,12.24	0,0 	0
576     	-0.06, 10.12, -7.06 	15.40, -22.43, -9.18 	0.00, 10.00 	13,28,6,275		24.86,4.03	0,0 	0
585     	0.05, 10.18, -7.00 	15.45, -22.45, -9.22 	0.00, 10.00 	13,28,6,285		14.63,5.72	0,0 	0
594     	-0.05, 10.17, -6.95 	15.27, -22.52, -9.22 	0.00, 10.00 	13,28,6,295		10.46,21.69	0,0 	0
603     	-0.03, 10.16, -6.93 	15.14, -22.60, -9.22 	0.00, 10.00 	13,28,6,304		1.77,16.23	0,0 	0
612     	-0.13, 10.14, -6.94 	15.09, -22.62, -9.25 	0.00, 10.00 	13,28,6,314		10.46,6.82	0,0 	0
621     	-0.12, 10.13, -6.93 	15.12, -22.46, -9.31 	0.00, 10.00 	13,28,6,324		1.17,19.17	0,0 	0
630     	-0.16, 10.10, -6.92 	15.20, -22.25, -9.41 	0.00, 10.00 	13,28,6,333		5.18,24.15	0,0 	0
639     	-0.16, 10.11, -6.93 	15.19, -22.14, -9.44 	0.00, 10.00 	13,28,6,343		1.17,12.77	0,0 	0
648     	-0.16, 10.10, -6.93 	15.13, -22.11, -9.40 	0.00, 10.00 	13,28,6,353		1.17,7.42	0,0 	0
657     	-0.16, 10.10, -6.93 	15.05, -22.16, -9.32 	0.00, 10.00 	13,28,6,363		0.00,10.08	0,0 	0
666     	-0.16, 10.10, -6.93 	15.07, -22.12, -9.28 	0.00, 10.00 	13,28,6,372		0.00,4.29	0,0 	0
675     	-0.17, 10.09, -6.92 	14.99, -22.09, -9.27 	0.00, 10.00 	13,28,6,382		1.73,10.27	0,0 	0
684     	-0.17, 10.10, -6.93 	15.04, -22.08, -9.24 	0.00, 10.00 	13,28,6,392		1.17,5.18	0,0 	0
693     	-0.16, 10.08, -6.94 	15.04, -22.05, -9.24 	0.00, 10.00 	13,28,6,401		2.70,3.69	0,0 	0
702     	-0.13, 10.07, -6.93 	15.00, -22.06, -9.26 	0.00, 10.00 	13,28,6,411		2.89,5.28	0,0 	0
