#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

15      	-2.01, -0.17, -6.97 	-37.54, -14.42, -5.00 	6.43, 7.66 	13,29,14,873		0.00,0.00	0,0 	0
24      	-2.01, -0.16, -6.97 	-37.55, -14.43, -4.98 	6.43, 7.66 	13,29,14,882		1.17,1.72	0,0 	0
33      	-2.01, -0.14, -6.97 	-37.50, -14.45, -5.00 	6.43, 7.66 	13,29,14,892		2.33,5.72	0,0 	0
42      	-2.00, -0.13, -6.97 	-37.49, -14.46, -5.00 	6.43, 7.66 	13,29,14,902		1.30,1.76	0,0 	0
51      	-2.00, -0.12, -6.95 	-37.46, -14.49, -4.97 	6.43, 7.66 	13,29,14,911		1.17,5.27	0,0 	0
60      	-2.06, -0.12, -6.94 	-37.48, -14.53, -4.97 	6.43, 7.66 	13,29,14,921		6.65,5.26	0,0 	0
69      	-2.07, -0.12, -6.94 	-37.48, -14.52, -4.93 	6.43, 7.66 	13,29,14,931		1.30,1.16	0,0 	0
78      	-2.02, -0.07, -6.96 	-37.47, -14.54, -4.93 	6.43, 7.66 	13,29,14,940		6.90,2.32	0,0 	0
87      	-1.97, -0.05, -6.97 	-37.45, -14.56, -4.94 	6.43, 7.66 	13,29,14,950		6.86,3.52	0,0 	0
96      	-1.97, -0.03, -6.99 	-37.48, -14.57, -4.94 	6.43, 7.66 	13,29,14,960		2.33,4.03	0,0 	0
105     	-1.91, -0.00, -6.99 	-37.47, -14.55, -4.93 	6.43, 7.66 	13,29,14,969		6.86,2.63	0,0 	0
114     	-1.92, -0.00, -7.00 	-37.47, -14.54, -4.92 	6.43, 7.66 	13,29,14,979		1.30,1.16	0,0 	0
123     	-1.89, -0.00, -7.00 	-37.47, -14.54, -4.92 	6.43, 7.66 	13,29,14,989		3.91,0.00	0,0 	0
132     	-1.94, -0.01, -6.99 	-37.46, -14.57, -4.91 	6.43, 7.66 	13,29,14,998		5.21,3.74	0,0 	0
141     	-1.98, -0.02, -7.00 	-37.44, -14.59, -4.88 	6.43, 7.66 	13,29,15,8		5.31,3.52	0,0 	0
150     	-2.09, -0.01, -7.00 	-37.43, -14.62, -4.90 	6.43, 7.66 	13,29,15,18		11.82,3.48	0,0 	0
159     	-2.18, -0.01, -7.01 	-37.43, -14.62, -4.88 	6.43, 7.66 	13,29,15,27		10.53,0.00	0,0 	0
168     	-2.27, 0.01, -7.04 	-37.42, -14.62, -4.88 	6.43, 7.66 	13,29,15,37		9.48,1.29	0,0 	0
177     	-2.28, -0.00, -7.04 	-37.42, -14.60, -4.88 	6.43, 7.66 	13,29,15,47		1.73,2.32	0,0 	0
186     	-2.21, -0.01, -7.03 	-37.41, -14.59, -4.87 	6.43, 7.66 	13,29,15,56		7.94,1.72	0,0 	0
195     	-2.17, 0.01, -7.06 	-37.41, -14.59, -4.87 	6.43, 7.66 	13,29,15,66		4.50,0.00	0,0 	0
204     	-2.10, 0.04, -7.07 	-37.41, -14.57, -4.86 	6.43, 7.66 	13,29,15,76		8.10,2.32	0,0 	0
213     	-2.11, 0.01, -7.04 	-37.40, -14.55, -4.87 	6.43, 7.66 	13,29,15,86		3.70,2.63	0,0 	0
222     	-2.12, 0.01, -7.00 	-37.40, -14.55, -4.87 	6.43, 7.66 	13,29,15,95		1.30,0.00	0,0 	0
231     	-2.18, -0.01, -6.99 	-37.40, -14.55, -4.86 	6.43, 7.66 	13,29,15,105		6.59,0.00	0,0 	0
240     	-2.25, -0.01, -6.98 	-37.41, -14.53, -4.86 	6.43, 7.66 	13,29,15,115		7.82,2.32	0,0 	0
249     	-2.24, -0.04, -6.97 	-37.41, -14.53, -4.86 	6.43, 7.66 	13,29,15,124		3.77,0.00	0,0 	0
258     	-2.26, -0.04, -6.97 	-37.39, -14.54, -4.85 	6.43, 7.66 	13,29,15,134		2.61,1.76	0,0 	0
267     	-2.26, -0.04, -6.97 	-37.38, -14.52, -4.86 	6.43, 7.66 	13,29,15,144		0.00,2.63	0,0 	0
276     	-2.27, -0.05, -6.97 	-37.36, -14.55, -4.86 	6.43, 7.66 	13,29,15,153		1.73,4.39	0,0 	0
285     	-2.24, -0.05, -6.97 	-37.42, -14.48, -4.83 	6.43, 7.66 	13,29,15,163		3.91,10.50	0,0 	0
294     	-2.23, -0.04, -6.97 	-37.42, -14.48, -4.84 	6.43, 7.66 	13,29,15,173		1.73,0.00	0,0 	0
303     	-2.24, -0.05, -6.98 	-37.44, -14.47, -4.83 	6.43, 7.66 	13,29,15,182		1.73,2.86	0,0 	0
312     	-2.23, -0.05, -6.98 	-37.43, -14.47, -4.82 	6.43, 7.66 	13,29,15,192		1.30,1.29	0,0 	0
321     	-2.23, -0.05, -6.98 	-37.44, -14.47, -4.81 	6.43, 7.66 	13,29,15,202		0.00,1.29	0,0 	0
330     	-2.21, -0.06, -6.97 	-37.43, -14.46, -4.82 	6.43, 7.66 	13,29,15,211		1.77,1.72	0,0 	0
339     	-2.20, -0.06, -6.97 	-37.43, -14.46, -4.83 	6.43, 7.66 	13,29,15,221		1.30,0.00	0,0 	0
348     	-2.18, -0.05, -6.98 	-37.47, -14.44, -4.83 	6.43, 7.66 	13,29,15,231		2.83,4.57	0,0 	0
357     	-2.20, -0.07, -6.99 	-37.47, -14.46, -4.83 	6.43, 7.66 	13,29,15,240		3.45,2.32	0,0 	0
366     	-2.19, -0.06, -6.99 	-37.49, -14.40, -4.83 	6.43, 7.66 	13,29,15,250		1.73,7.11	0,0 	0
