#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

18      	-0.07, -0.79, -7.30 	18.57, -23.86, -7.29 	12.86, 15.32 	13,41,23,307		0.00,0.00	0,0 	0
27      	-0.08, -0.77, -7.31 	18.58, -23.87, -7.29 	12.86, 15.32 	13,41,23,316		2.72,1.78	0,0 	0
36      	-0.08, -0.77, -7.31 	18.57, -23.86, -7.30 	12.86, 15.32 	13,41,23,326		0.00,1.78	0,0 	0
45      	-0.08, -0.77, -7.31 	18.60, -23.83, -7.28 	12.86, 15.32 	13,41,23,336		0.00,5.09	0,0 	0
54      	-0.10, -0.78, -7.31 	18.56, -23.87, -7.27 	12.86, 15.32 	13,41,23,346		2.81,6.79	0,0 	0
63      	-0.10, -0.78, -7.31 	18.46, -23.82, -7.23 	12.86, 15.32 	13,41,23,355		0.00,12.10	0,0 	0
72      	-0.07, -0.79, -7.30 	18.40, -23.81, -7.24 	12.86, 15.32 	13,41,23,365		4.13,6.98	0,0 	0
81      	-0.08, -0.78, -7.31 	18.38, -23.83, -7.31 	12.86, 15.32 	13,41,23,375		1.79,3.39	0,0 	0
90      	-0.08, -0.78, -7.30 	18.46, -23.78, -7.36 	12.86, 15.32 	13,41,23,384		0.00,9.99	0,0 	0
99      	-0.06, -0.76, -7.30 	18.42, -23.78, -7.37 	12.86, 15.32 	13,41,23,394		3.42,3.89	0,0 	0
108     	-0.06, -0.76, -7.32 	18.48, -23.75, -7.38 	12.86, 15.32 	13,41,23,404		0.00,7.21	0,0 	0
117     	-0.06, -0.75, -7.31 	18.51, -23.74, -7.37 	12.86, 15.32 	13,41,23,413		1.16,4.00	0,0 	0
126     	-0.06, -0.75, -7.31 	18.56, -23.74, -7.42 	12.86, 15.32 	13,41,23,423		0.00,5.36	0,0 	0
135     	-0.06, -0.75, -7.31 	18.52, -23.71, -7.40 	12.86, 15.32 	13,41,23,433		0.00,6.18	0,0 	0
144     	-0.06, -0.73, -7.31 	18.60, -23.73, -7.41 	12.86, 15.32 	13,41,23,442		2.33,9.86	0,0 	0
153     	-0.10, -0.74, -7.32 	18.54, -23.72, -7.43 	12.86, 15.32 	13,41,23,452		4.03,6.63	0,0 	0
162     	-0.09, -0.75, -7.31 	18.47, -23.71, -7.48 	12.86, 15.32 	13,41,23,462		1.16,8.21	0,0 	0
171     	-0.12, -0.71, -7.33 	18.46, -23.71, -7.50 	12.86, 15.32 	13,41,23,471		5.43,1.30	0,0 	0
180     	-0.11, -0.72, -7.32 	18.45, -23.68, -7.50 	12.86, 15.32 	13,41,23,481		1.79,3.76	0,0 	0
189     	-0.17, -0.73, -7.31 	18.45, -23.70, -7.51 	12.86, 15.32 	13,41,23,491		6.57,2.31	0,0 	0
198     	-0.12, -0.74, -7.30 	18.52, -23.71, -7.55 	12.86, 15.32 	13,41,23,500		5.39,7.91	0,0 	0
207     	-0.10, -0.73, -7.30 	18.54, -23.72, -7.55 	12.86, 15.32 	13,41,23,510		2.81,3.55	0,0 	0
216     	-0.13, -0.71, -7.33 	18.57, -23.72, -7.55 	12.86, 15.32 	13,41,23,520		4.64,2.59	0,0 	0
225     	-0.11, -0.68, -7.31 	18.56, -23.73, -7.55 	12.86, 15.32 	13,41,23,529		4.27,1.70	0,0 	0
234     	-0.23, -0.70, -7.32 	18.62, -23.74, -7.54 	12.86, 15.32 	13,41,23,539		13.15,6.63	0,0 	0
243     	-0.23, -0.67, -7.33 	18.62, -23.70, -7.58 	12.86, 15.32 	13,41,23,549		3.49,4.75	0,0 	0
252     	-0.30, -0.70, -7.31 	18.60, -23.68, -7.66 	12.86, 15.32 	13,41,23,559		8.07,3.55	0,0 	0
261     	-0.32, -0.61, -7.37 	18.62, -23.70, -7.69 	12.86, 15.32 	13,41,23,568		9.46,3.55	0,0 	0
270     	-0.28, -0.43, -7.40 	18.55, -23.71, -7.73 	12.86, 15.32 	13,41,23,578		20.57,7.81	0,0 	0
279     	-0.12, -0.09, -7.47 	18.61, -23.67, -7.77 	12.86, 15.32 	13,41,23,588		41.91,7.79	0,0 	0
288     	0.09, 0.36, -7.57 	18.67, -23.66, -7.80 	12.86, 15.32 	13,41,23,597		55.62,6.53	0,0 	0
297     	0.37, 0.88, -7.67 	18.63, -23.62, -7.85 	12.86, 15.32 	13,41,23,607		65.43,6.18	0,0 	0
306     	0.52, 1.23, -7.70 	18.83, -23.62, -7.87 	12.86, 15.32 	13,41,23,617		41.91,22.11	0,0 	0
315     	0.75, 1.53, -7.77 	18.80, -23.58, -7.95 	12.86, 15.32 	13,41,23,626		42.49,5.40	0,0 	0
324     	0.90, 1.93, -7.82 	18.93, -23.55, -8.06 	12.86, 15.32 	13,41,23,636		47.05,14.33	0,0 	0
333     	1.04, 2.38, -7.85 	19.01, -23.49, -8.17 	12.86, 15.32 	13,41,23,646		52.33,11.64	0,0 	0
342     	1.26, 2.85, -7.90 	19.13, -23.50, -8.36 	12.86, 15.32 	13,41,23,655		57.63,13.06	0,0 	0
351     	1.71, 3.36, -7.98 	19.11, -23.53, -8.61 	12.86, 15.32 	13,41,23,665		75.85,4.23	0,0 	0
360     	2.18, 3.95, -8.14 	19.28, -23.46, -8.91 	12.86, 15.32 	13,41,23,675		84.13,20.34	0,0 	0
369     	2.78, 4.71, -8.28 	19.50, -23.41, -9.25 	12.86, 15.32 	13,41,23,684		107.07,24.84	0,0 	0
378     	3.28, 5.33, -8.37 	19.68, -23.27, -9.59 	12.86, 15.32 	13,41,23,694		89.24,25.49	0,0 	0
387     	3.75, 5.92, -8.48 	20.02, -23.17, -9.88 	12.86, 15.32 	13,41,23,704		82.43,39.54	0,0 	0
396     	4.16, 6.60, -8.64 	20.37, -23.03, -10.09 	12.86, 15.32 	13,41,23,713		88.89,41.89	0,0 	0
405     	4.42, 7.19, -8.76 	20.47, -22.82, -10.21 	12.86, 15.32 	13,41,23,723		71.74,24.99	0,0 	0
414     	4.72, 7.77, -8.87 	20.40, -22.60, -10.25 	12.86, 15.32 	13,41,23,733		72.60,26.20	0,0 	0
423     	5.10, 8.28, -8.93 	20.30, -22.43, -10.33 	12.86, 15.32 	13,41,23,742		70.52,22.02	0,0 	0
432     	5.58, 8.88, -9.03 	20.32, -22.29, -10.41 	12.86, 15.32 	13,41,23,752		85.83,15.35	0,0 	0
441     	6.17, 9.46, -9.07 	20.37, -22.25, -10.54 	12.86, 15.32 	13,41,23,762		91.84,6.79	0,0 	0
450     	6.99, 10.07, -9.08 	20.61, -22.14, -10.72 	12.86, 15.32 	13,41,23,771		112.87,29.90	0,0 	0
459     	7.74, 10.69, -9.06 	20.79, -22.07, -10.90 	12.86, 15.32 	13,41,23,781		108.16,21.56	0,0 	0
468     	8.45, 11.36, -9.04 	21.01, -22.01, -11.04 	12.86, 15.32 	13,41,23,791		108.48,25.03	0,0 	0
477     	9.05, 11.90, -8.97 	21.09, -21.90, -11.14 	12.86, 15.32 	13,41,23,801		90.71,15.17	0,0 	0
486     	9.58, 12.41, -8.89 	21.29, -21.83, -11.20 	12.86, 15.32 	13,41,23,810		80.86,22.79	0,0 	0
495     	10.08, 12.81, -8.79 	21.38, -21.79, -11.23 	12.86, 15.32 	13,41,23,820		71.68,10.78	0,0 	0
504     	10.41, 13.17, -8.68 	21.33, -21.81, -11.27 	12.86, 15.32 	13,41,23,830		53.78,5.58	0,0 	0
513     	10.78, 13.50, -8.57 	21.28, -21.84, -11.31 	12.86, 15.32 	13,41,23,839		55.24,6.78	0,0 	0
522     	11.17, 13.82, -8.44 	21.16, -21.76, -11.29 	12.86, 15.32 	13,41,23,849		55.99,15.21	0,0 	0
531     	11.60, 14.03, -8.27 	21.15, -21.73, -11.32 	12.86, 15.32 	13,41,23,859		52.96,3.76	0,0 	0
540     	11.96, 14.19, -8.09 	21.12, -21.54, -11.34 	12.86, 15.32 	13,41,23,868		43.77,20.92	0,0 	0
549     	12.39, 14.41, -7.93 	21.13, -21.32, -11.36 	12.86, 15.32 	13,41,23,878		53.38,24.42	0,0 	0
558     	12.79, 14.65, -7.91 	21.17, -21.03, -11.44 	12.86, 15.32 	13,41,23,888		51.98,32.95	0,0 	0
567     	13.04, 14.84, -8.06 	21.22, -20.83, -11.50 	12.86, 15.32 	13,41,23,897		35.21,22.97	0,0 	0
