#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-6.52, -5.93, -11.54 	-9.23, -9.86, -13.50 	0.00, 30.00 	13,41,34,654		0.00,0.00	0,0 	0
0       	-6.31, -5.31, -11.67 	-9.02, -9.65, -13.56 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-5.67, -4.90, -11.72 	-8.68, -9.40, -13.65 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-5.12, -4.73, -11.87 	-7.84, -8.86, -13.85 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-5.12, -4.75, -12.15 	-6.57, -7.97, -14.26 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-5.40, -5.13, -12.22 	-6.56, -7.89, -14.41 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-5.95, -5.81, -11.98 	-6.29, -7.96, -14.56 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.39, -6.29, -11.81 	-6.07, -8.11, -14.63 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.61, -6.46, -11.77 	-6.03, -8.28, -14.58 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.68, -6.53, -11.75 	-5.96, -8.37, -14.54 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.71, -6.51, -11.75 	-5.86, -8.35, -14.54 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.75, -6.53, -11.70 	-5.78, -8.30, -14.56 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.80, -6.50, -11.66 	-5.76, -8.29, -14.56 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.80, -6.47, -11.59 	-5.70, -8.29, -14.57 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.79, -6.50, -11.50 	-5.67, -8.29, -14.59 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-6.74, -6.47, -11.42 	-5.67, -8.29, -14.64 	0.00, 30.00 	13,41,34,654		inf,-nan	0,0 	0
0       	-6.24, -6.18, -11.35 	-5.65, -8.44, -14.88 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-4.54, -5.49, -11.56 	-5.84, -8.89, -15.46 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.79, -5.62, -11.74 	-6.50, -9.79, -15.46 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.39, -5.82, -12.12 	-8.55, -11.17, -14.71 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.09, -5.95, -12.49 	-10.84, -12.22, -13.75 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.10, -6.06, -12.56 	-11.17, -11.75, -13.39 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.17, -6.37, -12.56 	-9.60, -10.02, -13.64 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.28, -6.96, -12.63 	-8.42, -8.20, -14.01 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-3.83, -8.42, -13.03 	-8.47, -7.66, -14.13 	0.00, 30.00 	13,41,34,654		inf,inf	0,0 	0
0       	-4.63, -9.35, -13.28 	-8.54, -8.11, -14.44 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-5.91, -10.38, -13.40 	-7.30, -8.59, -15.31 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-7.39, -11.69, -13.44 	-5.38, -8.94, -16.43 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-9.05, -12.92, -13.36 	-3.86, -9.33, -17.32 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-9.89, -13.73, -13.32 	-2.87, -9.90, -17.89 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-10.48, -14.39, -13.32 	-2.63, -10.80, -18.28 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-11.55, -15.28, -13.34 	-4.99, -12.28, -19.07 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-13.15, -16.26, -13.25 	-4.99, -12.28, -19.07 	0.00, 30.00 	13,41,34,655		inf,-nan	0,0 	0
0       	-15.01, -17.39, -13.14 	-29.89, -13.80, -8.03 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-16.72, -18.15, -13.06 	-38.63, -12.20, 5.77 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-18.46, -18.70, -12.83 	-34.38, -16.69, 7.92 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-19.62, -19.10, -12.60 	-27.42, -28.52, -3.74 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-19.57, -19.10, -12.61 	-23.71, -25.05, -18.25 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-19.54, -18.79, -12.50 	-27.35, -21.93, -14.33 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-20.55, -18.47, -11.83 	-28.69, -22.77, -11.10 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-21.52, -18.73, -11.11 	-26.91, -21.96, -9.03 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
0       	-22.08, -18.77, -10.84 	-22.86, -20.89, -9.60 	0.00, 30.00 	13,41,34,655		inf,inf	0,0 	0
