#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.13, 0.46, -7.09 	-37.66, -11.91, -8.76 	0.00, 10.00 	13,42,10,833		0.00,0.00	0,0 	0
0       	-1.13, 0.46, -7.09 	-37.71, -11.91, -8.76 	0.00, 10.00 	13,42,10,833		-nan,inf	0,0 	0
0       	-1.16, 0.47, -7.09 	-37.71, -11.92, -8.76 	0.00, 10.00 	13,42,10,833		inf,inf	0,0 	0
0       	-1.16, 0.48, -7.11 	-37.74, -11.91, -8.78 	0.00, 10.00 	13,42,10,833		inf,inf	0,0 	0
0       	-1.18, 0.48, -7.11 	-37.74, -11.91, -8.78 	0.00, 10.00 	13,42,10,833		inf,-nan	0,0 	0
0       	-1.18, 0.46, -7.11 	-37.72, -11.93, -8.76 	0.00, 10.00 	13,42,10,833		inf,inf	0,0 	0
0       	-1.18, 0.46, -7.11 	-37.70, -11.92, -8.77 	0.00, 10.00 	13,42,10,834		-nan,inf	0,0 	0
0       	-1.18, 0.46, -7.11 	-37.72, -11.93, -8.76 	0.00, 10.00 	13,42,10,834		-nan,inf	0,0 	0
0       	-1.20, 0.46, -7.10 	-37.68, -11.94, -8.77 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.17, 0.48, -7.10 	-37.67, -11.94, -8.76 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.17, 0.48, -7.10 	-37.67, -11.94, -8.77 	0.00, 10.00 	13,42,10,834		-nan,-nan	0,0 	0
0       	-1.21, 0.48, -7.10 	-37.67, -11.93, -8.78 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.17, 0.48, -7.11 	-37.67, -11.93, -8.78 	0.00, 10.00 	13,42,10,834		inf,-nan	0,0 	0
0       	-1.17, 0.48, -7.11 	-37.67, -11.92, -8.78 	0.00, 10.00 	13,42,10,834		-nan,inf	0,0 	0
0       	-1.16, 0.48, -7.11 	-37.67, -11.93, -8.79 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.15, 0.48, -7.11 	-37.67, -11.94, -8.81 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.15, 0.48, -7.11 	-37.64, -11.93, -8.80 	0.00, 10.00 	13,42,10,834		-nan,inf	0,0 	0
0       	-1.16, 0.48, -7.11 	-37.68, -11.92, -8.80 	0.00, 10.00 	13,42,10,834		inf,inf	0,0 	0
0       	-1.16, 0.48, -7.11 	-37.71, -11.91, -8.78 	0.00, 10.00 	13,42,10,834		-nan,inf	0,0 	0
