#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

9       	23.66, -25.05, -8.03 	0.35, -0.70, -6.80 	0.00, 10.00 	11,27,0,337		0.00,0.00	0,0 	0
19      	23.64, -25.08, -8.03 	0.34, -0.74, -6.77 	0.00, 10.00 	11,27,0,348		3.90,3.53	0,0 	0
27      	23.64, -25.06, -8.03 	0.32, -0.73, -6.76 	0.00, 10.00 	11,27,0,357		2.88,2.90	0,0 	0
35      	23.65, -25.07, -8.01 	0.28, -0.74, -6.77 	0.00, 10.00 	11,27,0,366		1.98,5.14	0,0 	0
44      	23.64, -25.06, -8.02 	0.35, -0.74, -6.77 	0.00, 10.00 	11,27,0,376		1.76,7.74	0,0 	0
53      	23.65, -25.07, -8.02 	0.35, -0.75, -6.77 	0.00, 10.00 	11,27,0,386		1.76,1.27	0,0 	0
61      	23.65, -25.10, -8.02 	0.35, -0.74, -6.79 	0.00, 10.00 	11,27,0,395		2.88,1.42	0,0 	0
70      	23.65, -25.10, -7.98 	0.36, -0.78, -6.78 	0.00, 10.00 	11,27,0,405		0.00,5.21	0,0 	0
79      	23.64, -25.10, -7.98 	0.33, -0.75, -6.79 	0.00, 10.00 	11,27,0,415		1.14,5.11	0,0 	0
87      	23.64, -25.11, -7.98 	0.38, -0.75, -6.81 	0.00, 10.00 	11,27,0,424		1.44,6.22	0,0 	0
96      	23.68, -25.11, -7.98 	0.39, -0.73, -6.82 	0.00, 10.00 	11,27,0,434		4.54,2.73	0,0 	0
105     	23.68, -25.14, -7.96 	0.36, -0.76, -6.81 	0.00, 10.00 	11,27,0,444		3.83,4.97	0,0 	0
113     	23.65, -25.13, -7.96 	0.37, -0.77, -6.79 	0.00, 10.00 	11,27,0,453		4.18,1.92	0,0 	0
122     	23.66, -25.15, -7.95 	0.34, -0.78, -6.80 	0.00, 10.00 	11,27,0,463		2.86,3.52	0,0 	0
131     	23.69, -25.16, -7.95 	0.35, -0.76, -6.80 	0.00, 10.00 	11,27,0,473		3.41,2.73	0,0 	0
139     	23.71, -25.17, -7.94 	0.35, -0.77, -6.80 	0.00, 10.00 	11,27,0,482		3.01,1.42	0,0 	0
148     	23.71, -25.20, -7.94 	0.35, -0.77, -6.82 	0.00, 10.00 	11,27,0,492		3.83,0.00	0,0 	0
157     	23.66, -25.18, -7.93 	0.38, -0.77, -6.84 	0.00, 10.00 	11,27,0,502		6.37,3.32	0,0 	0
166     	23.69, -25.19, -7.93 	0.34, -0.79, -6.84 	0.00, 10.00 	11,27,0,512		3.71,5.03	0,0 	0
174     	23.68, -25.16, -7.93 	0.38, -0.81, -6.87 	0.00, 10.00 	11,27,0,521		4.58,5.21	0,0 	0
182     	23.69, -25.19, -7.91 	0.40, -0.82, -6.85 	0.00, 10.00 	11,27,0,530		4.58,2.90	0,0 	0
192     	23.73, -25.18, -7.92 	0.35, -0.84, -6.82 	0.00, 10.00 	11,27,0,541		4.18,5.41	0,0 	0
200     	23.72, -25.27, -7.88 	0.34, -0.84, -6.79 	0.00, 10.00 	11,27,0,550		11.49,1.24	0,0 	0
