#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-0.79, -18.24, 0.74 	14.94, -2.64, -8.74 	0.00, 30.00 	11,25,18,479		0.00,0.00	0,0 	0
0       	-0.79, -18.19, 0.73 	14.63, -2.66, -8.75 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.81, -18.10, 0.76 	14.41, -2.64, -8.76 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.82, -18.11, 0.73 	14.26, -2.58, -8.82 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.80, -18.11, 0.75 	14.23, -2.54, -8.86 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.73, -18.12, 0.74 	14.33, -2.48, -8.86 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.66, -18.14, 0.76 	14.57, -2.40, -8.84 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.58, -18.17, 0.74 	14.84, -2.31, -8.85 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.48, -18.17, 0.72 	15.06, -2.21, -8.83 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.45, -18.12, 0.74 	15.14, -2.16, -8.77 	0.00, 30.00 	11,25,18,479		inf,inf	0,0 	0
0       	-0.53, -18.03, 0.77 	15.13, -2.20, -8.70 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.57, -17.97, 0.74 	14.98, -2.25, -8.65 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.73, -17.86, 0.73 	14.76, -2.30, -8.62 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.79, -17.81, 0.76 	14.65, -2.28, -8.62 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.78, -17.78, 0.80 	14.58, -2.20, -8.66 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.77, -17.87, 0.82 	14.53, -2.09, -8.74 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.73, -17.87, 0.85 	14.57, -2.03, -8.76 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.73, -17.84, 0.86 	14.74, -1.98, -8.70 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.63, -17.89, 0.87 	14.88, -1.97, -8.61 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.70, -17.91, 0.85 	14.90, -1.93, -8.57 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.71, -17.91, 0.85 	14.79, -1.92, -8.51 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.73, -17.86, 0.85 	14.59, -1.99, -8.43 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.75, -17.84, 0.84 	14.37, -2.05, -8.38 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.79, -17.85, 0.82 	14.19, -2.09, -8.40 	0.00, 30.00 	11,25,18,480		inf,inf	0,0 	0
0       	-0.74, -17.83, 0.80 	14.07, -2.08, -8.44 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.76, -17.84, 0.80 	14.07, -2.07, -8.47 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.74, -17.86, 0.79 	14.12, -2.07, -8.48 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.74, -17.87, 0.79 	14.13, -2.04, -8.48 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.70, -17.88, 0.79 	14.16, -2.03, -8.46 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.72, -17.86, 0.76 	14.18, -2.00, -8.45 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.74, -17.88, 0.77 	14.23, -1.97, -8.44 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.76, -17.89, 0.76 	14.23, -1.94, -8.44 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.73, -17.85, 0.76 	14.21, -1.94, -8.43 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.80, -17.84, 0.76 	14.13, -1.95, -8.40 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.81, -17.84, 0.76 	14.04, -2.02, -8.36 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.84, -17.86, 0.76 	13.90, -2.08, -8.33 	0.00, 30.00 	11,25,18,481		inf,inf	0,0 	0
0       	-0.84, -17.86, 0.76 	13.82, -2.12, -8.32 	0.00, 30.00 	11,25,18,481		-nan,inf	0,0 	0
0       	-0.83, -17.87, 0.76 	13.80, -2.15, -8.31 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.82, -17.87, 0.75 	13.89, -2.13, -8.30 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.80, -17.89, 0.76 	14.00, -2.07, -8.29 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.77, -17.89, 0.74 	14.08, -1.99, -8.29 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.76, -17.88, 0.75 	14.12, -1.95, -8.26 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.79, -17.88, 0.75 	14.05, -1.95, -8.23 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.81, -17.86, 0.74 	13.93, -1.96, -8.20 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.82, -17.84, 0.75 	13.79, -1.99, -8.18 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.83, -17.84, 0.76 	13.72, -2.03, -8.16 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.81, -17.84, 0.76 	13.71, -2.07, -8.16 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.82, -17.84, 0.76 	13.73, -2.06, -8.16 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.81, -17.86, 0.76 	13.78, -2.04, -8.17 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.78, -17.87, 0.77 	13.90, -2.02, -8.15 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.76, -17.87, 0.76 	13.98, -2.01, -8.15 	0.00, 30.00 	11,25,18,482		inf,inf	0,0 	0
0       	-0.75, -17.89, 0.77 	14.02, -1.97, -8.14 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.80, -17.85, 0.78 	14.03, -1.95, -8.13 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.80, -17.85, 0.76 	13.86, -1.97, -8.09 	0.00, 30.00 	11,25,18,483		-nan,inf	0,0 	0
0       	-0.80, -17.84, 0.76 	13.71, -1.99, -8.07 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.81, -17.83, 0.76 	13.57, -2.02, -8.07 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.78, -17.80, 0.78 	13.54, -2.03, -8.07 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.78, -17.80, 0.78 	13.54, -2.04, -8.08 	0.00, 30.00 	11,25,18,483		-nan,inf	0,0 	0
0       	-0.80, -17.81, 0.80 	13.56, -2.05, -8.08 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.76, -17.81, 0.80 	13.58, -2.04, -8.08 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.78, -17.82, 0.80 	13.67, -2.01, -8.06 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.79, -17.86, 0.81 	13.75, -1.96, -8.06 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.79, -17.86, 0.81 	13.78, -1.93, -8.06 	0.00, 30.00 	11,25,18,483		-nan,inf	0,0 	0
0       	-0.77, -17.87, 0.80 	13.76, -1.91, -8.05 	0.00, 30.00 	11,25,18,483		inf,inf	0,0 	0
0       	-0.78, -17.85, 0.77 	13.68, -1.91, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.80, -17.81, 0.78 	13.57, -1.91, -8.00 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.81, -17.83, 0.78 	13.48, -1.97, -8.00 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.84, -17.81, 0.80 	13.41, -2.02, -8.02 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.80, -17.83, 0.80 	13.44, -2.05, -8.02 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.83, -17.85, 0.80 	13.50, -2.04, -8.02 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.79, -17.85, 0.81 	13.54, -2.04, -8.02 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.74, -17.87, 0.78 	13.58, -2.03, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.76, -17.88, 0.80 	13.60, -2.00, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.78, -17.89, 0.81 	13.62, -1.99, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.78, -17.87, 0.79 	13.61, -1.98, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.78, -17.84, 0.80 	13.60, -1.98, -8.01 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.83, -17.81, 0.80 	13.58, -1.98, -8.00 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.86, -17.81, 0.83 	13.53, -2.03, -7.99 	0.00, 30.00 	11,25,18,484		inf,inf	0,0 	0
0       	-0.88, -17.84, 0.83 	13.46, -2.08, -8.00 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.86, -17.83, 0.83 	13.38, -2.15, -8.03 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.86, -17.86, 0.85 	13.41, -2.17, -8.08 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.83, -17.86, 0.85 	13.57, -2.11, -8.13 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.83, -17.88, 0.86 	13.63, -2.03, -8.15 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.85, -17.86, 0.84 	13.68, -1.99, -8.13 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.84, -17.85, 0.85 	13.60, -2.04, -8.10 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.87, -17.83, 0.87 	13.47, -2.15, -8.08 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.86, -17.82, 0.87 	13.31, -2.25, -8.06 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.86, -17.80, 0.88 	13.25, -2.33, -8.05 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.90, -17.80, 0.88 	13.23, -2.38, -8.05 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.85, -17.79, 0.90 	13.24, -2.40, -8.05 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.87, -17.81, 0.91 	13.27, -2.38, -8.06 	0.00, 30.00 	11,25,18,485		inf,inf	0,0 	0
0       	-0.84, -17.82, 0.92 	13.26, -2.37, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.82, -17.82, 0.91 	13.28, -2.37, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.81, -17.84, 0.90 	13.28, -2.36, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.84, -17.84, 0.89 	13.30, -2.35, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.83, -17.81, 0.89 	13.31, -2.36, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.86, -17.82, 0.91 	13.29, -2.35, -8.05 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.86, -17.81, 0.89 	13.28, -2.35, -8.04 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.88, -17.81, 0.90 	13.24, -2.34, -8.04 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.90, -17.78, 0.92 	13.22, -2.36, -8.03 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.89, -17.78, 0.93 	13.22, -2.34, -8.03 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.88, -17.80, 0.93 	13.28, -2.31, -8.05 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.86, -17.81, 0.92 	13.30, -2.27, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.81, -17.82, 0.91 	13.40, -2.22, -8.05 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.80, -17.84, 0.91 	13.47, -2.18, -8.06 	0.00, 30.00 	11,25,18,486		inf,inf	0,0 	0
0       	-0.82, -17.86, 0.89 	13.49, -2.15, -8.07 	0.00, 30.00 	11,25,18,487		inf,inf	0,0 	0
0       	-0.82, -17.84, 0.88 	13.43, -2.16, -8.07 	0.00, 30.00 	11,25,18,487		inf,inf	0,0 	0
0       	-0.83, -17.81, 0.91 	13.40, -2.17, -8.06 	0.00, 30.00 	11,25,18,487		inf,inf	0,0 	0
