#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

17      	1.76, -13.14, 1.84 	-0.57, 0.20, -6.35 	0.00, 10.00 	11,25,57,549		0.00,0.00	0,0 	0
26      	1.80, -13.13, 1.84 	-0.56, 0.20, -6.34 	0.00, 10.00 	11,25,57,558		4.97,1.22	0,0 	0
35      	1.78, -13.14, 1.85 	-0.61, 0.19, -6.34 	0.00, 10.00 	11,25,57,568		2.49,6.12	0,0 	0
44      	1.78, -13.14, 1.85 	-0.61, 0.19, -6.35 	0.00, 10.00 	11,25,57,578		0.00,0.00	0,0 	0
53      	1.77, -13.15, 1.85 	-0.61, 0.19, -6.35 	0.00, 10.00 	11,25,57,588		1.68,0.00	0,0 	0
62      	1.80, -13.15, 1.85 	-0.61, 0.20, -6.36 	0.00, 10.00 	11,25,57,597		2.49,1.17	0,0 	0
71      	1.82, -13.15, 1.85 	-0.59, 0.22, -6.37 	0.00, 10.00 	11,25,57,607		2.78,2.68	0,0 	0
80      	1.82, -13.16, 1.85 	-0.58, 0.22, -6.37 	0.00, 10.00 	11,25,57,617		1.17,1.22	0,0 	0
89      	1.81, -13.17, 1.86 	-0.61, 0.19, -6.36 	0.00, 10.00 	11,25,57,626		1.24,4.28	0,0 	0
98      	1.81, -13.17, 1.85 	-0.61, 0.19, -6.36 	0.00, 10.00 	11,25,57,636		0.00,0.00	0,0 	0
107     	1.82, -13.14, 1.84 	-0.61, 0.19, -6.36 	0.00, 10.00 	11,25,57,646		2.62,0.00	0,0 	0
116     	1.81, -13.15, 1.85 	-0.60, 0.18, -6.35 	0.00, 10.00 	11,25,57,655		1.24,1.72	0,0 	0
125     	1.81, -13.15, 1.84 	-0.59, 0.19, -6.35 	0.00, 10.00 	11,25,57,665		0.00,1.66	0,0 	0
134     	1.81, -13.15, 1.84 	-0.59, 0.19, -6.35 	0.00, 10.00 	11,25,57,675		0.00,0.00	0,0 	0
143     	1.80, -13.12, 1.84 	-0.59, 0.19, -6.35 	0.00, 10.00 	11,25,57,684		2.34,0.00	0,0 	0
152     	1.83, -13.13, 1.85 	-0.58, 0.20, -6.34 	0.00, 10.00 	11,25,57,694		2.78,1.22	0,0 	0
161     	1.84, -13.14, 1.85 	-0.59, 0.19, -6.34 	0.00, 10.00 	11,25,57,704		1.73,1.22	0,0 	0
170     	1.84, -13.14, 1.85 	-0.59, 0.19, -6.34 	0.00, 10.00 	11,25,57,714		0.00,0.00	0,0 	0
179     	1.83, -13.14, 1.86 	-0.59, 0.18, -6.35 	0.00, 10.00 	11,25,57,723		1.24,1.17	0,0 	0
188     	1.81, -13.16, 1.85 	-0.58, 0.19, -6.35 	0.00, 10.00 	11,25,57,733		2.72,1.22	0,0 	0
