#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.75, -6.73, 5.15 	-2.65, -17.21, -4.02 	0.00, 10.00 	11,32,57,346		0.00,0.00	0,0 	0
0       	-1.78, -6.70, 5.15 	-2.78, -17.24, -4.04 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.77, -6.72, 5.14 	-2.91, -17.27, -4.08 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.76, -6.69, 5.14 	-2.97, -17.30, -4.10 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.78, -6.69, 5.13 	-2.97, -17.34, -4.12 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.75, -6.70, 5.15 	-2.95, -17.37, -4.13 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.76, -6.73, 5.14 	-2.88, -17.37, -4.12 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.75, -6.76, 5.14 	-2.88, -17.39, -4.13 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.74, -6.77, 5.12 	-2.85, -17.39, -4.13 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.75, -6.77, 5.12 	-2.87, -17.39, -4.12 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.78, -6.75, 5.12 	-2.87, -17.42, -4.10 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.78, -6.74, 5.13 	-2.94, -17.43, -4.10 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.79, -6.75, 5.13 	-3.03, -17.53, -4.10 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.82, -6.73, 5.12 	-3.17, -17.63, -4.13 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.80, -6.72, 5.12 	-3.33, -17.91, -4.21 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.80, -6.74, 5.12 	-3.37, -18.39, -4.30 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.79, -6.75, 5.13 	-3.32, -18.90, -4.11 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.77, -6.74, 5.14 	-3.56, -18.95, -3.88 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.75, -6.75, 5.13 	-3.94, -18.89, -3.70 	0.00, 10.00 	11,32,57,347		inf,inf	0,0 	0
0       	-1.73, -6.77, 5.14 	-4.18, -18.98, -3.43 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.77, -6.77, 5.14 	-4.37, -19.01, -3.24 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.75, -6.76, 5.13 	-4.68, -19.00, -3.25 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.75, -6.76, 5.13 	-5.05, -19.03, -3.23 	0.00, 10.00 	11,32,57,348		-nan,inf	0,0 	0
0       	-1.78, -6.74, 5.12 	-5.13, -19.08, -3.19 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.81, -6.74, 5.14 	-5.03, -19.01, -3.22 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.79, -6.76, 5.14 	-4.81, -18.92, -3.29 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.80, -6.77, 5.14 	-4.66, -18.87, -3.33 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.75, -6.77, 5.13 	-4.52, -18.84, -3.31 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.79, -6.79, 5.14 	-4.37, -18.79, -3.28 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.81, -6.78, 5.13 	-4.17, -18.74, -3.23 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
0       	-1.76, -6.79, 5.12 	-4.06, -18.72, -3.16 	0.00, 10.00 	11,32,57,348		inf,inf	0,0 	0
