#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-28.45, 16.84, -7.46 	-16.51, -3.60, -10.81 	0.00, 30.00 	14,5,53,336		0.00,0.00	0,0 	0
0       	-28.45, 16.84, -7.45 	-16.11, -3.98, -10.76 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-15.34, -4.28, -10.83 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-14.81, -4.63, -10.76 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-14.35, -4.90, -10.69 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.46, 16.84, -7.45 	-13.88, -5.03, -10.72 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-13.21, -5.07, -10.81 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-12.47, -5.27, -10.88 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.46 	-11.65, -5.61, -10.94 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.46 	-10.90, -6.12, -11.02 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-10.20, -6.67, -11.12 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.46, 16.85, -7.45 	-9.55, -7.28, -11.15 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-8.93, -7.87, -11.13 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.46, 16.84, -7.44 	-8.27, -8.27, -11.15 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.83, -7.45 	-7.18, -8.58, -11.21 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.83, -7.45 	-6.56, -9.02, -11.25 	0.00, 30.00 	14,5,53,336		-nan,inf	0,0 	0
0       	-28.46, 16.84, -7.45 	-6.97, -9.65, -11.09 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-7.38, -9.97, -10.96 	0.00, 30.00 	14,5,53,336		inf,inf	0,0 	0
0       	-28.45, 16.83, -7.45 	-7.16, -10.01, -10.89 	0.00, 30.00 	14,5,53,337		inf,inf	0,0 	0
0       	-28.44, 16.84, -7.45 	-6.70, -10.05, -10.89 	0.00, 30.00 	14,5,53,337		inf,inf	0,0 	0
0       	-28.45, 16.84, -7.45 	-6.29, -9.97, -11.00 	0.00, 30.00 	14,5,53,337		inf,inf	0,0 	0
0       	-28.45, 16.85, -7.46 	-5.99, -9.83, -11.28 	0.00, 30.00 	14,5,53,337		inf,inf	0,0 	0
