#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	1.93, 1.21, -8.09 	20.40, -23.52, -3.95 	0.00, 10.00 	14,6,21,222		0.00,0.00	0,0 	0
0       	1.83, 1.14, -8.05 	20.51, -23.44, -3.96 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	1.84, 1.09, -8.02 	20.56, -23.42, -3.99 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	1.87, 1.08, -8.03 	20.59, -23.39, -4.01 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	1.97, 1.13, -8.05 	20.62, -23.36, -4.00 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	2.04, 1.13, -8.06 	20.66, -23.32, -4.02 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	2.10, 1.14, -8.06 	20.69, -23.36, -4.00 	0.00, 10.00 	14,6,21,222		inf,inf	0,0 	0
0       	2.10, 1.14, -8.08 	20.67, -23.32, -3.99 	0.00, 10.00 	14,6,21,222		-nan,inf	0,0 	0
0       	2.10, 1.14, -8.07 	20.70, -23.32, -3.99 	0.00, 10.00 	14,6,21,223		-nan,inf	0,0 	0
0       	2.08, 1.15, -8.08 	20.65, -23.32, -3.97 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.06, 1.14, -8.08 	20.67, -23.29, -3.99 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.08, 1.13, -8.07 	20.63, -23.27, -3.97 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.10, 1.15, -8.07 	20.64, -23.26, -3.97 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.10, 1.15, -8.09 	20.64, -23.26, -3.96 	0.00, 10.00 	14,6,21,223		-nan,-nan	0,0 	0
0       	2.13, 1.15, -8.10 	20.64, -23.23, -3.96 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.21, 1.21, -8.14 	20.64, -23.23, -3.95 	0.00, 10.00 	14,6,21,223		inf,-nan	0,0 	0
0       	2.29, 1.25, -8.15 	20.63, -23.22, -3.93 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.30, 1.27, -8.16 	20.63, -23.22, -3.92 	0.00, 10.00 	14,6,21,223		inf,-nan	0,0 	0
0       	2.32, 1.26, -8.13 	20.61, -23.23, -3.91 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.29, 1.25, -8.11 	20.58, -23.23, -3.90 	0.00, 10.00 	14,6,21,223		inf,inf	0,0 	0
0       	2.25, 1.22, -8.09 	20.58, -23.25, -3.89 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.21, 1.21, -8.09 	20.55, -23.23, -3.89 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.21, 1.18, -8.08 	20.51, -23.24, -3.90 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.20, 1.17, -8.08 	20.51, -23.24, -3.89 	0.00, 10.00 	14,6,21,224		inf,-nan	0,0 	0
0       	2.22, 1.16, -8.08 	20.52, -23.23, -3.88 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.21, 1.14, -8.08 	20.51, -23.24, -3.88 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.24, 1.13, -8.08 	20.53, -23.24, -3.87 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.24, 1.13, -8.09 	20.57, -23.23, -3.85 	0.00, 10.00 	14,6,21,224		-nan,inf	0,0 	0
0       	2.23, 1.08, -8.07 	20.54, -23.24, -3.85 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.23, 1.07, -8.06 	20.55, -23.23, -3.84 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.20, 1.04, -8.05 	20.54, -23.22, -3.82 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.20, 0.97, -8.04 	20.52, -23.23, -3.82 	0.00, 10.00 	14,6,21,224		inf,inf	0,0 	0
0       	2.19, 0.87, -8.02 	20.52, -23.26, -3.81 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.22, 0.74, -8.03 	20.51, -23.26, -3.82 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.35, 0.62, -8.04 	20.52, -23.23, -3.85 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.45, 0.54, -8.05 	20.63, -23.23, -3.87 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.60, 0.46, -8.00 	20.64, -23.23, -3.87 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.70, 0.38, -7.98 	20.72, -23.23, -3.88 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.78, 0.35, -7.97 	20.76, -23.19, -3.89 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.76, 0.30, -7.96 	20.79, -23.23, -3.91 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.73, 0.26, -7.96 	20.80, -23.27, -3.91 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.72, 0.20, -7.95 	20.81, -23.26, -3.90 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.72, 0.15, -7.95 	20.83, -23.30, -3.92 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.74, 0.14, -7.96 	20.87, -23.33, -3.92 	0.00, 10.00 	14,6,21,225		inf,inf	0,0 	0
0       	2.77, 0.15, -7.97 	20.90, -23.36, -3.95 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.83, 0.14, -7.98 	21.08, -23.35, -3.98 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.86, 0.14, -7.99 	21.17, -23.37, -4.01 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.88, 0.13, -8.00 	21.25, -23.40, -4.00 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.95, 0.11, -7.98 	21.39, -23.43, -3.97 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.93, 0.12, -7.98 	21.36, -23.48, -3.93 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.93, 0.12, -7.98 	21.28, -23.56, -3.87 	0.00, 10.00 	14,6,21,226		-nan,inf	0,0 	0
0       	2.96, 0.12, -7.97 	21.16, -23.64, -3.83 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.94, 0.10, -7.98 	21.09, -23.70, -3.81 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.94, 0.08, -7.96 	21.07, -23.71, -3.77 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.95, 0.09, -7.97 	21.11, -23.75, -3.76 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.98, 0.10, -7.97 	21.14, -23.72, -3.73 	0.00, 10.00 	14,6,21,226		inf,inf	0,0 	0
0       	2.99, 0.08, -7.97 	21.22, -23.75, -3.72 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.02, 0.07, -7.96 	21.27, -23.77, -3.71 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.04, 0.09, -7.96 	21.31, -23.78, -3.71 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.03, 0.10, -7.97 	21.34, -23.77, -3.71 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.05, 0.09, -7.96 	21.35, -23.79, -3.70 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.03, 0.08, -7.95 	21.39, -23.78, -3.72 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.01, 0.08, -7.95 	21.37, -23.79, -3.74 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.01, 0.07, -7.95 	21.37, -23.80, -3.75 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.00, 0.07, -7.95 	21.37, -23.82, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	2.99, 0.08, -7.95 	21.42, -23.81, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.00, 0.09, -7.96 	21.44, -23.82, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.03, 0.09, -7.96 	21.47, -23.80, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.04, 0.09, -7.95 	21.46, -23.83, -3.78 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.01, 0.10, -7.97 	21.47, -23.82, -3.79 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	3.02, 0.10, -7.97 	21.46, -23.82, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.97, 0.06, -7.95 	21.45, -23.84, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.92, 0.05, -7.95 	21.44, -23.83, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.89, 0.05, -7.96 	21.42, -23.82, -3.82 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
