#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-25.23, 18.50, -6.80 	21.49, 20.12, -8.06 	0.00, 30.00 	14,25,30,846		0.00,0.00	0,0 	0
0       	-25.23, 18.50, -6.80 	21.49, 20.13, -8.06 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.24, 18.51, -6.80 	21.49, 20.14, -8.04 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.24, 18.51, -6.80 	21.46, 20.14, -8.04 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.24, 18.51, -6.80 	21.45, 20.14, -8.05 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.23, 18.51, -6.79 	21.43, 20.14, -8.04 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.23, 18.51, -6.79 	21.40, 20.14, -8.04 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.23, 18.51, -6.79 	21.36, 20.12, -8.02 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.24, 18.52, -6.80 	21.32, 20.12, -8.01 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.24, 18.51, -6.79 	21.29, 20.10, -7.99 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.24, 18.51, -6.79 	21.28, 20.07, -7.99 	0.00, 30.00 	14,25,30,846		-nan,inf	0,0 	0
0       	-25.26, 18.52, -6.79 	21.27, 20.04, -7.99 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.27, 18.51, -6.80 	21.23, 20.01, -8.00 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.28, 18.52, -6.80 	21.25, 20.01, -7.99 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.26, 18.53, -6.80 	21.18, 20.03, -8.00 	0.00, 30.00 	14,25,30,846		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.80 	21.16, 20.03, -8.01 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.26, 18.53, -6.80 	21.10, 20.02, -8.00 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.80 	21.06, 20.00, -8.00 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.26, 18.53, -6.80 	21.03, 19.99, -8.00 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.80 	21.03, 19.98, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.26, 18.52, -6.80 	21.04, 19.97, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.80 	21.05, 19.99, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.26, 18.52, -6.80 	21.06, 19.97, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.06, 19.96, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.24, 18.51, -6.81 	21.05, 19.96, -7.98 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.24, 18.51, -6.81 	21.05, 19.96, -7.98 	0.00, 30.00 	14,25,30,847		-nan,-nan	0,0 	0
0       	-25.24, 18.51, -6.81 	21.05, 19.96, -7.98 	0.00, 30.00 	14,25,30,847		-nan,-nan	0,0 	0
0       	-25.24, 18.51, -6.81 	21.03, 19.96, -7.99 	0.00, 30.00 	14,25,30,847		-nan,inf	0,0 	0
0       	-25.26, 18.52, -6.80 	21.03, 19.96, -8.00 	0.00, 30.00 	14,25,30,847		inf,-nan	0,0 	0
0       	-25.26, 18.52, -6.79 	21.01, 19.98, -8.00 	0.00, 30.00 	14,25,30,847		-nan,inf	0,0 	0
0       	-25.28, 18.52, -6.81 	21.03, 19.96, -7.99 	0.00, 30.00 	14,25,30,847		inf,inf	0,0 	0
0       	-25.28, 18.52, -6.80 	21.01, 19.98, -7.99 	0.00, 30.00 	14,25,30,847		-nan,inf	0,0 	0
0       	-25.26, 18.52, -6.81 	21.03, 19.98, -7.99 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.26, 18.52, -6.81 	21.01, 19.99, -7.99 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.01, 20.00, -7.99 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.01, 20.01, -7.98 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.28, 18.52, -6.81 	21.00, 20.02, -7.98 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.99, 20.04, -7.98 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.98, 20.03, -7.97 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.80 	20.97, 20.06, -7.97 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.07, -7.97 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.51, -6.81 	20.99, 20.08, -7.96 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.00, 20.11, -7.95 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.02, 20.15, -7.93 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.00, 20.17, -7.94 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.02, 20.22, -7.94 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.53, -6.82 	21.02, 20.24, -7.93 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.26, 18.53, -6.81 	21.01, 20.27, -7.93 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.00, 20.27, -7.92 	0.00, 30.00 	14,25,30,848		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.98, 20.28, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.29, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.99, 20.31, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.01, 20.29, -7.91 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.02, 20.29, -7.91 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.02, 20.31, -7.91 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.04, 20.35, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.03, 20.33, -7.91 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.03, 20.36, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.02, 20.37, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	21.00, 20.40, -7.93 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.39, -7.92 	0.00, 30.00 	14,25,30,848		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.39, -7.92 	0.00, 30.00 	14,25,30,849		-nan,-nan	0,0 	0
0       	-25.28, 18.53, -6.81 	20.98, 20.39, -7.91 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.99, 20.41, -7.91 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.98, 20.40, -7.91 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.99, 20.40, -7.91 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.40, -7.91 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.98, 20.39, -7.90 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	20.97, 20.39, -7.91 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.27, 18.53, -6.80 	20.92, 20.35, -7.90 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.26, 18.53, -6.80 	20.86, 20.29, -7.90 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.80 	20.65, 20.11, -7.93 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.30, 18.56, -6.80 	20.48, 19.99, -7.98 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.30, 18.56, -6.80 	20.36, 19.83, -8.04 	0.00, 30.00 	14,25,30,849		-nan,inf	0,0 	0
0       	-25.31, 18.56, -6.80 	20.18, 19.65, -8.11 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.29, 18.55, -6.81 	19.92, 19.40, -8.23 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.81 	19.50, 19.04, -8.39 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	18.94, 18.55, -8.58 	0.00, 30.00 	14,25,30,849		inf,inf	0,0 	0
0       	-25.27, 18.53, -6.81 	18.13, 17.85, -8.78 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	17.10, 17.04, -8.97 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.30, 18.55, -6.81 	16.07, 16.28, -9.11 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.30, 18.55, -6.80 	15.17, 15.75, -9.24 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.30, 18.55, -6.80 	14.29, 15.17, -9.36 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.30, 18.55, -6.80 	13.28, 14.43, -9.46 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.31, 18.55, -6.81 	12.17, 13.48, -9.54 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	10.95, 12.45, -9.55 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	9.75, 11.31, -9.53 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	8.47, 10.18, -9.49 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	7.14, 8.91, -9.37 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	5.85, 7.69, -9.23 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	4.70, 6.61, -9.16 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	3.75, 5.66, -9.17 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	3.04, 4.66, -9.17 	0.00, 30.00 	14,25,30,850		inf,inf	0,0 	0
0       	-25.30, 18.53, -6.82 	2.51, 3.77, -9.19 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	1.96, 2.95, -9.15 	0.00, 30.00 	14,25,30,850		-nan,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	1.22, 2.06, -8.87 	0.00, 30.00 	14,25,30,851		-nan,inf	0,0 	0
0       	-25.27, 18.52, -6.81 	0.60, 1.18, -8.45 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	0.09, 0.31, -7.95 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.28, 18.52, -6.81 	0.15, -0.15, -7.56 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.28, 18.53, -6.81 	0.52, -0.37, -7.31 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.28, 18.52, -6.81 	0.64, -0.50, -7.12 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	0.25, -0.66, -7.04 	0.00, 30.00 	14,25,30,851		inf,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	0.16, -0.67, -7.04 	0.00, 30.00 	14,25,30,851		-nan,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	0.60, -0.49, -7.02 	0.00, 30.00 	14,25,30,851		-nan,inf	0,0 	0
0       	-25.30, 18.53, -6.81 	0.73, -0.53, -6.88 	0.00, 30.00 	14,25,30,851		-nan,inf	0,0 	0
