#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

16      	-25.39, 18.98, -7.00 	0.37, 1.38, -6.95 	0.00, 10.00 	14,25,46,228		0.00,0.00	0,0 	0
25      	-25.39, 18.98, -7.00 	0.35, 1.38, -6.95 	0.00, 10.00 	14,25,46,238		0.00,2.45	0,0 	0
34      	-25.39, 18.98, -7.00 	0.35, 1.36, -6.93 	0.00, 10.00 	14,25,46,248		0.00,2.32	0,0 	0
43      	-25.37, 18.98, -7.00 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,257		1.43,1.16	0,0 	0
52      	-25.37, 18.98, -7.00 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,267		0.00,0.00	0,0 	0
61      	-25.37, 18.98, -7.00 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,277		0.00,0.00	0,0 	0
70      	-25.39, 18.98, -7.00 	0.35, 1.37, -6.97 	0.00, 10.00 	14,25,46,286		1.43,2.32	0,0 	0
79      	-25.39, 18.99, -7.00 	0.35, 1.37, -6.96 	0.00, 10.00 	14,25,46,296		1.32,0.00	0,0 	0
88      	-25.40, 19.00, -7.00 	0.35, 1.38, -6.97 	0.00, 10.00 	14,25,46,306		2.18,1.16	0,0 	0
97      	-25.40, 19.00, -6.99 	0.34, 1.38, -6.97 	0.00, 10.00 	14,25,46,315		0.00,1.23	0,0 	0
106     	-25.41, 18.99, -7.00 	0.34, 1.39, -6.96 	0.00, 10.00 	14,25,46,325		1.68,1.16	0,0 	0
115     	-25.39, 18.98, -7.00 	0.34, 1.39, -6.96 	0.00, 10.00 	14,25,46,335		3.45,0.00	0,0 	0
124     	-25.37, 18.98, -7.00 	0.31, 1.39, -6.96 	0.00, 10.00 	14,25,46,344		1.43,3.68	0,0 	0
133     	-25.37, 18.98, -7.00 	0.32, 1.38, -6.95 	0.00, 10.00 	14,25,46,354		0.00,1.71	0,0 	0
142     	-25.37, 18.98, -7.00 	0.32, 1.38, -6.95 	0.00, 10.00 	14,25,46,364		0.00,0.00	0,0 	0
151     	-25.37, 18.98, -7.00 	0.32, 1.38, -6.95 	0.00, 10.00 	14,25,46,373		0.00,0.00	0,0 	0
160     	-25.37, 18.98, -7.00 	0.32, 1.37, -6.96 	0.00, 10.00 	14,25,46,383		0.00,1.16	0,0 	0
169     	-25.38, 18.99, -7.00 	0.31, 1.37, -6.97 	0.00, 10.00 	14,25,46,393		1.32,1.23	0,0 	0
178     	-25.36, 18.99, -7.00 	0.34, 1.38, -6.97 	0.00, 10.00 	14,25,46,402		1.43,3.84	0,0 	0
187     	-25.36, 18.99, -7.00 	0.35, 1.38, -6.97 	0.00, 10.00 	14,25,46,412		0.00,1.23	0,0 	0
196     	-25.38, 18.99, -7.00 	0.34, 1.39, -6.96 	0.00, 10.00 	14,25,46,422		1.43,1.71	0,0 	0
205     	-25.39, 18.99, -7.00 	0.31, 1.39, -6.96 	0.00, 10.00 	14,25,46,431		1.43,3.68	0,0 	0
214     	-25.37, 18.98, -7.00 	0.31, 1.36, -6.95 	0.00, 10.00 	14,25,46,441		2.18,3.48	0,0 	0
223     	-25.37, 18.98, -7.00 	0.32, 1.35, -6.95 	0.00, 10.00 	14,25,46,451		0.00,1.71	0,0 	0
232     	-25.37, 18.98, -7.00 	0.34, 1.35, -6.95 	0.00, 10.00 	14,25,46,461		0.00,2.45	0,0 	0
241     	-25.37, 18.98, -7.00 	0.34, 1.35, -6.95 	0.00, 10.00 	14,25,46,470		0.00,0.00	0,0 	0
250     	-25.37, 18.98, -7.00 	0.33, 1.35, -6.96 	0.00, 10.00 	14,25,46,480		0.00,1.23	0,0 	0
259     	-25.37, 18.96, -7.00 	0.34, 1.36, -6.96 	0.00, 10.00 	14,25,46,490		1.32,1.67	0,0 	0
268     	-25.36, 18.98, -7.00 	0.33, 1.34, -6.95 	0.00, 10.00 	14,25,46,499		1.68,2.60	0,0 	0
277     	-25.37, 18.98, -6.99 	0.34, 1.36, -6.95 	0.00, 10.00 	14,25,46,509		1.43,2.60	0,0 	0
286     	-25.39, 18.98, -6.99 	0.34, 1.36, -6.95 	0.00, 10.00 	14,25,46,519		1.43,0.00	0,0 	0
295     	-25.39, 18.98, -6.99 	0.36, 1.34, -6.95 	0.00, 10.00 	14,25,46,528		0.00,3.41	0,0 	0
304     	-25.38, 18.97, -6.99 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,538		1.32,1.71	0,0 	0
313     	-25.37, 18.98, -7.00 	0.35, 1.36, -6.94 	0.00, 10.00 	14,25,46,548		1.68,1.16	0,0 	0
322     	-25.37, 18.98, -7.00 	0.35, 1.36, -6.94 	0.00, 10.00 	14,25,46,557		0.00,0.00	0,0 	0
331     	-25.37, 18.98, -7.00 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,567		0.00,1.16	0,0 	0
340     	-25.37, 18.98, -7.00 	0.35, 1.35, -6.95 	0.00, 10.00 	14,25,46,577		0.00,0.00	0,0 	0
349     	-25.39, 18.99, -7.00 	0.34, 1.35, -6.96 	0.00, 10.00 	14,25,46,586		2.18,1.23	0,0 	0
358     	-25.39, 18.99, -6.99 	0.35, 1.36, -6.96 	0.00, 10.00 	14,25,46,596		0.00,1.67	0,0 	0
367     	-25.39, 18.98, -7.00 	0.35, 1.37, -6.95 	0.00, 10.00 	14,25,46,606		1.32,1.16	0,0 	0
376     	-25.39, 18.98, -7.00 	0.35, 1.37, -6.95 	0.00, 10.00 	14,25,46,615		0.00,0.00	0,0 	0
385     	-25.39, 18.98, -7.00 	0.34, 1.37, -6.96 	0.00, 10.00 	14,25,46,625		0.00,1.23	0,0 	0
394     	-25.40, 18.98, -6.99 	0.34, 1.37, -6.96 	0.00, 10.00 	14,25,46,635		1.43,0.00	0,0 	0
403     	-25.40, 18.99, -6.99 	0.34, 1.37, -6.96 	0.00, 10.00 	14,25,46,644		1.32,0.00	0,0 	0
412     	-25.39, 18.99, -6.99 	0.34, 1.37, -6.96 	0.00, 10.00 	14,25,46,654		1.43,0.00	0,0 	0
421     	-25.40, 18.98, -6.99 	0.35, 1.37, -6.96 	0.00, 10.00 	14,25,46,664		1.68,1.23	0,0 	0
430     	-25.37, 18.98, -7.00 	0.34, 1.34, -6.95 	0.00, 10.00 	14,25,46,673		2.86,3.67	0,0 	0
439     	-25.37, 18.98, -7.00 	0.34, 1.33, -6.95 	0.00, 10.00 	14,25,46,683		0.00,1.16	0,0 	0
448     	-25.37, 18.96, -7.00 	0.34, 1.33, -6.95 	0.00, 10.00 	14,25,46,693		1.32,0.00	0,0 	0
457     	-25.39, 18.98, -7.00 	0.34, 1.34, -6.95 	0.00, 10.00 	14,25,46,703		2.18,1.16	0,0 	0
466     	-25.39, 18.98, -7.00 	0.32, 1.34, -6.96 	0.00, 10.00 	14,25,46,712		0.00,2.45	0,0 	0
475     	-25.39, 18.98, -7.00 	0.32, 1.35, -6.95 	0.00, 10.00 	14,25,46,722		0.00,1.16	0,0 	0
484     	-25.39, 18.98, -7.00 	0.32, 1.35, -6.95 	0.00, 10.00 	14,25,46,732		0.00,0.00	0,0 	0
493     	-25.40, 18.98, -6.99 	0.34, 1.35, -6.95 	0.00, 10.00 	14,25,46,741		1.43,2.45	0,0 	0
502     	-25.40, 18.99, -6.99 	0.34, 1.35, -6.95 	0.00, 10.00 	14,25,46,751		1.32,0.00	0,0 	0
511     	-25.38, 18.99, -7.00 	0.33, 1.35, -6.96 	0.00, 10.00 	14,25,46,761		2.86,1.23	0,0 	0
520     	-25.37, 18.98, -7.00 	0.34, 1.36, -6.95 	0.00, 10.00 	14,25,46,770		1.32,1.67	0,0 	0
529     	-25.37, 18.98, -7.00 	0.34, 1.36, -6.95 	0.00, 10.00 	14,25,46,780		0.00,0.00	0,0 	0
538     	-25.37, 18.96, -7.00 	0.34, 1.36, -6.95 	0.00, 10.00 	14,25,46,790		1.32,0.00	0,0 	0
547     	-25.39, 18.99, -7.00 	0.34, 1.37, -6.95 	0.00, 10.00 	14,25,46,799		3.31,1.16	0,0 	0
556     	-25.39, 18.98, -7.00 	0.34, 1.37, -6.97 	0.00, 10.00 	14,25,46,809		1.32,0.00	0,0 	0
565     	-25.39, 18.98, -7.00 	0.34, 1.38, -6.96 	0.00, 10.00 	14,25,46,819		0.00,1.16	0,0 	0
574     	-25.39, 18.99, -6.99 	0.36, 1.36, -6.97 	0.00, 10.00 	14,25,46,828		1.32,3.41	0,0 	0
583     	-25.39, 18.99, -6.99 	0.39, 1.35, -6.97 	0.00, 10.00 	14,25,46,838		0.00,2.73	0,0 	0
592     	-25.39, 18.99, -6.99 	0.37, 1.36, -6.97 	0.00, 10.00 	14,25,46,848		0.00,1.71	0,0 	0
601     	-25.39, 18.99, -6.99 	0.36, 1.33, -6.96 	0.00, 10.00 	14,25,46,857		0.00,3.67	0,0 	0
610     	-25.39, 18.99, -6.99 	0.36, 1.31, -6.97 	0.00, 10.00 	14,25,46,867		0.00,1.16	0,0 	0
619     	-25.39, 18.99, -6.99 	0.37, 1.28, -6.96 	0.00, 10.00 	14,25,46,877		0.00,3.48	0,0 	0
628     	-25.39, 18.99, -6.99 	0.35, 1.31, -6.94 	0.00, 10.00 	14,25,46,886		0.00,3.71	0,0 	0
637     	-25.39, 18.99, -6.99 	0.39, 1.31, -6.96 	0.00, 10.00 	14,25,46,896		0.00,3.68	0,0 	0
646     	-25.38, 19.01, -7.00 	0.35, 1.34, -6.96 	0.00, 10.00 	14,25,46,906		2.66,4.39	0,0 	0
655     	-25.39, 19.00, -7.00 	0.35, 1.35, -6.96 	0.00, 10.00 	14,25,46,916		1.68,1.16	0,0 	0
664     	-25.38, 19.01, -7.00 	0.35, 1.34, -6.97 	0.00, 10.00 	14,25,46,925		1.68,1.16	0,0 	0
673     	-25.39, 18.99, -6.99 	0.36, 1.36, -6.98 	0.00, 10.00 	14,25,46,935		2.66,2.60	0,0 	0
682     	-25.40, 18.98, -6.99 	0.34, 1.33, -6.96 	0.00, 10.00 	14,25,46,945		1.68,4.22	0,0 	0
691     	-25.40, 18.99, -6.99 	0.34, 1.35, -6.94 	0.00, 10.00 	14,25,46,954		1.32,2.32	0,0 	0
700     	-25.38, 18.99, -7.00 	0.31, 1.34, -6.94 	0.00, 10.00 	14,25,46,964		2.86,3.84	0,0 	0
709     	-25.37, 18.98, -7.00 	0.32, 1.34, -6.95 	0.00, 10.00 	14,25,46,974		1.32,1.23	0,0 	0
718     	-25.37, 18.98, -7.00 	0.32, 1.30, -6.93 	0.00, 10.00 	14,25,46,983		0.00,3.48	0,0 	0
727     	-25.39, 18.99, -6.99 	0.34, 1.31, -6.93 	0.00, 10.00 	14,25,46,993		2.18,2.69	0,0 	0
736     	-25.39, 18.99, -6.99 	0.34, 1.33, -6.93 	0.00, 10.00 	14,25,47,3		0.00,1.16	0,0 	0
745     	-25.39, 18.99, -6.99 	0.32, 1.31, -6.94 	0.00, 10.00 	14,25,47,12		0.00,2.69	0,0 	0
754     	-25.39, 18.98, -6.99 	0.32, 1.32, -6.95 	0.00, 10.00 	14,25,47,22		1.32,1.16	0,0 	0
763     	-25.38, 18.97, -6.99 	0.32, 1.34, -6.95 	0.00, 10.00 	14,25,47,32		1.32,1.16	0,0 	0
772     	-25.39, 18.98, -6.99 	0.35, 1.33, -6.93 	0.00, 10.00 	14,25,47,41		1.32,3.88	0,0 	0
781     	-25.40, 18.98, -6.99 	0.32, 1.34, -6.93 	0.00, 10.00 	14,25,47,51		1.43,3.88	0,0 	0
790     	-25.37, 18.98, -7.00 	0.34, 1.33, -6.91 	0.00, 10.00 	14,25,47,61		2.86,2.73	0,0 	0
799     	-25.37, 18.98, -7.00 	0.33, 1.31, -6.92 	0.00, 10.00 	14,25,47,70		0.00,1.67	0,0 	0
808     	-25.37, 18.98, -7.00 	0.38, 1.31, -6.92 	0.00, 10.00 	14,25,47,80		0.00,4.91	0,0 	0
817     	-25.39, 18.99, -6.99 	0.38, 1.31, -6.92 	0.00, 10.00 	14,25,47,90		2.18,0.00	0,0 	0
826     	-25.39, 18.99, -6.99 	0.38, 1.31, -6.92 	0.00, 10.00 	14,25,47,99		0.00,0.00	0,0 	0
835     	-25.40, 19.00, -6.99 	0.40, 1.33, -6.92 	0.00, 10.00 	14,25,47,109		2.18,2.69	0,0 	0
844     	-25.40, 19.00, -6.99 	0.43, 1.35, -6.93 	0.00, 10.00 	14,25,47,119		0.00,4.31	0,0 	0
853     	-25.40, 19.00, -6.99 	0.42, 1.38, -6.93 	0.00, 10.00 	14,25,47,128		0.00,3.71	0,0 	0
862     	-25.40, 18.99, -6.99 	0.42, 1.41, -6.94 	0.00, 10.00 	14,25,47,138		1.32,3.48	0,0 	0
871     	-25.38, 18.99, -6.99 	0.43, 1.39, -6.94 	0.00, 10.00 	14,25,47,148		2.86,2.65	0,0 	0
