#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-17.06, 7.78, -6.79 	0.50, 1.41, -6.68 	0.00, 10.00 	14,37,39,741		0.00,0.00	0,0 	0
0       	-17.07, 7.80, -6.79 	0.45, 1.34, -6.68 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.44, 1.33, -6.70 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.52, 1.33, -6.74 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.57, 1.34, -6.75 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.61, 1.34, -6.76 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.80, -6.79 	0.63, 1.35, -6.77 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.64, 1.35, -6.77 	0.00, 10.00 	14,37,39,741		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.63, 1.37, -6.76 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.62, 1.36, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.62, 1.34, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.62, 1.35, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.61, 1.35, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.61, 1.34, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.62, 1.37, -6.75 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.07, 7.79, -6.79 	0.72, 1.42, -6.77 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.79, -6.79 	0.82, 1.55, -6.80 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.79, 1.63, -6.84 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.79 	0.80, 1.66, -6.88 	0.00, 10.00 	14,37,39,742		-nan,inf	0,0 	0
0       	-17.06, 7.79, -6.79 	0.76, 1.67, -6.84 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.10, 7.80, -6.79 	0.56, 1.62, -6.76 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.08, 7.79, -6.79 	0.41, 1.56, -6.71 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.10, 7.79, -6.79 	0.35, 1.54, -6.69 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.10, 7.78, -6.79 	0.41, 1.55, -6.70 	0.00, 10.00 	14,37,39,742		inf,inf	0,0 	0
0       	-17.08, 7.78, -6.79 	0.44, 1.54, -6.71 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.10, 7.78, -6.79 	0.46, 1.55, -6.71 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.80, -6.79 	0.47, 1.56, -6.73 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.05, 7.80, -6.79 	0.47, 1.57, -6.73 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.05, 7.80, -6.79 	0.49, 1.57, -6.73 	0.00, 10.00 	14,37,39,743		-nan,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.50, 1.57, -6.73 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.80, -6.79 	0.50, 1.57, -6.73 	0.00, 10.00 	14,37,39,743		inf,-nan	0,0 	0
0       	-17.06, 7.81, -6.79 	0.50, 1.56, -6.73 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.78, -6.77 	0.52, 1.56, -6.73 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	0.52, 1.56, -6.72 	0.00, 10.00 	14,37,39,743		inf,-nan	0,0 	0
0       	-17.05, 7.80, -6.79 	0.49, 1.57, -6.74 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.54, 1.57, -6.77 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.05, 7.80, -6.79 	0.67, 1.59, -6.80 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.75, 1.62, -6.84 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.05, 7.81, -6.79 	0.80, 1.65, -6.89 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.80, 1.66, -6.89 	0.00, 10.00 	14,37,39,743		inf,inf	0,0 	0
0       	-17.06, 7.80, -6.78 	0.66, 1.66, -6.86 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.78 	0.61, 1.65, -6.85 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.53, 1.67, -6.84 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.55, 1.66, -6.83 	0.00, 10.00 	14,37,39,744		-nan,inf	0,0 	0
0       	-17.08, 7.81, -6.79 	0.55, 1.68, -6.86 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.05, 7.80, -6.79 	0.59, 1.70, -6.86 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.06, 7.81, -6.79 	0.60, 1.72, -6.89 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.05, 7.80, -6.79 	0.60, 1.70, -6.88 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.78 	0.62, 1.72, -6.92 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.60, 1.75, -6.96 	0.00, 10.00 	14,37,39,744		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.54, 1.84, -7.08 	0.00, 10.00 	14,37,39,744		-nan,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.43, 2.03, -7.29 	0.00, 10.00 	14,37,39,745		-nan,inf	0,0 	0
0       	-17.08, 7.81, -6.79 	0.18, 2.28, -7.53 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.16, 2.43, -7.69 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.08, 7.80, -6.79 	0.42, 2.57, -7.86 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.08, 7.80, -6.79 	0.81, 2.70, -8.03 	0.00, 10.00 	14,37,39,745		-nan,inf	0,0 	0
0       	-17.10, 7.82, -6.79 	0.99, 2.82, -8.13 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.12, 7.82, -6.80 	1.07, 2.91, -8.18 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.11, 7.81, -6.79 	1.03, 2.97, -8.20 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.11, 7.81, -6.79 	0.99, 3.00, -8.20 	0.00, 10.00 	14,37,39,745		-nan,inf	0,0 	0
0       	-17.11, 7.81, -6.79 	0.93, 3.06, -8.20 	0.00, 10.00 	14,37,39,745		-nan,inf	0,0 	0
0       	-17.11, 7.81, -6.79 	0.91, 3.11, -8.20 	0.00, 10.00 	14,37,39,745		-nan,inf	0,0 	0
0       	-17.07, 7.80, -6.79 	0.92, 3.18, -8.22 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.78 	0.87, 3.25, -8.22 	0.00, 10.00 	14,37,39,745		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	0.91, 3.35, -8.24 	0.00, 10.00 	14,37,39,746		-nan,inf	0,0 	0
0       	-17.08, 7.80, -6.79 	0.99, 3.50, -8.29 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	1.18, 3.76, -8.38 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.07, 7.79, -6.79 	1.37, 4.00, -8.42 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.80, -6.79 	1.32, 4.09, -8.36 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	1.24, 4.15, -8.21 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.82, -6.79 	1.08, 4.21, -8.04 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.07, 7.81, -6.79 	0.85, 4.21, -7.84 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.08, 7.80, -6.79 	0.59, 4.14, -7.61 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	0.53, 4.15, -7.47 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.08, 7.80, -6.79 	1.00, 4.31, -7.50 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.81, -6.79 	1.39, 4.52, -7.60 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.07, 7.79, -6.79 	1.34, 4.59, -7.44 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.10, 7.80, -6.79 	1.16, 4.58, -7.12 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
0       	-17.08, 7.79, -6.78 	1.25, 4.58, -6.90 	0.00, 10.00 	14,37,39,746		inf,inf	0,0 	0
