#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-17.36, 8.19, -6.78 	1.33, 1.75, -6.78 	0.00, 10.00 	14,38,6,386		0.00,0.00	0,0 	0
0       	-17.36, 8.19, -6.78 	1.33, 1.76, -6.78 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.76, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.76, -6.76 	0.00, 10.00 	14,38,6,387		-nan,-nan	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.75, -6.76 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,-nan	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,-nan	0,0 	0
0       	-17.36, 8.19, -6.78 	1.27, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.30, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.32, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		inf,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.75, -6.78 	0.00, 10.00 	14,38,6,387		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.77, -6.78 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.32, 1.77, -6.78 	0.00, 10.00 	14,38,6,387		inf,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.75, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.74, -6.77 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.31, 1.74, -6.78 	0.00, 10.00 	14,38,6,387		-nan,-nan	0,0 	0
0       	-17.36, 8.19, -6.78 	1.30, 1.76, -6.78 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.36, 8.19, -6.78 	1.32, 1.76, -6.79 	0.00, 10.00 	14,38,6,387		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.34, 1.76, -6.79 	0.00, 10.00 	14,38,6,387		inf,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.34, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.31, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.76, -6.79 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.33, 8.17, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		inf,inf	0,0 	0
0       	-17.33, 8.19, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		inf,-nan	0,0 	0
0       	-17.33, 8.18, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		inf,-nan	0,0 	0
0       	-17.33, 8.18, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.33, 8.18, -6.78 	1.31, 1.76, -6.78 	0.00, 10.00 	14,38,6,388		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.76, -6.79 	0.00, 10.00 	14,38,6,388		inf,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		-nan,inf	0,0 	0
0       	-17.33, 8.17, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,388		inf,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,389		inf,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,389		-nan,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.78 	0.00, 10.00 	14,38,6,389		-nan,-nan	0,0 	0
0       	-17.33, 8.17, -6.78 	1.33, 1.76, -6.78 	0.00, 10.00 	14,38,6,389		inf,inf	0,0 	0
0       	-17.33, 8.18, -6.78 	1.32, 1.76, -6.79 	0.00, 10.00 	14,38,6,389		inf,inf	0,0 	0
0       	-17.34, 8.17, -6.79 	1.32, 1.76, -6.78 	0.00, 10.00 	14,38,6,389		inf,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.76, -6.79 	0.00, 10.00 	14,38,6,389		inf,-nan	0,0 	0
0       	-17.34, 8.18, -6.78 	1.32, 1.75, -6.79 	0.00, 10.00 	14,38,6,389		-nan,inf	0,0 	0
0       	-17.34, 8.18, -6.78 	1.33, 1.75, -6.79 	0.00, 10.00 	14,38,6,389		-nan,inf	0,0 	0
