#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-29.19, 5.87, 14.02 	7.96, -5.12, -0.12 	0.00, 30.00 	9,51,24,842		0.00,0.00	0,0 	0
0       	-29.24, 5.88, 14.04 	8.14, -4.97, -0.18 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.20, 5.87, 14.05 	8.28, -4.91, -0.23 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.26, 5.92, 14.05 	8.39, -4.85, -0.22 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.19, 5.86, 14.04 	8.22, -4.83, -0.17 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.17, 5.88, 14.04 	7.91, -4.82, -0.11 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.16, 5.84, 14.04 	7.61, -4.79, -0.07 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.21, 5.86, 14.03 	7.46, -4.77, -0.08 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.16, 5.88, 14.04 	7.57, -4.67, -0.19 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.15, 5.82, 14.06 	7.87, -4.51, -0.35 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.24, 5.82, 14.06 	8.24, -4.38, -0.55 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.18, 5.77, 14.04 	8.40, -4.37, -0.67 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.22, 5.74, 14.06 	8.22, -4.40, -0.58 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.28, 5.68, 14.04 	7.89, -4.42, -0.42 	0.00, 30.00 	9,51,24,842		inf,inf	0,0 	0
0       	-29.24, 5.64, 14.04 	7.58, -4.43, -0.26 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.24, 5.59, 14.04 	7.41, -4.40, -0.20 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.19, 5.53, 14.04 	7.34, -4.32, -0.20 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.15, 5.48, 14.04 	7.34, -4.24, -0.30 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.18, 5.34, 14.02 	7.27, -4.16, -0.45 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.11, 5.22, 14.02 	7.07, -4.17, -0.56 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.19, 5.13, 14.00 	6.90, -4.19, -0.55 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.26, 5.04, 14.01 	6.89, -4.16, -0.48 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.23, 4.94, 14.03 	7.05, -4.08, -0.41 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.17, 4.75, 14.03 	7.29, -3.90, -0.38 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.14, 4.56, 14.01 	7.38, -3.68, -0.33 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.18, 4.45, 14.01 	7.26, -3.31, -0.28 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.15, 4.28, 13.99 	7.11, -3.06, -0.36 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.13, 4.14, 13.98 	7.20, -2.90, -0.65 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.20, 4.06, 13.98 	7.16, -2.95, -0.94 	0.00, 30.00 	9,51,24,843		inf,inf	0,0 	0
0       	-29.28, 3.94, 13.98 	6.72, -3.10, -0.95 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.29, 3.79, 13.98 	6.23, -3.19, -0.83 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.26, 3.60, 13.97 	6.12, -3.08, -0.73 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.32, 3.50, 13.95 	6.29, -2.95, -0.72 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.27, 3.31, 13.93 	6.50, -2.83, -0.77 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.22, 3.17, 13.94 	6.73, -2.79, -0.87 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.24, 2.99, 13.90 	6.80, -2.76, -0.98 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.24, 2.92, 13.88 	6.74, -2.76, -1.06 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.30, 2.81, 13.85 	6.51, -2.72, -1.08 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.32, 2.82, 13.84 	6.07, -2.72, -1.05 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.31, 2.72, 13.85 	5.47, -2.68, -0.95 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.26, 2.70, 13.87 	4.84, -2.55, -0.88 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.27, 2.54, 13.88 	5.44, -2.08, -1.13 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.19, 2.43, 13.88 	6.17, -1.72, -1.56 	0.00, 30.00 	9,51,24,844		inf,inf	0,0 	0
0       	-29.21, 2.39, 13.91 	4.59, -1.92, -1.21 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.21, 2.29, 13.90 	2.57, -2.27, -0.40 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.12, 2.20, 13.88 	2.38, -2.31, 0.04 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.12, 2.19, 13.86 	3.08, -2.23, -0.07 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.15, 2.19, 13.86 	3.47, -2.19, -0.22 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.20, 2.18, 13.85 	3.45, -2.16, -0.34 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.19, 2.13, 13.84 	3.17, -2.25, -0.38 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.20, 2.11, 13.83 	2.74, -2.40, -0.39 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.17, 2.08, 13.82 	2.78, -2.53, -0.51 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.14, 2.06, 13.87 	3.34, -2.54, -0.74 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.15, 2.01, 13.86 	3.26, -2.57, -0.81 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.17, 2.02, 13.88 	2.93, -2.60, -0.77 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.16, 1.97, 13.86 	2.67, -2.57, -0.76 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.13, 1.95, 13.85 	2.45, -2.52, -0.75 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.14, 1.93, 13.84 	2.28, -2.48, -0.75 	0.00, 30.00 	9,51,24,845		inf,inf	0,0 	0
0       	-29.14, 1.90, 13.83 	2.16, -2.43, -0.77 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.15, 1.97, 13.84 	2.17, -2.41, -0.87 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.12, 1.93, 13.84 	2.25, -2.40, -1.03 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.05, 1.88, 13.84 	2.37, -2.47, -1.28 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.08, 1.91, 13.84 	2.24, -2.63, -1.53 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.01, 1.89, 13.88 	1.71, -2.86, -1.70 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.01, 1.83, 13.87 	1.01, -3.02, -1.52 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.03, 1.78, 13.86 	1.14, -2.92, -1.45 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.01, 1.71, 13.82 	1.43, -2.79, -1.56 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-28.97, 1.66, 13.79 	1.40, -2.79, -1.69 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.06, 1.67, 13.79 	1.14, -2.81, -1.69 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.04, 1.71, 13.81 	0.92, -2.91, -1.65 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.01, 1.62, 13.81 	0.64, -2.95, -1.63 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.20, 1.61, 13.84 	0.21, -2.99, -1.57 	0.00, 30.00 	9,51,24,846		inf,inf	0,0 	0
0       	-29.25, 1.51, 13.89 	-0.20, -3.07, -1.47 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.23, 1.45, 13.91 	-0.28, -3.21, -1.36 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.25, 1.41, 13.92 	0.35, -3.54, -1.38 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.28, 1.33, 13.90 	1.60, -3.96, -1.49 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.28, 1.29, 13.86 	2.38, -4.15, -1.68 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.25, 1.25, 13.86 	2.16, -3.94, -1.77 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.21, 1.18, 13.83 	1.71, -3.85, -1.85 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.23, 1.20, 13.86 	1.31, -3.90, -2.00 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.33, 1.18, 13.83 	1.12, -4.00, -2.11 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.27, 1.13, 13.83 	1.00, -4.09, -2.17 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.20, 1.04, 13.84 	0.89, -4.18, -2.19 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.26, 1.01, 13.86 	0.76, -4.35, -2.16 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.21, 0.91, 13.89 	0.21, -4.68, -1.91 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.15, 0.73, 13.87 	-0.17, -4.78, -1.63 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.11, 0.49, 13.86 	-0.11, -4.84, -1.49 	0.00, 30.00 	9,51,24,847		inf,inf	0,0 	0
0       	-29.15, 0.19, 13.83 	0.05, -4.83, -1.37 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-29.07, -0.07, 13.80 	-0.16, -4.76, -1.24 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.89, -0.35, 13.80 	-0.46, -4.65, -1.16 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.84, -0.58, 13.76 	-0.70, -4.58, -1.16 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.82, -0.85, 13.72 	-0.69, -4.57, -1.15 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.77, -1.02, 13.75 	-0.61, -4.55, -1.17 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.78, -1.23, 13.74 	-0.51, -4.60, -1.19 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.77, -1.50, 13.75 	-0.43, -4.62, -1.22 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.68, -1.68, 13.73 	-0.33, -4.61, -1.25 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.58, -1.98, 13.73 	-0.16, -4.65, -1.27 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.46, -2.08, 13.72 	-0.10, -4.65, -1.31 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.39, -2.26, 13.70 	-0.14, -4.57, -1.35 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.33, -2.38, 13.70 	-0.29, -4.48, -1.33 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.32, -2.37, 13.69 	-0.50, -4.43, -1.31 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.34, -2.47, 13.68 	-0.45, -4.41, -1.30 	0.00, 30.00 	9,51,24,848		inf,inf	0,0 	0
0       	-28.37, -2.54, 13.68 	-0.27, -4.46, -1.30 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.32, -2.58, 13.68 	-0.11, -4.48, -1.33 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.38, -2.68, 13.69 	0.03, -4.51, -1.35 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.39, -2.69, 13.69 	0.05, -4.53, -1.34 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.42, -2.69, 13.70 	0.06, -4.53, -1.35 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.32, -2.75, 13.70 	0.09, -4.50, -1.34 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.38, -2.68, 13.72 	0.09, -4.57, -1.33 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.31, -2.75, 13.69 	0.17, -4.59, -1.34 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.35, -2.78, 13.68 	0.33, -4.64, -1.34 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.31, -2.74, 13.68 	0.69, -4.79, -1.41 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.39, -2.75, 13.67 	1.24, -4.86, -1.60 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.47, -2.71, 13.67 	1.90, -4.99, -1.87 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.41, -2.75, 13.69 	2.00, -5.15, -1.94 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.36, -2.73, 13.71 	1.58, -5.32, -1.77 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.32, -2.75, 13.74 	0.91, -5.40, -1.45 	0.00, 30.00 	9,51,24,849		inf,inf	0,0 	0
0       	-28.33, -2.76, 13.75 	0.45, -5.44, -1.17 	0.00, 30.00 	9,51,24,850		inf,inf	0,0 	0
