#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

17      	0.73, 1.08, -7.00 	22.41, 4.45, -14.43 	0.00, 20.00 	9,53,22,146		0.00,0.00	0,0 	0
26      	0.86, 1.08, -6.99 	22.12, 3.27, -14.64 	0.00, 20.00 	9,53,22,156		13.64,134.73	0,0 	0
35      	1.05, 1.34, -7.15 	21.94, 2.10, -14.90 	0.00, 20.00 	9,53,22,166		35.75,131.95	0,0 	0
44      	1.38, 1.63, -7.30 	21.96, 0.90, -15.32 	0.00, 20.00 	9,53,22,175		48.84,133.31	0,0 	0
53      	1.84, 1.86, -7.31 	21.91, -0.28, -15.81 	0.00, 20.00 	9,53,22,185		56.80,131.26	0,0 	0
62      	2.22, 2.07, -7.33 	21.73, -1.84, -16.19 	0.00, 20.00 	9,53,22,195		48.51,174.47	0,0 	0
71      	2.28, 2.34, -7.40 	21.54, -3.87, -16.45 	0.00, 20.00 	9,53,22,204		30.84,226.56	0,0 	0
80      	2.25, 2.62, -7.42 	21.21, -6.01, -16.70 	0.00, 20.00 	9,53,22,214		31.03,240.87	0,0 	0
89      	2.42, 2.90, -7.36 	20.88, -7.93, -16.85 	0.00, 20.00 	9,53,22,224		35.43,216.20	0,0 	0
98      	2.63, 3.12, -7.44 	20.66, -9.49, -16.79 	0.00, 20.00 	9,53,22,233		34.02,175.05	0,0 	0
107     	2.71, 3.29, -7.66 	20.71, -10.92, -16.54 	0.00, 20.00 	9,53,22,243		21.30,159.50	0,0 	0
116     	2.73, 3.43, -7.86 	21.01, -12.46, -16.35 	0.00, 20.00 	9,53,22,253		15.85,173.72	0,0 	0
125     	2.77, 3.57, -8.02 	21.23, -13.86, -16.17 	0.00, 20.00 	9,53,22,263		16.16,157.28	0,0 	0
134     	2.76, 3.75, -8.25 	21.37, -14.17, -15.89 	0.00, 20.00 	9,53,22,272		19.06,38.46	0,0 	0
143     	2.79, 3.92, -8.57 	21.58, -14.25, -15.70 	0.00, 20.00 	9,53,22,282		19.59,24.23	0,0 	0
152     	2.79, 4.12, -8.81 	22.01, -14.28, -15.60 	0.00, 20.00 	9,53,22,292		22.64,48.16	0,0 	0
161     	2.73, 4.24, -8.89 	22.38, -14.16, -15.59 	0.00, 20.00 	9,53,22,301		14.62,43.41	0,0 	0
170     	2.62, 4.26, -8.87 	22.90, -13.73, -15.60 	0.00, 20.00 	9,53,22,311		12.68,74.39	0,0 	0
179     	2.54, 4.28, -8.88 	23.17, -13.63, -15.50 	0.00, 20.00 	9,53,22,321		9.46,32.24	0,0 	0
188     	2.54, 4.36, -8.87 	23.48, -13.65, -15.32 	0.00, 20.00 	9,53,22,330		8.40,34.59	0,0 	0
197     	2.61, 4.45, -8.85 	23.64, -13.84, -15.02 	0.00, 20.00 	9,53,22,340		11.96,27.75	0,0 	0
206     	2.71, 4.55, -8.86 	23.73, -13.96, -14.81 	0.00, 20.00 	9,53,22,350		16.22,15.82	0,0 	0
215     	2.84, 4.70, -8.90 	23.93, -14.05, -14.70 	0.00, 20.00 	9,53,22,359		22.11,24.75	0,0 	0
224     	3.04, 4.91, -8.95 	23.93, -14.21, -14.64 	0.00, 20.00 	9,53,22,369		32.32,17.87	0,0 	0
233     	3.27, 5.28, -9.04 	23.90, -14.32, -14.54 	0.00, 20.00 	9,53,22,379		48.07,12.38	0,0 	0
242     	3.43, 5.84, -9.34 	23.85, -14.39, -14.47 	0.00, 20.00 	9,53,22,388		65.00,10.23	0,0 	0
251     	3.23, 6.15, -9.66 	23.78, -14.46, -14.41 	0.00, 20.00 	9,53,22,398		41.25,10.14	0,0 	0
260     	3.03, 6.36, -9.84 	23.88, -14.36, -14.44 	0.00, 20.00 	9,53,22,408		32.16,15.21	0,0 	0
269     	2.83, 6.46, -9.91 	23.82, -14.36, -14.39 	0.00, 20.00 	9,53,22,417		25.53,6.13	0,0 	0
278     	2.65, 6.52, -9.98 	23.82, -14.32, -14.40 	0.00, 20.00 	9,53,22,427		20.07,4.76	0,0 	0
287     	2.42, 6.69, -10.13 	23.79, -14.37, -14.33 	0.00, 20.00 	9,53,22,437		32.36,6.93	0,0 	0
296     	2.23, 7.13, -10.27 	23.87, -14.36, -14.23 	0.00, 20.00 	9,53,22,446		52.64,8.64	0,0 	0
305     	2.30, 7.71, -10.34 	23.93, -14.34, -14.15 	0.00, 20.00 	9,53,22,456		65.05,7.68	0,0 	0
314     	2.49, 8.44, -10.40 	23.97, -14.43, -14.02 	0.00, 20.00 	9,53,22,466		84.55,11.41	0,0 	0
323     	2.81, 9.24, -10.42 	24.11, -14.45, -13.93 	0.00, 20.00 	9,53,22,475		95.30,16.17	0,0 	0
332     	3.11, 10.02, -10.35 	24.15, -14.52, -13.82 	0.00, 20.00 	9,53,22,485		93.23,9.18	0,0 	0
341     	3.35, 10.79, -10.34 	24.24, -14.62, -13.76 	0.00, 20.00 	9,53,22,495		89.45,14.69	0,0 	0
350     	3.43, 11.58, -10.42 	24.27, -14.61, -13.74 	0.00, 20.00 	9,53,22,505		87.74,2.70	0,0 	0
359     	3.42, 12.39, -10.49 	24.31, -14.76, -13.69 	0.00, 20.00 	9,53,22,514		90.57,17.15	0,0 	0
368     	3.26, 13.08, -10.48 	24.22, -14.78, -13.61 	0.00, 20.00 	9,53,22,524		78.92,10.04	0,0 	0
377     	2.96, 13.72, -10.45 	24.30, -14.81, -13.54 	0.00, 20.00 	9,53,22,534		78.02,9.37	0,0 	0
386     	2.54, 14.36, -10.40 	24.29, -14.85, -13.41 	0.00, 20.00 	9,53,22,543		84.81,4.89	0,0 	0
395     	2.12, 15.04, -10.35 	24.26, -14.84, -13.26 	0.00, 20.00 	9,53,22,553		88.97,3.89	0,0 	0
404     	1.75, 15.69, -10.27 	23.99, -15.02, -13.00 	0.00, 20.00 	9,53,22,563		83.42,35.72	0,0 	0
413     	1.41, 16.45, -10.21 	23.99, -15.02, -12.79 	0.00, 20.00 	9,53,22,572		92.29,0.00	0,0 	0
422     	1.13, 17.23, -10.12 	23.80, -15.07, -12.61 	0.00, 20.00 	9,53,22,582		92.46,21.27	0,0 	0
431     	0.80, 17.98, -9.90 	23.68, -15.19, -12.52 	0.00, 20.00 	9,53,22,592		91.17,19.48	0,0 	0
440     	0.43, 18.63, -9.59 	23.49, -15.19, -12.51 	0.00, 20.00 	9,53,22,601		82.36,20.90	0,0 	0
449     	0.03, 19.24, -9.29 	23.31, -15.28, -12.48 	0.00, 20.00 	9,53,22,611		81.46,22.72	0,0 	0
458     	-0.39, 19.78, -9.00 	23.09, -15.35, -12.42 	0.00, 20.00 	9,53,22,621		75.43,25.39	0,0 	0
467     	-0.77, 20.19, -8.67 	22.95, -15.44, -12.39 	0.00, 20.00 	9,53,22,630		62.67,18.38	0,0 	0
476     	-1.05, 20.52, -8.37 	23.04, -15.46, -12.34 	0.00, 20.00 	9,53,22,640		48.11,10.14	0,0 	0
485     	-1.28, 20.85, -8.12 	22.84, -15.59, -12.31 	0.00, 20.00 	9,53,22,650		44.24,27.05	0,0 	0
494     	-1.47, 21.10, -7.95 	22.67, -15.64, -12.31 	0.00, 20.00 	9,53,22,659		35.15,18.89	0,0 	0
503     	-1.60, 21.27, -7.83 	22.59, -15.78, -12.27 	0.00, 20.00 	9,53,22,669		23.68,18.14	0,0 	0
512     	-1.68, 21.42, -7.72 	22.43, -15.88, -12.22 	0.00, 20.00 	9,53,22,679		19.51,21.08	0,0 	0
521     	-1.69, 21.57, -7.61 	22.29, -15.95, -12.22 	0.00, 20.00 	9,53,22,688		16.68,17.32	0,0 	0
530     	-1.56, 21.71, -7.49 	22.07, -16.08, -12.21 	0.00, 20.00 	9,53,22,698		20.41,29.16	0,0 	0
539     	-1.42, 21.74, -7.39 	21.88, -16.19, -12.28 	0.00, 20.00 	9,53,22,708		16.44,23.22	0,0 	0
548     	-1.28, 21.71, -7.30 	21.61, -16.20, -12.34 	0.00, 20.00 	9,53,22,718		15.72,30.65	0,0 	0
557     	-1.19, 21.62, -7.23 	21.26, -16.32, -12.38 	0.00, 20.00 	9,53,22,727		13.91,40.74	0,0 	0
566     	-1.06, 21.53, -7.17 	20.81, -16.41, -12.43 	0.00, 20.00 	9,53,22,737		17.53,50.77	0,0 	0
575     	-0.89, 21.39, -7.10 	20.18, -16.57, -12.45 	0.00, 20.00 	9,53,22,747		24.34,72.43	0,0 	0
584     	-0.72, 21.22, -7.03 	19.68, -16.92, -12.42 	0.00, 20.00 	9,53,22,756		26.92,68.36	0,0 	0
593     	-0.51, 21.08, -6.98 	19.12, -17.20, -12.37 	0.00, 20.00 	9,53,22,766		28.15,69.28	0,0 	0
602     	-0.23, 20.96, -6.97 	18.56, -17.45, -12.27 	0.00, 20.00 	9,53,22,776		33.30,68.38	0,0 	0
611     	0.06, 20.84, -6.99 	17.90, -17.56, -12.24 	0.00, 20.00 	9,53,22,785		35.55,74.10	0,0 	0
620     	0.32, 20.72, -7.02 	17.42, -17.63, -12.24 	0.00, 20.00 	9,53,22,795		31.08,54.14	0,0 	0
629     	0.45, 20.62, -7.06 	16.89, -17.52, -12.38 	0.00, 20.00 	9,53,22,805		18.31,59.67	0,0 	0
638     	0.48, 20.54, -7.09 	16.31, -17.62, -12.47 	0.00, 20.00 	9,53,22,814		10.31,65.46	0,0 	0
647     	0.49, 20.43, -7.10 	15.89, -17.63, -12.55 	0.00, 20.00 	9,53,22,824		11.91,46.59	0,0 	0
656     	0.48, 20.34, -7.09 	15.15, -17.56, -12.59 	0.00, 20.00 	9,53,22,834		9.58,83.07	0,0 	0
665     	0.47, 20.33, -7.11 	14.69, -17.48, -12.54 	0.00, 20.00 	9,53,22,843		1.70,51.37	0,0 	0
674     	0.48, 20.34, -7.13 	14.33, -17.54, -12.57 	0.00, 20.00 	9,53,22,853		1.70,40.63	0,0 	0
683     	0.49, 20.32, -7.13 	14.26, -17.67, -12.80 	0.00, 20.00 	9,53,22,863		2.38,16.50	0,0 	0
692     	0.48, 20.33, -7.14 	14.27, -17.69, -13.16 	0.00, 20.00 	9,53,22,872		1.19,2.70	0,0 	0
701     	0.48, 20.33, -7.15 	14.47, -17.53, -13.57 	0.00, 20.00 	9,53,22,882		0.00,28.34	0,0 	0
710     	0.50, 20.33, -7.16 	14.30, -17.32, -13.95 	0.00, 20.00 	9,53,22,892		1.24,30.41	0,0 	0
719     	0.52, 20.31, -7.17 	14.29, -17.02, -14.34 	0.00, 20.00 	9,53,22,901		3.48,33.33	0,0 	0
728     	0.53, 20.28, -7.18 	14.34, -16.50, -14.74 	0.00, 20.00 	9,53,22,911		3.81,58.78	0,0 	0
737     	0.54, 20.28, -7.19 	14.26, -14.77, -14.89 	0.00, 20.00 	9,53,22,921		1.24,191.68	0,0 	0
