#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

18      	-0.92, 0.73, -6.87 	5.64, -17.61, -1.88 	0.00, 20.00 	10,17,8,797		0.00,0.00	0,0 	0
27      	-0.85, 0.75, -6.86 	5.61, -17.59, -1.90 	0.00, 20.00 	10,17,8,807		7.48,3.43	0,0 	0
36      	-0.86, 0.78, -6.86 	5.61, -17.59, -1.91 	0.00, 20.00 	10,17,8,816		3.75,0.00	0,0 	0
45      	-0.81, 0.80, -6.85 	5.64, -17.59, -1.89 	0.00, 20.00 	10,17,8,826		6.58,2.45	0,0 	0
54      	-0.76, 0.82, -6.86 	5.68, -17.60, -1.91 	0.00, 20.00 	10,17,8,836		5.44,5.05	0,0 	0
63      	-0.81, 0.85, -6.86 	5.72, -17.57, -1.91 	0.00, 20.00 	10,17,8,846		6.11,5.98	0,0 	0
72      	-0.86, 0.91, -6.85 	5.70, -17.56, -1.92 	0.00, 20.00 	10,17,8,855		8.67,2.74	0,0 	0
81      	-0.98, 1.02, -6.81 	5.76, -17.54, -1.92 	0.00, 20.00 	10,17,8,865		17.16,6.20	0,0 	0
90      	-1.17, 1.04, -6.79 	5.74, -17.56, -1.92 	0.00, 20.00 	10,17,8,875		21.33,1.68	0,0 	0
99      	-1.29, 1.11, -6.80 	5.68, -17.55, -1.92 	0.00, 20.00 	10,17,8,884		15.98,7.45	0,0 	0
108     	-1.27, 1.19, -6.82 	5.73, -17.51, -1.92 	0.00, 20.00 	10,17,8,894		9.69,7.00	0,0 	0
117     	-1.11, 1.21, -6.82 	5.73, -17.51, -1.92 	0.00, 20.00 	10,17,8,904		18.54,0.00	0,0 	0
126     	-0.97, 1.25, -6.82 	5.78, -17.50, -1.92 	0.00, 20.00 	10,17,8,913		16.38,5.01	0,0 	0
135     	-0.87, 1.26, -6.81 	5.81, -17.46, -1.94 	0.00, 20.00 	10,17,8,923		11.16,5.92	0,0 	0
144     	-0.81, 1.30, -6.83 	5.76, -17.47, -1.94 	0.00, 20.00 	10,17,8,933		7.07,5.01	0,0 	0
153     	-0.79, 1.31, -6.82 	5.81, -17.47, -1.95 	0.00, 20.00 	10,17,8,942		2.72,4.89	0,0 	0
162     	-0.84, 1.33, -6.82 	5.78, -17.47, -1.94 	0.00, 20.00 	10,17,8,952		5.50,2.45	0,0 	0
171     	-0.90, 1.35, -6.83 	5.77, -17.48, -1.94 	0.00, 20.00 	10,17,8,962		7.80,1.68	0,0 	0
180     	-0.98, 1.36, -6.84 	5.74, -17.47, -1.93 	0.00, 20.00 	10,17,8,972		8.99,3.88	0,0 	0
189     	-1.01, 1.41, -6.86 	5.78, -17.45, -1.94 	0.00, 20.00 	10,17,8,981		5.34,5.39	0,0 	0
198     	-0.94, 1.42, -6.88 	5.75, -17.42, -1.92 	0.00, 20.00 	10,17,8,991		7.48,5.14	0,0 	0
207     	-0.88, 1.51, -6.93 	5.77, -17.44, -1.92 	0.00, 20.00 	10,17,8,1		11.89,3.43	0,0 	0
216     	-0.83, 1.63, -7.00 	5.79, -17.44, -1.92 	0.00, 20.00 	10,17,9,10		14.26,2.45	0,0 	0
225     	-0.83, 1.73, -7.05 	5.84, -17.43, -1.92 	0.00, 20.00 	10,17,9,20		11.81,5.01	0,0 	0
234     	-0.80, 1.91, -7.12 	5.81, -17.44, -1.92 	0.00, 20.00 	10,17,9,29		20.28,3.83	0,0 	0
243     	-0.83, 2.25, -7.26 	5.78, -17.44, -1.91 	0.00, 20.00 	10,17,9,39		37.67,2.45	0,0 	0
252     	-0.92, 2.85, -7.50 	5.79, -17.42, -1.92 	0.00, 20.00 	10,17,9,49		67.40,2.63	0,0 	0
261     	-1.06, 3.92, -7.88 	5.82, -17.39, -1.90 	0.00, 20.00 	10,17,9,59		120.37,4.32	0,0 	0
270     	-1.26, 5.19, -8.20 	5.78, -17.37, -1.93 	0.00, 20.00 	10,17,9,68		142.09,5.47	0,0 	0
279     	-1.21, 6.11, -8.39 	5.81, -17.37, -1.93 	0.00, 20.00 	10,17,9,78		102.76,3.67	0,0 	0
288     	-0.94, 6.98, -8.52 	5.84, -17.35, -1.93 	0.00, 20.00 	10,17,9,88		101.30,4.32	0,0 	0
297     	-0.63, 7.84, -8.63 	5.87, -17.36, -1.93 	0.00, 20.00 	10,17,9,97		101.54,2.74	0,0 	0
306     	-0.55, 8.67, -8.68 	5.93, -17.34, -1.93 	0.00, 20.00 	10,17,9,107		92.54,7.66	0,0 	0
315     	-0.67, 9.47, -8.65 	5.89, -17.34, -1.93 	0.00, 20.00 	10,17,9,117		89.91,4.89	0,0 	0
324     	-0.78, 10.14, -8.53 	5.89, -17.34, -1.93 	0.00, 20.00 	10,17,9,126		75.72,0.00	0,0 	0
333     	-0.89, 10.87, -8.41 	5.92, -17.34, -1.93 	0.00, 20.00 	10,17,9,136		81.72,3.67	0,0 	0
342     	-0.99, 11.69, -8.32 	5.91, -17.34, -1.93 	0.00, 20.00 	10,17,9,146		92.01,1.22	0,0 	0
351     	-0.98, 12.56, -8.27 	5.87, -17.33, -1.91 	0.00, 20.00 	10,17,9,155		96.61,5.05	0,0 	0
360     	-0.85, 13.35, -8.19 	5.89, -17.33, -1.91 	0.00, 20.00 	10,17,9,165		88.72,2.45	0,0 	0
369     	-0.69, 14.13, -8.14 	5.87, -17.32, -1.92 	0.00, 20.00 	10,17,9,175		88.38,2.74	0,0 	0
378     	-0.54, 14.94, -8.08 	5.88, -17.33, -1.92 	0.00, 20.00 	10,17,9,184		91.80,1.71	0,0 	0
387     	-0.37, 15.77, -8.02 	5.88, -17.33, -1.91 	0.00, 20.00 	10,17,9,194		94.36,0.00	0,0 	0
396     	-0.17, 16.51, -7.91 	5.89, -17.32, -1.90 	0.00, 20.00 	10,17,9,204		85.21,1.68	0,0 	0
405     	-0.03, 17.14, -7.77 	5.90, -17.32, -1.90 	0.00, 20.00 	10,17,9,213		71.88,1.22	0,0 	0
414     	0.06, 17.76, -7.63 	5.91, -17.30, -1.90 	0.00, 20.00 	10,17,9,223		69.36,2.63	0,0 	0
423     	0.19, 18.38, -7.50 	5.94, -17.29, -1.89 	0.00, 20.00 	10,17,9,233		70.13,3.67	0,0 	0
432     	0.34, 18.95, -7.38 	5.96, -17.29, -1.88 	0.00, 20.00 	10,17,9,243		65.49,2.45	0,0 	0
441     	0.47, 19.40, -7.27 	5.95, -17.29, -1.87 	0.00, 20.00 	10,17,9,252		52.10,1.22	0,0 	0
450     	0.50, 19.73, -7.19 	5.98, -17.27, -1.89 	0.00, 20.00 	10,17,9,262		36.72,4.32	0,0 	0
459     	0.52, 20.07, -7.13 	5.96, -17.25, -1.88 	0.00, 20.00 	10,17,9,272		37.76,3.43	0,0 	0
468     	0.63, 20.49, -7.11 	5.91, -17.25, -1.89 	0.00, 20.00 	10,17,9,281		48.00,6.11	0,0 	0
477     	0.83, 20.87, -7.13 	5.94, -17.24, -1.88 	0.00, 20.00 	10,17,9,291		48.72,3.83	0,0 	0
486     	1.00, 21.12, -7.14 	5.91, -17.25, -1.89 	0.00, 20.00 	10,17,9,301		33.09,3.83	0,0 	0
495     	1.12, 21.20, -7.15 	5.95, -17.25, -1.89 	0.00, 20.00 	10,17,9,310		16.41,4.89	0,0 	0
504     	1.12, 21.18, -7.12 	5.93, -17.23, -1.89 	0.00, 20.00 	10,17,9,320		2.35,3.43	0,0 	0
513     	1.00, 21.14, -7.08 	5.95, -17.24, -1.89 	0.00, 20.00 	10,17,9,330		14.31,2.74	0,0 	0
522     	0.84, 21.13, -7.05 	5.99, -17.22, -1.88 	0.00, 20.00 	10,17,9,339		18.52,5.39	0,0 	0
531     	0.70, 21.15, -7.03 	5.98, -17.20, -1.88 	0.00, 20.00 	10,17,9,349		15.03,2.68	0,0 	0
540     	0.62, 21.11, -7.00 	5.95, -17.19, -1.91 	0.00, 20.00 	10,17,9,359		9.29,3.88	0,0 	0
549     	0.59, 21.13, -7.00 	5.92, -17.16, -1.91 	0.00, 20.00 	10,17,9,368		4.41,4.34	0,0 	0
558     	0.60, 21.14, -7.00 	5.97, -17.14, -1.90 	0.00, 20.00 	10,17,9,378		1.69,5.39	0,0 	0
567     	0.60, 21.14, -7.00 	5.97, -17.14, -1.90 	0.00, 20.00 	10,17,9,388		0.00,0.00	0,0 	0
576     	0.61, 21.11, -6.99 	5.99, -17.14, -1.90 	0.00, 20.00 	10,17,9,397		3.75,2.74	0,0 	0
585     	0.64, 21.11, -6.99 	6.00, -17.13, -1.91 	0.00, 20.00 	10,17,9,407		2.47,1.68	0,0 	0
594     	0.65, 21.11, -6.99 	6.02, -17.12, -1.91 	0.00, 20.00 	10,17,9,417		1.23,2.69	0,0 	0
603     	0.64, 21.09, -6.98 	6.02, -17.11, -1.89 	0.00, 20.00 	10,17,9,426		2.64,1.18	0,0 	0
612     	0.65, 21.07, -6.97 	6.01, -17.11, -1.89 	0.00, 20.00 	10,17,9,436		2.67,1.22	0,0 	0
621     	0.63, 21.02, -6.97 	6.03, -17.09, -1.90 	0.00, 20.00 	10,17,9,446		6.35,3.36	0,0 	0
630     	0.61, 20.94, -6.96 	6.01, -17.10, -1.91 	0.00, 20.00 	10,17,9,455		8.56,2.69	0,0 	0
639     	0.60, 20.87, -6.96 	6.01, -17.10, -1.88 	0.00, 20.00 	10,17,9,465		8.31,0.00	0,0 	0
648     	0.61, 20.77, -6.94 	6.01, -17.07, -1.89 	0.00, 20.00 	10,17,9,475		10.58,3.53	0,0 	0
657     	0.61, 20.76, -6.96 	6.04, -17.05, -1.90 	0.00, 20.00 	10,17,9,484		1.18,4.32	0,0 	0
666     	0.60, 20.75, -6.97 	6.06, -17.05, -1.89 	0.00, 20.00 	10,17,9,494		1.69,2.45	0,0 	0
675     	0.62, 20.75, -6.98 	6.04, -17.04, -1.90 	0.00, 20.00 	10,17,9,504		2.47,2.74	0,0 	0
684     	0.62, 20.74, -6.97 	6.05, -17.03, -1.90 	0.00, 20.00 	10,17,9,514		1.18,1.68	0,0 	0
693     	0.65, 20.73, -6.97 	6.06, -17.02, -1.91 	0.00, 20.00 	10,17,9,523		2.75,1.68	0,0 	0
702     	0.65, 20.74, -6.97 	6.06, -17.02, -1.89 	0.00, 20.00 	10,17,9,533		1.18,0.00	0,0 	0
711     	0.65, 20.73, -6.97 	6.07, -16.99, -1.90 	0.00, 20.00 	10,17,9,543		1.18,2.63	0,0 	0
720     	0.63, 20.73, -6.97 	6.05, -17.01, -1.91 	0.00, 20.00 	10,17,9,552		1.23,2.69	0,0 	0
729     	0.63, 20.73, -6.97 	6.05, -16.99, -1.89 	0.00, 20.00 	10,17,9,562		0.00,1.18	0,0 	0
738     	0.63, 20.73, -6.97 	6.04, -16.95, -1.89 	0.00, 20.00 	10,17,9,572		0.00,4.71	0,0 	0
747     	0.63, 20.74, -6.97 	6.04, -16.95, -1.89 	0.00, 20.00 	10,17,9,581		1.18,0.00	0,0 	0
756     	0.63, 20.74, -6.97 	6.05, -16.96, -1.90 	0.00, 20.00 	10,17,9,591		0.00,1.18	0,0 	0
765     	0.62, 20.74, -6.97 	6.00, -16.95, -1.91 	0.00, 20.00 	10,17,9,601		1.23,5.05	0,0 	0
774     	0.62, 20.75, -6.97 	6.00, -16.94, -1.91 	0.00, 20.00 	10,17,9,610		1.18,1.18	0,0 	0
783     	0.62, 20.76, -6.97 	6.01, -16.96, -1.92 	0.00, 20.00 	10,17,9,620		1.18,2.68	0,0 	0
792     	0.61, 20.75, -6.97 	6.01, -17.00, -1.90 	0.00, 20.00 	10,17,9,630		1.69,3.53	0,0 	0
801     	0.61, 20.76, -6.97 	5.98, -17.00, -1.92 	0.00, 20.00 	10,17,9,639		1.18,3.67	0,0 	0
810     	0.60, 20.76, -6.97 	6.00, -17.03, -1.91 	0.00, 20.00 	10,17,9,649		1.23,4.34	0,0 	0
819     	0.59, 20.76, -6.97 	6.02, -17.04, -1.90 	0.00, 20.00 	10,17,9,659		1.23,1.71	0,0 	0
828     	0.59, 20.77, -6.97 	6.00, -17.04, -1.90 	0.00, 20.00 	10,17,9,668		1.18,1.22	0,0 	0
837     	0.58, 20.77, -6.97 	6.03, -17.04, -1.89 	0.00, 20.00 	10,17,9,678		1.23,2.45	0,0 	0
846     	0.55, 20.77, -6.97 	6.03, -17.04, -1.89 	0.00, 20.00 	10,17,9,688		2.47,0.00	0,0 	0
855     	0.55, 20.78, -6.97 	6.05, -17.05, -1.92 	0.00, 20.00 	10,17,9,697		1.18,2.74	0,0 	0
864     	0.54, 20.78, -6.97 	6.07, -17.04, -1.94 	0.00, 20.00 	10,17,9,707		1.23,2.69	0,0 	0
873     	0.53, 20.78, -6.97 	6.09, -17.04, -1.92 	0.00, 20.00 	10,17,9,717		1.23,2.45	0,0 	0
882     	0.54, 20.79, -6.97 	6.09, -17.03, -1.92 	0.00, 20.00 	10,17,9,727		1.69,1.18	0,0 	0
891     	0.54, 20.79, -6.97 	6.09, -17.04, -1.90 	0.00, 20.00 	10,17,9,736		0.00,1.18	0,0 	0
900     	0.54, 20.79, -6.97 	6.09, -17.04, -1.89 	0.00, 20.00 	10,17,9,746		0.00,0.00	0,0 	0
909     	0.55, 20.78, -6.97 	6.06, -17.04, -1.89 	0.00, 20.00 	10,17,9,756		1.72,3.67	0,0 	0
918     	0.54, 20.79, -6.97 	6.06, -17.06, -1.90 	0.00, 20.00 	10,17,9,765		1.72,2.36	0,0 	0
927     	0.53, 20.78, -6.97 	6.10, -17.02, -1.91 	0.00, 20.00 	10,17,9,775		1.69,5.98	0,0 	0
936     	0.53, 20.79, -6.97 	6.08, -17.05, -1.91 	0.00, 20.00 	10,17,9,785		1.18,3.36	0,0 	0
945     	0.52, 20.78, -6.97 	6.09, -17.04, -1.90 	0.00, 20.00 	10,17,9,794		1.69,1.68	0,0 	0
954     	0.53, 20.78, -6.97 	6.12, -17.06, -1.91 	0.00, 20.00 	10,17,9,804		1.23,3.43	0,0 	0
963     	0.53, 20.78, -6.97 	6.14, -17.07, -1.91 	0.00, 20.00 	10,17,9,814		0.00,2.74	0,0 	0
972     	0.53, 20.77, -6.97 	6.13, -17.06, -1.93 	0.00, 20.00 	10,17,9,823		1.18,1.71	0,0 	0
981     	0.52, 20.77, -6.97 	6.13, -17.07, -1.90 	0.00, 20.00 	10,17,9,833		1.23,1.18	0,0 	0
990     	0.52, 20.78, -6.97 	6.13, -17.10, -1.90 	0.00, 20.00 	10,17,9,843		1.18,3.53	0,0 	0
999     	0.51, 20.77, -6.97 	6.12, -17.08, -1.90 	0.00, 20.00 	10,17,9,852		1.69,2.68	0,0 	0
1008    	0.52, 20.78, -6.97 	6.12, -17.07, -1.90 	0.00, -0.00 	10,17,9,872		1.69,1.18	1000,1 	0
1017    	0.51, 20.78, -6.97 	6.11, -17.06, -1.89 	0.00, -0.00 	10,17,9,881		1.39,1.93	1000,1 	0
1026    	0.51, 20.78, -6.97 	6.12, -17.06, -1.87 	0.00, -0.00 	10,17,9,891		0.00,1.38	1000,1 	0
1035    	0.51, 20.77, -6.97 	6.11, -17.06, -1.88 	0.00, -0.00 	10,17,9,901		1.32,1.38	1000,1 	0
1044    	0.51, 20.78, -6.97 	6.11, -17.07, -1.88 	0.00, -0.00 	10,17,9,910		1.32,1.33	1000,1 	0
1053    	0.50, 20.78, -6.97 	6.09, -17.07, -1.89 	0.00, -0.00 	10,17,9,920		1.39,1.38	1000,1 	0
1062    	0.51, 20.78, -6.97 	6.12, -17.07, -1.89 	0.00, -0.00 	10,17,9,930		1.39,2.75	1000,1 	0
1071    	0.51, 20.78, -6.97 	6.15, -17.09, -1.88 	0.00, -0.00 	10,17,9,939		0.00,4.95	1000,1 	0
1080    	0.50, 20.77, -6.97 	6.15, -17.10, -1.86 	0.00, -0.00 	10,17,9,949		1.90,1.33	1000,1 	0
1089    	0.50, 20.77, -6.97 	6.11, -17.06, -1.88 	0.00, -0.00 	10,17,9,959		0.00,7.72	1000,1 	0
1098    	0.48, 20.77, -6.97 	6.08, -17.08, -1.88 	0.00, -0.00 	10,17,9,969		2.78,3.78	1000,1 	0
1107    	0.48, 20.75, -6.97 	6.12, -17.10, -1.87 	0.00, -0.00 	10,17,9,978		1.32,4.95	1000,1 	0
1116    	0.48, 20.75, -6.97 	6.12, -17.09, -1.90 	0.00, -0.00 	10,17,9,988		0.00,1.33	1000,1 	0
1125    	0.47, 20.76, -6.97 	6.13, -17.06, -1.90 	0.00, -0.00 	10,17,9,998		1.93,4.18	1000,1 	0
1134    	0.47, 20.76, -6.97 	6.14, -17.06, -1.89 	0.00, -0.00 	10,17,10,7		0.00,1.38	1000,1 	0
1143    	0.46, 20.75, -6.97 	6.14, -17.03, -1.89 	0.00, -0.00 	10,17,10,17		1.91,2.65	1000,1 	0
1152    	0.45, 20.76, -6.97 	6.11, -17.06, -1.89 	0.00, -0.00 	10,17,10,27		1.32,4.86	1000,1 	0
1161    	0.45, 20.76, -6.97 	6.08, -17.06, -1.89 	0.00, -0.00 	10,17,10,36		0.00,2.75	1000,1 	0
1170    	0.44, 20.76, -6.97 	6.10, -17.04, -1.88 	0.00, -0.00 	10,17,10,46		1.39,3.78	1000,1 	0
1179    	0.43, 20.76, -6.97 	6.09, -17.05, -1.88 	0.00, -0.00 	10,17,10,56		1.39,1.89	1000,1 	0
1188    	0.44, 20.76, -6.97 	6.11, -17.06, -1.86 	0.00, -0.00 	10,17,10,65		1.39,1.93	1000,1 	0
1197    	0.44, 20.76, -6.97 	6.10, -17.04, -1.88 	0.00, -0.00 	10,17,10,75		0.00,2.65	1000,1 	0
1206    	0.44, 20.75, -6.97 	6.09, -17.04, -1.87 	0.00, -0.00 	10,17,10,85		1.32,1.38	1000,1 	0
1215    	0.41, 20.74, -6.97 	6.09, -17.05, -1.86 	0.00, -0.00 	10,17,10,94		4.35,1.33	1000,1 	0
1224    	0.42, 20.74, -6.97 	6.09, -17.05, -1.86 	0.00, -0.00 	10,17,10,104		1.39,0.00	1000,1 	0
1233    	0.41, 20.75, -6.97 	6.13, -17.05, -1.87 	0.00, -0.00 	10,17,10,114		1.93,4.13	1000,1 	0
1242    	0.42, 20.75, -6.97 	6.13, -17.07, -1.86 	0.00, -0.00 	10,17,10,123		1.39,2.65	1000,1 	0
1251    	0.41, 20.75, -6.97 	6.17, -17.11, -1.86 	0.00, -0.00 	10,17,10,133		1.39,7.72	1000,1 	0
1260    	0.41, 20.76, -6.97 	6.20, -17.10, -1.84 	0.00, -0.00 	10,17,10,143		1.32,3.03	1000,1 	0
1269    	0.41, 20.75, -6.97 	6.19, -17.12, -1.84 	0.00, -0.00 	10,17,10,152		1.32,2.96	1000,1 	0
1278    	0.41, 20.75, -6.97 	6.16, -17.11, -1.82 	0.00, -0.00 	10,17,10,162		0.00,3.08	1000,1 	0
1287    	0.40, 20.74, -6.97 	6.15, -17.11, -1.81 	0.00, -0.00 	10,17,10,172		1.90,1.38	1000,1 	0
1296    	0.39, 20.75, -6.97 	6.18, -17.11, -1.82 	0.00, -0.00 	10,17,10,182		1.93,4.13	1000,1 	0
1305    	0.39, 20.75, -6.97 	6.15, -17.08, -1.84 	0.00, -0.00 	10,17,10,191		0.00,5.79	1000,1 	0
1314    	0.39, 20.74, -6.96 	6.16, -17.07, -1.84 	0.00, -0.00 	10,17,10,201		1.32,1.89	1000,1 	0
1323    	0.39, 20.74, -6.97 	6.19, -17.07, -1.84 	0.00, -0.00 	10,17,10,211		0.00,4.36	1000,1 	0
1332    	0.40, 20.75, -6.97 	6.21, -17.07, -1.85 	0.00, -0.00 	10,17,10,220		1.90,1.38	1000,1 	0
1341    	0.40, 20.75, -6.97 	6.17, -17.09, -1.85 	0.00, -0.00 	10,17,10,230		0.00,4.31	1000,1 	0
1350    	0.41, 20.76, -6.98 	6.16, -17.09, -1.84 	0.00, -0.00 	10,17,10,240		1.90,1.38	1000,1 	0
1359    	0.41, 20.76, -6.98 	6.16, -17.09, -1.84 	0.00, -0.00 	10,17,10,249		0.00,0.00	1000,1 	0
