#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-35.29, 38.83, -9.69 	11.02, -2.06, -11.31 	0.00, 10.00 	17,44,6,45		0.00,0.00	0,0 	0
0       	-35.25, 38.81, -9.71 	10.97, -2.04, -11.31 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.21, 38.79, -9.72 	10.99, -2.02, -11.29 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.20, 38.79, -9.75 	10.95, -2.02, -11.31 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.18, 38.80, -9.76 	10.93, -2.02, -11.31 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.16, 38.79, -9.78 	10.89, -2.00, -11.29 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.17, 38.78, -9.79 	10.87, -1.94, -11.31 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.17, 38.77, -9.81 	10.83, -1.91, -11.32 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.16, 38.72, -9.86 	10.83, -1.89, -11.30 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.15, 38.62, -9.98 	10.77, -1.90, -11.29 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-35.01, 38.53, -10.14 	10.76, -1.93, -11.29 	0.00, 10.00 	17,44,6,45		inf,inf	0,0 	0
0       	-34.93, 38.53, -10.18 	10.74, -1.92, -11.29 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.88, 38.55, -10.18 	10.72, -1.91, -11.30 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.83, 38.57, -10.19 	10.72, -1.94, -11.30 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.83, 38.60, -10.17 	10.73, -1.92, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.83, 38.61, -10.17 	10.72, -1.91, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.82, 38.62, -10.17 	10.71, -1.89, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.83, 38.63, -10.16 	10.75, -1.90, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.82, 38.61, -10.16 	10.70, -1.92, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.82, 38.62, -10.15 	10.70, -1.92, -11.33 	0.00, 10.00 	17,44,6,46		inf,-nan	0,0 	0
0       	-34.83, 38.63, -10.14 	10.71, -1.95, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.82, 38.64, -10.11 	10.68, -1.95, -11.32 	0.00, 10.00 	17,44,6,46		inf,inf	0,0 	0
0       	-34.81, 38.66, -10.05 	10.68, -1.95, -11.32 	0.00, 10.00 	17,44,6,46		inf,-nan	0,0 	0
0       	-34.75, 38.71, -9.98 	10.69, -1.94, -11.33 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.66, 38.79, -9.91 	10.66, -1.94, -11.33 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.61, 38.84, -9.86 	10.64, -1.94, -11.32 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.58, 38.86, -9.82 	10.62, -1.96, -11.32 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.58, 38.86, -9.80 	10.66, -1.94, -11.33 	0.00, 10.00 	17,44,6,47		-nan,inf	0,0 	0
0       	-34.56, 38.86, -9.78 	10.63, -1.92, -11.34 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.57, 38.84, -9.76 	10.64, -1.94, -11.35 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.60, 38.82, -9.74 	10.61, -1.94, -11.36 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.64, 38.77, -9.71 	10.64, -2.00, -11.34 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.62, 38.75, -9.70 	10.62, -2.01, -11.35 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.62, 38.74, -9.71 	10.61, -2.04, -11.34 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.60, 38.78, -9.73 	10.64, -2.04, -11.35 	0.00, 10.00 	17,44,6,47		inf,inf	0,0 	0
0       	-34.61, 38.81, -9.73 	10.62, -2.06, -11.36 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.63, 38.80, -9.73 	10.67, -2.06, -11.36 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.62, 38.83, -9.73 	10.64, -2.03, -11.39 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.64, 38.83, -9.73 	10.60, -2.04, -11.39 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.64, 38.85, -9.73 	10.56, -2.06, -11.38 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.65, 38.83, -9.73 	10.58, -2.13, -11.37 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.66, 38.85, -9.73 	10.50, -2.13, -11.39 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.66, 38.84, -9.73 	10.54, -2.14, -11.39 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.69, 38.84, -9.73 	10.51, -2.14, -11.37 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.68, 38.84, -9.73 	10.55, -2.15, -11.36 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.67, 38.85, -9.73 	10.57, -2.14, -11.37 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.66, 38.84, -9.73 	10.51, -2.14, -11.37 	0.00, 10.00 	17,44,6,48		inf,inf	0,0 	0
0       	-34.66, 38.84, -9.73 	10.46, -2.15, -11.38 	0.00, 10.00 	17,44,6,49		-nan,inf	0,0 	0
0       	-34.63, 38.86, -9.72 	10.44, -2.12, -11.38 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.64, 38.88, -9.71 	10.47, -2.13, -11.38 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.64, 38.90, -9.70 	10.45, -2.16, -11.36 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.61, 38.90, -9.69 	10.42, -2.20, -11.36 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.60, 38.92, -9.67 	10.45, -2.18, -11.38 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.57, 38.93, -9.65 	10.46, -2.19, -11.36 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.53, 38.91, -9.63 	10.45, -2.20, -11.36 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.51, 38.91, -9.62 	10.42, -2.21, -11.37 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.49, 38.91, -9.62 	10.44, -2.20, -11.38 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.49, 38.92, -9.61 	10.42, -2.20, -11.37 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.50, 38.92, -9.59 	10.43, -2.19, -11.36 	0.00, 10.00 	17,44,6,49		inf,inf	0,0 	0
0       	-34.50, 38.92, -9.59 	10.42, -2.20, -11.36 	0.00, 10.00 	17,44,6,50		-nan,inf	0,0 	0
0       	-34.50, 38.93, -9.59 	10.42, -2.20, -11.36 	0.00, 10.00 	17,44,6,50		inf,-nan	0,0 	0
0       	-34.50, 38.93, -9.58 	10.37, -2.23, -11.37 	0.00, 10.00 	17,44,6,50		-nan,inf	0,0 	0
0       	-34.50, 38.93, -9.58 	10.35, -2.21, -11.36 	0.00, 10.00 	17,44,6,50		-nan,inf	0,0 	0
0       	-34.50, 38.93, -9.58 	10.34, -2.22, -11.36 	0.00, 10.00 	17,44,6,50		-nan,inf	0,0 	0
0       	-34.49, 38.93, -9.58 	10.33, -2.24, -11.36 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.49, 38.93, -9.58 	10.31, -2.24, -11.37 	0.00, 10.00 	17,44,6,50		-nan,inf	0,0 	0
0       	-34.49, 38.92, -9.58 	10.33, -2.21, -11.38 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.50, 38.94, -9.58 	10.35, -2.22, -11.36 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.49, 38.94, -9.58 	10.32, -2.21, -11.37 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.48, 38.95, -9.57 	10.33, -2.15, -11.38 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.49, 38.95, -9.57 	10.28, -2.18, -11.37 	0.00, 10.00 	17,44,6,50		inf,inf	0,0 	0
0       	-34.49, 38.95, -9.57 	10.30, -2.17, -11.36 	0.00, 10.00 	17,44,6,51		-nan,inf	0,0 	0
0       	-34.48, 38.97, -9.56 	10.33, -2.16, -11.36 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.47, 38.97, -9.56 	10.31, -2.19, -11.37 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.46, 38.96, -9.57 	10.27, -2.19, -11.37 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.44, 38.96, -9.56 	10.26, -2.18, -11.37 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.43, 38.97, -9.56 	10.24, -2.18, -11.38 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.43, 38.97, -9.55 	10.23, -2.18, -11.37 	0.00, 10.00 	17,44,6,51		-nan,inf	0,0 	0
0       	-34.42, 38.99, -9.56 	10.23, -2.18, -11.38 	0.00, 10.00 	17,44,6,51		inf,-nan	0,0 	0
0       	-34.42, 38.99, -9.55 	10.25, -2.17, -11.36 	0.00, 10.00 	17,44,6,51		-nan,inf	0,0 	0
0       	-34.42, 39.00, -9.55 	10.23, -2.16, -11.39 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.41, 38.98, -9.55 	10.20, -2.18, -11.36 	0.00, 10.00 	17,44,6,51		inf,inf	0,0 	0
0       	-34.42, 39.00, -9.55 	10.21, -2.18, -11.36 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.41, 39.00, -9.55 	10.22, -2.19, -11.37 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.38, 38.98, -9.54 	10.20, -2.22, -11.36 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.39, 38.99, -9.54 	10.17, -2.22, -11.36 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.35, 38.99, -9.54 	10.21, -2.18, -11.35 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.34, 39.00, -9.55 	10.19, -2.14, -11.35 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.34, 39.01, -9.55 	10.16, -2.14, -11.34 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.32, 39.02, -9.55 	10.15, -2.12, -11.36 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.31, 39.00, -9.56 	10.17, -2.14, -11.34 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.30, 39.00, -9.56 	10.17, -2.14, -11.33 	0.00, 10.00 	17,44,6,52		inf,-nan	0,0 	0
0       	-34.29, 39.02, -9.56 	10.14, -2.12, -11.33 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.28, 39.03, -9.55 	10.12, -2.13, -11.34 	0.00, 10.00 	17,44,6,52		inf,inf	0,0 	0
0       	-34.27, 39.04, -9.53 	10.13, -2.10, -11.34 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.23, 39.08, -9.51 	10.13, -2.10, -11.35 	0.00, 10.00 	17,44,6,53		inf,-nan	0,0 	0
0       	-34.16, 39.13, -9.49 	10.13, -2.14, -11.34 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.15, 39.22, -9.45 	10.15, -2.11, -11.33 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.17, 39.27, -9.42 	10.12, -2.11, -11.34 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.21, 39.31, -9.40 	10.12, -2.11, -11.33 	0.00, 10.00 	17,44,6,53		inf,-nan	0,0 	0
0       	-34.26, 39.31, -9.39 	10.09, -2.12, -11.33 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.27, 39.30, -9.39 	10.07, -2.14, -11.32 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.24, 39.29, -9.40 	10.07, -2.14, -11.32 	0.00, 10.00 	17,44,6,53		inf,-nan	0,0 	0
0       	-34.25, 39.28, -9.40 	10.09, -2.12, -11.32 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.26, 39.29, -9.40 	10.10, -2.12, -11.32 	0.00, 10.00 	17,44,6,53		inf,inf	0,0 	0
0       	-34.25, 39.29, -9.40 	10.10, -2.12, -11.32 	0.00, 10.00 	17,44,6,53		inf,-nan	0,0 	0
0       	-34.25, 39.28, -9.40 	10.09, -2.13, -11.31 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-34.24, 39.28, -9.41 	10.09, -2.13, -11.32 	0.00, 10.00 	17,44,6,54		inf,-nan	0,0 	0
0       	-34.22, 39.26, -9.44 	10.10, -2.13, -11.32 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-34.16, 39.21, -9.49 	10.10, -2.13, -11.33 	0.00, 10.00 	17,44,6,54		inf,-nan	0,0 	0
0       	-34.08, 39.14, -9.56 	10.14, -2.12, -11.32 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-34.03, 39.04, -9.63 	10.11, -2.14, -11.32 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-34.02, 38.98, -9.68 	10.10, -2.15, -11.31 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-33.98, 38.95, -9.69 	10.14, -2.14, -11.29 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-33.96, 38.92, -9.71 	10.14, -2.14, -11.29 	0.00, 10.00 	17,44,6,54		inf,-nan	0,0 	0
0       	-33.93, 38.94, -9.73 	10.12, -2.13, -11.29 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-33.93, 38.93, -9.73 	10.13, -2.16, -11.29 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-33.91, 38.92, -9.73 	10.08, -2.13, -11.32 	0.00, 10.00 	17,44,6,54		inf,inf	0,0 	0
0       	-33.90, 38.92, -9.73 	10.07, -2.13, -11.31 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.89, 38.93, -9.73 	10.11, -2.16, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.90, 38.93, -9.73 	10.07, -2.16, -11.30 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.90, 38.92, -9.72 	10.07, -2.15, -11.30 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.90, 38.93, -9.72 	10.08, -2.15, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.90, 38.93, -9.72 	10.09, -2.14, -11.30 	0.00, 10.00 	17,44,6,55		-nan,inf	0,0 	0
0       	-33.91, 38.92, -9.71 	10.09, -2.15, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.90, 38.92, -9.69 	10.09, -2.15, -11.29 	0.00, 10.00 	17,44,6,55		inf,-nan	0,0 	0
0       	-33.91, 38.92, -9.66 	10.10, -2.15, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.94, 38.92, -9.63 	10.08, -2.14, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-33.97, 38.93, -9.59 	10.09, -2.15, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-34.00, 38.93, -9.57 	10.08, -2.14, -11.29 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
0       	-34.03, 38.95, -9.55 	10.09, -2.14, -11.28 	0.00, 10.00 	17,44,6,55		inf,inf	0,0 	0
