#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

17      	0.33, 0.02, -6.79 	12.30, -6.01, -11.02 	-6.43, 7.66 	17,44,16,188		0.00,0.00	0,0 	0
26      	0.34, 0.01, -6.78 	12.26, -6.00, -11.02 	-6.43, 7.66 	17,44,16,198		1.72,5.49	0,0 	0
35      	0.36, 0.01, -6.78 	12.27, -6.00, -11.02 	-6.43, 7.66 	17,44,16,208		2.44,1.22	0,0 	0
44      	0.36, 0.01, -6.79 	12.27, -5.97, -11.03 	-6.43, 7.66 	17,44,16,217		0.00,2.36	0,0 	0
53      	0.34, 0.00, -6.78 	12.27, -6.00, -11.02 	-6.43, 7.66 	17,44,16,227		2.68,2.36	0,0 	0
62      	0.34, 0.00, -6.77 	12.23, -6.00, -11.03 	-6.43, 7.66 	17,44,16,237		0.00,4.87	0,0 	0
71      	0.32, -0.00, -6.78 	12.21, -6.00, -11.02 	-6.43, 7.66 	17,44,16,246		2.44,1.22	0,0 	0
80      	0.31, -0.00, -6.78 	12.18, -6.00, -11.01 	-6.43, 7.66 	17,44,16,256		1.22,3.65	0,0 	0
89      	0.30, -0.00, -6.78 	12.18, -6.00, -11.00 	-6.43, 7.66 	17,44,16,266		1.22,0.00	0,0 	0
98      	0.32, -0.00, -6.78 	12.20, -5.97, -10.99 	-6.43, 7.66 	17,44,16,275		2.44,4.22	0,0 	0
107     	0.33, 0.00, -6.78 	12.17, -5.95, -10.98 	-6.43, 7.66 	17,44,16,285		1.22,4.42	0,0 	0
116     	0.36, 0.00, -6.77 	12.17, -5.90, -10.99 	-6.43, 7.66 	17,44,16,295		2.44,5.97	0,0 	0
125     	0.36, 0.00, -6.78 	12.17, -5.91, -10.97 	-6.43, 7.66 	17,44,16,304		0.00,1.18	0,0 	0
134     	0.33, 0.01, -6.78 	12.06, -5.87, -10.97 	-6.43, 7.66 	17,44,16,314		2.74,13.23	0,0 	0
143     	0.33, 0.01, -6.78 	12.13, -5.86, -10.97 	-6.43, 7.66 	17,44,16,324		0.00,8.56	0,0 	0
152     	0.31, 0.01, -6.77 	12.10, -5.78, -10.98 	-6.43, 7.66 	17,44,16,334		2.44,8.69	0,0 	0
161     	0.32, 0.01, -6.79 	12.05, -5.77, -11.00 	-6.43, 7.66 	17,44,16,343		1.22,6.61	0,0 	0
170     	0.30, 0.01, -6.78 	12.05, -5.81, -10.99 	-6.43, 7.66 	17,44,16,353		2.44,4.72	0,0 	0
179     	0.31, -0.00, -6.79 	12.08, -5.79, -10.99 	-6.43, 7.66 	17,44,16,363		1.72,4.27	0,0 	0
188     	0.33, 0.01, -6.77 	12.00, -5.77, -10.97 	-6.43, 7.66 	17,44,16,372		2.68,8.93	0,0 	0
197     	0.31, 0.02, -6.78 	11.99, -5.77, -10.98 	-6.43, 7.66 	17,44,16,382		2.74,1.22	0,0 	0
206     	0.31, 0.02, -6.78 	11.93, -5.73, -10.98 	-6.43, 7.66 	17,44,16,391		0.00,7.84	0,0 	0
215     	0.33, 0.04, -6.79 	11.94, -5.67, -11.00 	-6.43, 7.66 	17,44,16,401		3.34,7.13	0,0 	0
224     	0.32, 0.06, -6.76 	11.86, -5.64, -11.00 	-6.43, 7.66 	17,44,16,411		2.69,9.35	0,0 	0
233     	0.19, 0.02, -6.67 	11.89, -5.61, -11.00 	-6.43, 7.66 	17,44,16,421		14.94,4.99	0,0 	0
242     	0.05, -0.02, -6.53 	11.90, -5.59, -10.99 	-6.43, 7.66 	17,44,16,430		16.12,2.61	0,0 	0
251     	-0.07, 0.07, -6.45 	11.84, -5.57, -10.98 	-6.43, 7.66 	17,44,16,440		17.22,6.61	0,0 	0
260     	-0.27, 0.23, -6.52 	11.78, -5.54, -10.98 	-6.43, 7.66 	17,44,16,450		27.55,7.16	0,0 	0
269     	-0.54, 0.42, -6.65 	11.77, -5.52, -10.98 	-6.43, 7.66 	17,44,16,459		37.18,2.70	0,0 	0
278     	-0.74, 0.80, -6.85 	11.71, -5.48, -10.98 	-6.43, 7.66 	17,44,16,469		47.41,7.84	0,0 	0
287     	-0.71, 1.37, -7.08 	11.64, -5.45, -10.96 	-6.43, 7.66 	17,44,16,479		63.13,8.24	0,0 	0
296     	-0.72, 1.63, -7.11 	11.56, -5.40, -10.98 	-6.43, 7.66 	17,44,16,488		29.59,11.29	0,0 	0
305     	-0.85, 1.83, -7.12 	11.52, -5.36, -10.99 	-6.43, 7.66 	17,44,16,498		25.86,6.08	0,0 	0
314     	-1.13, 2.03, -7.10 	11.47, -5.22, -11.01 	-6.43, 7.66 	17,44,16,508		37.97,15.89	0,0 	0
323     	-1.49, 2.39, -7.13 	11.29, -5.15, -11.04 	-6.43, 7.66 	17,44,16,517		57.02,21.97	0,0 	0
332     	-1.97, 2.92, -7.14 	11.16, -5.13, -11.06 	-6.43, 7.66 	17,44,16,527		79.73,13.99	0,0 	0
341     	-2.76, 3.67, -7.07 	11.03, -5.10, -11.06 	-6.43, 7.66 	17,44,16,537		120.66,15.17	0,0 	0
350     	-3.37, 4.07, -7.03 	10.80, -5.14, -11.06 	-6.43, 7.66 	17,44,16,546		81.41,25.59	0,0 	0
359     	-3.77, 4.44, -7.04 	10.63, -5.11, -11.07 	-6.43, 7.66 	17,44,16,556		60.26,19.04	0,0 	0
368     	-3.85, 4.79, -7.11 	10.44, -5.03, -11.09 	-6.43, 7.66 	17,44,16,566		40.47,23.63	0,0 	0
377     	-3.79, 5.08, -7.17 	10.27, -4.91, -11.14 	-6.43, 7.66 	17,44,16,576		31.97,22.57	0,0 	0
386     	-3.97, 5.31, -7.15 	10.09, -4.77, -11.16 	-6.43, 7.66 	17,44,16,585		32.52,25.09	0,0 	0
395     	-4.50, 5.40, -7.02 	9.96, -4.61, -11.20 	-6.43, 7.66 	17,44,16,595		59.70,22.85	0,0 	0
404     	-5.08, 5.43, -6.83 	9.81, -4.51, -11.23 	-6.43, 7.66 	17,44,16,605		64.11,20.85	0,0 	0
413     	-5.43, 5.48, -6.70 	9.79, -4.38, -11.26 	-6.43, 7.66 	17,44,16,614		40.08,14.15	0,0 	0
422     	-5.51, 5.66, -6.68 	9.65, -4.24, -11.30 	-6.43, 7.66 	17,44,16,624		22.31,22.46	0,0 	0
431     	-5.47, 5.92, -6.70 	9.57, -4.13, -11.32 	-6.43, 7.66 	17,44,16,634		29.09,15.13	0,0 	0
440     	-5.33, 6.11, -6.74 	9.49, -3.99, -11.35 	-6.43, 7.66 	17,44,16,643		26.76,18.31	0,0 	0
449     	-5.24, 6.26, -6.80 	9.43, -3.88, -11.35 	-6.43, 7.66 	17,44,16,653		18.62,12.93	0,0 	0
458     	-5.20, 6.37, -6.86 	9.30, -3.77, -11.37 	-6.43, 7.66 	17,44,16,663		13.14,19.86	0,0 	0
467     	-5.21, 6.41, -6.87 	9.16, -3.63, -11.35 	-6.43, 7.66 	17,44,16,672		4.73,21.66	0,0 	0
