#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	7.99, -6.00, -11.28 	116.54, -231.93, -12.20 	0.00, 10.00 	15,3,48,913		0.00,0.00	0,0 	0
0       	7.95, -6.04, -11.25 	116.44, -231.77, -12.19 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	7.98, -6.06, -11.26 	117.19, -233.20, -12.19 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.01, -6.07, -11.25 	117.79, -234.34, -12.21 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.04, -6.09, -11.24 	117.72, -234.26, -12.19 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.07, -6.12, -11.23 	117.59, -234.02, -12.18 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.10, -6.15, -11.23 	118.36, -235.51, -12.17 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.11, -6.18, -11.22 	118.97, -236.68, -12.18 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.13, -6.18, -11.23 	119.10, -236.91, -12.19 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.17, -6.18, -11.23 	119.33, -237.34, -12.19 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.22, -6.21, -11.22 	118.85, -236.44, -12.17 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.24, -6.20, -11.21 	118.97, -236.68, -12.18 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.20, -6.25, -11.20 	119.63, -237.98, -12.16 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.27, -6.26, -11.19 	119.29, -237.37, -12.15 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.31, -6.32, -11.19 	119.91, -238.56, -12.15 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.29, -6.35, -11.17 	119.40, -237.58, -12.15 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.32, -6.38, -11.16 	120.08, -238.94, -12.12 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.36, -6.36, -11.18 	120.46, -239.68, -12.11 	0.00, 10.00 	15,3,48,913		inf,inf	0,0 	0
0       	8.41, -6.42, -11.18 	120.49, -239.79, -12.09 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.45, -6.38, -11.19 	121.74, -242.17, -12.11 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.52, -6.39, -11.17 	122.14, -243.00, -12.10 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.51, -6.43, -11.15 	122.92, -244.54, -12.11 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.60, -6.40, -11.13 	122.36, -243.53, -12.06 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.58, -6.44, -11.11 	122.28, -243.43, -12.04 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.53, -6.48, -11.10 	121.71, -242.40, -12.03 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.59, -6.46, -11.11 	121.24, -241.56, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.57, -6.57, -11.10 	120.92, -241.01, -11.99 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.63, -6.55, -11.09 	120.27, -239.73, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.68, -6.58, -11.13 	121.19, -241.54, -12.00 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.79, -6.54, -11.14 	122.40, -243.84, -12.02 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.80, -6.58, -11.09 	122.92, -244.85, -12.04 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.77, -6.62, -11.08 	123.53, -246.01, -12.04 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.84, -6.59, -11.06 	124.64, -248.10, -12.04 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.88, -6.57, -11.06 	124.88, -248.55, -12.04 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.84, -6.56, -11.06 	125.27, -249.35, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.86, -6.56, -11.06 	125.28, -249.38, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.88, -6.58, -11.07 	126.14, -250.99, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.87, -6.57, -11.08 	125.75, -250.25, -12.01 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.92, -6.59, -11.06 	126.50, -251.68, -12.02 	0.00, 10.00 	15,3,48,914		inf,inf	0,0 	0
0       	8.92, -6.59, -11.06 	126.15, -251.05, -12.03 	0.00, 10.00 	15,3,48,915		-nan,inf	0,0 	0
0       	8.96, -6.61, -11.06 	126.15, -251.05, -12.03 	0.00, 10.00 	15,3,48,915		inf,-nan	0,0 	0
0       	8.95, -6.62, -11.06 	126.78, -252.24, -12.03 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.94, -6.62, -11.07 	127.04, -252.77, -12.00 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.94, -6.62, -11.07 	126.68, -252.08, -11.98 	0.00, 10.00 	15,3,48,915		-nan,inf	0,0 	0
0       	8.92, -6.64, -11.06 	126.80, -252.32, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.95, -6.63, -11.05 	126.19, -251.16, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.95, -6.65, -11.03 	126.32, -251.42, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.99, -6.64, -11.03 	126.44, -251.66, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.95, -6.63, -11.03 	126.44, -251.63, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.99, -6.59, -11.03 	126.19, -251.16, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.99, -6.61, -11.03 	126.81, -252.35, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.97, -6.62, -11.03 	126.81, -252.35, -11.98 	0.00, 10.00 	15,3,48,915		inf,-nan	0,0 	0
0       	9.04, -6.62, -11.03 	127.45, -253.60, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
